province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,大渡口区,2013-01-01,77.51,135.94,50.81,53.84,1.67,22.57,-1.55,-1.39,279.58,30.83,98500.84,104,三级
重庆市,大渡口区,2013-01-02,92.84,193.39,54.47,57.72,1.53,13.69,-0.23,2.57,281.89,38.81,98631.44,123,三级
重庆市,大渡口区,2013-01-03,57.13,102.81,18.68,36.3,1.4,16.44,-2.58,5.17,278.23,42.41,99641.25,78,二级
重庆市,大渡口区,2013-01-04,50.34,69.35,24.15,24.16,1.13,20.51,-1.65,2.97,277.24,43.85,98936.05,70,二级
重庆市,大渡口区,2013-01-05,72.16,103.94,26.13,30.25,1.26,16.33,-1.34,0.25,278.0,46.47,98725.58,97,二级
重庆市,大渡口区,2013-01-06,81.81,143.12,37.45,45.08,1.2,13.91,-1.76,1.71,277.84,50.33,98790.97,109,三级
重庆市,大渡口区,2013-01-07,77.27,151.19,37.01,52.71,1.26,15.43,-0.29,-0.25,277.68,55.65,98729.07,103,三级
重庆市,大渡口区,2013-01-08,83.28,144.77,46.99,49.3,1.21,15.74,-1.62,-0.42,278.27,61.67,98921.69,111,三级
重庆市,大渡口区,2013-01-09,89.73,178.48,55.56,50.0,1.31,15.18,-1.37,2.35,279.05,64.13,99077.8,119,三级
重庆市,大渡口区,2013-01-10,116.76,179.65,41.67,55.07,1.41,15.89,-1.01,2.06,279.57,40.84,98879.36,153,四级
重庆市,大渡口区,2013-01-11,86.79,159.81,53.73,52.87,1.46,16.9,0.43,0.63,279.63,57.03,99131.64,115,三级
重庆市,大渡口区,2013-01-12,118.82,181.29,50.98,58.77,1.57,19.17,-1.48,1.64,281.57,50.68,98690.98,156,四级
重庆市,大渡口区,2013-01-13,189.66,217.65,38.38,66.42,1.76,13.86,-1.71,0.29,283.08,44.7,98190.14,240,五级
重庆市,大渡口区,2013-01-14,166.69,234.55,72.09,52.58,1.83,12.64,-1.15,1.11,283.73,49.89,98389.92,217,五级
重庆市,大渡口区,2013-01-15,168.95,207.59,36.33,43.55,1.46,14.35,-1.04,0.15,282.64,61.85,98805.74,219,五级
重庆市,大渡口区,2013-01-16,162.01,212.22,34.56,56.39,1.64,10.09,-0.64,-0.88,281.02,76.07,98962.87,213,五级
重庆市,大渡口区,2013-01-17,155.04,228.41,51.26,54.88,2.17,11.85,-1.16,3.26,282.79,65.55,99515.8,206,五级
重庆市,大渡口区,2013-01-18,108.95,178.48,39.45,66.59,1.65,20.03,-3.53,5.54,283.57,38.98,99091.38,143,三级
重庆市,大渡口区,2013-01-19,97.98,178.87,35.85,75.0,1.67,16.91,-2.84,5.46,285.36,55.33,97986.35,129,三级
重庆市,大渡口区,2013-01-20,130.49,206.43,48.87,51.31,1.6,14.91,0.67,0.25,283.45,61.84,98186.63,173,四级
重庆市,大渡口区,2013-01-21,86.33,138.79,38.36,40.35,1.66,13.63,0.34,-1.85,281.84,57.84,98862.27,115,三级
重庆市,大渡口区,2013-01-22,87.1,136.02,49.25,51.33,1.26,18.41,-0.71,-0.59,282.95,56.62,98887.16,116,三级
