province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,秀山土家族苗族自治县,2013-01-01,60.66,68.81,37.66,8.05,0.54,59.91,-0.13,0.67,277.07,48.49,94645.73,83,二级
重庆市,秀山土家族苗族自治县,2013-01-02,79.03,87.69,36.0,13.35,0.64,42.99,-6.8,-1.78,274.68,67.44,94984.22,106,三级
重庆市,秀山土家族苗族自治县,2013-01-03,48.18,52.73,21.21,10.54,0.47,40.28,-6.75,-1.65,270.19,50.42,95858.58,67,二级
重庆市,秀山土家族苗族自治县,2013-01-04,58.71,65.42,22.9,8.37,0.53,47.63,-4.77,0.19,269.35,58.32,95208.36,80,二级
重庆市,秀山土家族苗族自治县,2013-01-05,79.58,89.11,27.96,8.03,0.67,49.6,-3.63,-0.5,270.7,59.98,94870.84,106,三级
重庆市,秀山土家族苗族自治县,2013-01-06,110.15,123.09,38.18,9.38,0.85,50.25,-2.49,0.25,270.89,65.04,94940.18,144,三级
重庆市,秀山土家族苗族自治县,2013-01-07,126.43,140.28,49.0,9.42,0.92,59.59,-0.73,0.05,272.02,73.24,94757.92,167,四级
重庆市,秀山土家族苗族自治县,2013-01-08,140.95,155.61,46.7,8.54,0.95,59.59,-2.01,-0.84,273.24,84.47,94910.45,188,四级
重庆市,秀山土家族苗族自治县,2013-01-09,207.06,227.81,58.0,14.82,1.26,46.22,-3.38,-1.67,273.71,54.87,95161.59,258,五级
重庆市,秀山土家族苗族自治县,2013-01-10,211.39,232.42,52.79,15.05,1.36,40.71,-3.07,-1.09,273.95,54.6,95028.6,262,五级
重庆市,秀山土家族苗族自治县,2013-01-11,176.0,194.13,54.65,10.42,1.2,50.47,0.27,-0.92,276.68,54.03,95038.6,226,五级
重庆市,秀山土家族苗族自治县,2013-01-12,145.6,160.89,52.3,8.09,1.01,56.34,-2.05,0.52,277.86,55.3,94830.59,194,四级
