province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,铜梁区,2013-01-01,56.48,111.59,26.81,39.36,1.6,45.44,-2.02,-1.04,278.87,30.46,98040.21,81,二级
重庆市,铜梁区,2013-01-02,69.34,123.45,26.45,42.02,1.42,31.74,-2.3,-2.12,280.59,39.45,98161.27,93,二级
重庆市,铜梁区,2013-01-03,46.54,104.43,20.04,38.29,1.95,10.86,-2.89,4.16,277.28,56.0,99142.94,78,二级
重庆市,铜梁区,2013-01-04,43.13,57.87,18.91,21.54,1.25,22.93,-2.94,3.24,276.68,48.49,98451.96,61,二级
重庆市,铜梁区,2013-01-05,60.26,80.7,27.38,26.9,1.53,18.56,-1.93,0.6,277.36,47.26,98253.89,82,二级
重庆市,铜梁区,2013-01-06,55.07,76.46,40.96,35.99,1.39,22.55,-1.92,0.57,277.66,50.16,98307.41,76,二级
重庆市,铜梁区,2013-01-07,53.96,87.79,18.77,22.41,1.17,36.88,-1.45,-0.52,277.68,55.25,98249.8,74,二级
重庆市,铜梁区,2013-01-08,64.31,89.87,21.56,16.87,1.68,38.45,-0.9,-1.72,278.26,57.02,98446.68,87,二级
重庆市,铜梁区,2013-01-09,93.56,109.6,20.04,31.79,1.96,21.57,-0.74,2.03,278.8,61.56,98575.61,124,三级
重庆市,铜梁区,2013-01-10,120.67,164.23,32.9,41.42,1.46,22.15,-2.5,2.46,278.95,45.73,98397.34,159,四级
重庆市,铜梁区,2013-01-11,95.07,134.97,29.23,15.55,1.68,50.01,-0.05,-0.96,279.53,58.99,98645.86,126,三级
重庆市,铜梁区,2013-01-12,113.36,175.46,26.88,31.79,1.55,37.8,-1.44,0.68,280.9,50.74,98221.86,148,三级
重庆市,铜梁区,2013-01-13,229.67,237.5,58.44,40.46,1.97,29.99,-1.7,-2.69,281.76,49.43,97751.54,280,五级
重庆市,铜梁区,2013-01-14,148.5,164.08,28.32,30.51,0.77,28.0,-2.02,-2.26,282.18,51.24,97948.51,198,四级
重庆市,铜梁区,2013-01-15,101.62,143.48,27.76,17.68,1.13,34.25,-0.76,-0.78,282.11,57.6,98334.16,134,三级
重庆市,铜梁区,2013-01-16,61.58,125.35,35.91,28.08,1.61,36.24,-1.0,-0.23,281.12,67.02,98499.6,88,二级
重庆市,铜梁区,2013-01-17,81.54,169.23,34.41,39.97,1.18,17.49,-0.91,3.53,282.32,65.42,99015.69,110,三级
重庆市,铜梁区,2013-01-18,87.7,163.18,36.49,53.14,1.67,24.94,-4.56,4.54,282.97,40.57,98608.7,116,三级
重庆市,铜梁区,2013-01-19,73.69,163.11,38.52,42.11,1.72,24.75,-2.83,0.91,283.56,55.47,97537.3,107,三级
重庆市,铜梁区,2013-01-20,79.5,153.31,30.35,18.27,1.27,31.89,-0.79,-2.59,282.86,59.2,97740.61,106,三级
重庆市,铜梁区,2013-01-21,26.19,44.43,18.42,10.54,1.12,40.43,0.08,-3.13,281.02,51.66,98405.87,45,一级
重庆市,铜梁区,2013-01-22,42.72,90.58,32.88,20.9,0.99,42.34,-1.06,-1.92,281.92,53.34,98427.98,71,二级
重庆市,铜梁区,2013-01-23,48.47,75.96,31.5,26.92,1.11,35.53,-1.2,-1.45,283.41,53.61,98076.79,67,二级
重庆市,铜梁区,2013-01-24,81.89,109.72,19.32,19.96,0.88,46.96,-0.1,-3.8,284.15,30.2,98434.63,109,三级
重庆市,铜梁区,2013-01-25,74.26,170.74,37.77,37.53,1.33,31.18,-2.44,1.24,284.5,37.45,98105.26,111,三级
重庆市,铜梁区,2013-01-26,49.28,103.73,23.33,15.01,0.68,58.24,-0.86,-1.61,284.77,44.86,98209.7,77,二级
重庆市,铜梁区,2013-01-27,71.24,152.11,46.35,57.58,0.84,40.45,-1.25,1.18,285.9,47.57,98362.99,102,三级
重庆市,铜梁区,2013-01-28,100.5,173.58,42.64,49.78,1.23,26.85,-4.6,2.24,287.14,37.99,97838.04,132,三级
重庆市,铜梁区,2013-01-29,70.76,111.67,22.53,23.38,1.19,40.73,-3.16,-1.19,286.36,55.37,97750.24,95,二级
重庆市,铜梁区,2013-01-30,108.81,133.42,28.22,30.19,1.74,35.48,0.43,-1.25,287.37,60.14,97658.74,143,三级
重庆市,铜梁区,2013-01-31,132.2,175.34,31.89,24.06,1.34,39.08,-0.67,-3.13,287.11,63.19,97520.06,175,四级
重庆市,铜梁区,2013-02-01,121.43,174.11,38.93,18.59,1.66,49.92,-0.32,-2.32,287.15,59.39,97896.8,160,四级
重庆市,铜梁区,2013-02-02,164.91,164.4,40.96,35.62,1.4,29.19,-1.38,0.68,286.96,68.1,98107.47,215,五级
重庆市,铜梁区,2013-02-03,131.04,170.61,28.81,21.62,1.67,28.64,-0.06,0.12,289.15,63.11,97160.84,173,四级
重庆市,铜梁区,2013-02-04,67.62,118.64,20.86,7.04,1.59,61.3,-0.04,-3.3,288.2,65.83,97355.72,91,二级
重庆市,铜梁区,2013-02-05,80.76,111.46,18.15,12.16,1.66,59.14,-0.04,-4.3,288.37,64.34,97715.54,108,三级
重庆市,铜梁区,2013-02-06,124.14,150.98,30.84,30.38,1.38,31.48,-2.59,-1.89,288.28,65.83,97448.89,164,四级
重庆市,铜梁区,2013-02-07,74.95,105.21,26.8,19.15,1.27,19.19,-1.74,-1.39,285.0,74.65,97738.02,100,二级
重庆市,铜梁区,2013-02-08,16.28,16.96,12.66,9.86,1.13,37.9,-2.69,-0.61,277.82,81.61,98768.62,29,一级
重庆市,铜梁区,2013-02-09,37.29,34.42,11.56,5.6,1.18,30.9,-1.14,0.8,279.73,63.98,98533.13,53,二级
重庆市,铜梁区,2013-02-10,76.31,99.52,22.32,9.37,1.19,39.02,-3.2,-2.05,283.54,48.08,97774.58,102,三级
重庆市,铜梁区,2013-02-11,56.86,74.72,16.61,8.47,1.06,40.96,-2.28,-1.78,283.75,54.49,97951.09,78,二级
重庆市,铜梁区,2013-02-12,68.56,79.32,18.2,10.47,0.99,35.46,-0.86,-2.39,282.19,54.63,98555.89,92,二级
重庆市,铜梁区,2013-02-13,56.87,62.14,18.42,13.03,0.93,35.4,-3.82,2.24,282.79,48.58,97862.07,78,二级
重庆市,铜梁区,2013-02-14,57.03,67.24,17.94,9.48,1.01,43.91,-1.9,-1.89,283.55,51.47,97808.75,78,二级
重庆市,铜梁区,2013-02-15,71.73,87.21,19.19,12.91,0.91,50.41,-0.96,0.11,284.18,45.25,98191.52,96,二级
重庆市,铜梁区,2013-02-16,65.55,89.24,28.13,16.94,1.02,69.49,-3.5,0.54,287.21,36.47,97174.09,89,二级
重庆市,铜梁区,2013-02-17,67.71,98.65,23.06,11.03,1.0,100.58,-0.38,-3.82,286.96,44.08,96989.6,91,二级
重庆市,铜梁区,2013-02-18,77.1,107.47,29.86,12.57,1.15,66.16,-0.22,-4.69,283.68,66.42,97329.16,103,三级
重庆市,铜梁区,2013-02-19,19.45,28.52,19.06,5.86,0.93,63.24,-0.06,-2.3,280.68,69.52,98288.3,32,一级
重庆市,铜梁区,2013-02-20,38.9,43.04,18.27,11.47,1.13,32.27,-2.49,0.81,283.28,53.98,98294.31,55,二级
重庆市,铜梁区,2013-02-21,50.44,53.43,15.07,14.0,1.0,39.8,-1.58,-2.03,283.96,57.28,98440.33,70,二级
重庆市,铜梁区,2013-02-22,57.17,62.44,17.66,10.68,1.01,45.24,-0.73,-1.48,284.79,53.17,98670.42,78,二级
重庆市,铜梁区,2013-02-23,60.77,82.13,28.18,25.27,1.12,37.9,-4.44,1.87,288.1,40.03,98147.78,83,二级
重庆市,铜梁区,2013-02-24,105.53,126.86,33.72,24.63,1.31,37.77,-3.15,1.67,289.64,43.65,97599.13,139,三级
重庆市,铜梁区,2013-02-25,89.63,127.65,24.6,20.61,1.36,37.84,-1.93,-3.44,287.96,60.96,97589.47,119,三级
重庆市,铜梁区,2013-02-26,116.69,138.96,28.33,13.51,1.01,57.72,-0.89,-1.0,287.99,56.0,97715.2,153,四级
重庆市,铜梁区,2013-02-27,102.42,152.9,33.09,22.38,1.18,50.9,-2.98,-0.22,290.63,52.19,97363.86,135,三级
重庆市,铜梁区,2013-02-28,106.91,144.35,39.47,29.02,1.56,32.46,-2.65,-2.42,292.09,61.22,96638.59,140,三级
重庆市,铜梁区,2013-03-01,114.29,135.21,29.35,17.2,1.02,37.76,-2.42,-4.77,286.34,59.3,97841.8,150,三级
重庆市,铜梁区,2013-03-02,70.5,120.47,17.09,10.14,0.88,35.84,-1.21,0.09,282.7,58.9,98968.72,95,二级
重庆市,铜梁区,2013-03-03,72.0,121.63,21.88,13.78,0.79,36.77,-0.77,0.06,284.69,52.27,98910.64,97,二级
重庆市,铜梁区,2013-03-04,90.99,160.6,38.22,40.51,1.24,22.02,-2.77,0.07,288.15,38.65,98428.9,120,三级
重庆市,铜梁区,2013-03-05,85.98,153.76,28.95,34.56,0.94,43.21,-3.0,0.29,291.59,29.41,97913.98,114,三级
重庆市,铜梁区,2013-03-06,86.56,145.07,28.12,20.87,1.08,51.94,-1.98,-1.77,294.29,30.43,97763.12,115,三级
重庆市,铜梁区,2013-03-07,95.05,168.08,24.18,22.84,0.99,57.02,-1.43,1.71,292.34,33.21,97999.38,126,三级
重庆市,铜梁区,2013-03-08,93.4,173.52,44.29,31.8,1.05,61.68,-3.06,1.52,295.86,30.1,97321.91,124,三级
重庆市,铜梁区,2013-03-09,115.92,174.78,43.42,22.12,1.07,60.44,-0.59,-0.24,298.03,32.74,96603.58,152,四级
重庆市,铜梁区,2013-03-10,137.13,183.42,25.69,32.6,0.98,38.99,-2.93,1.66,295.67,34.15,97258.66,182,四级
重庆市,铜梁区,2013-03-11,65.34,126.82,23.84,17.0,0.66,44.56,-4.74,6.05,295.07,46.49,96839.91,89,二级
