province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
陕西省,安康市,2013-01-01,41.27,55.44,16.79,7.36,0.55,55.96,0.45,-0.15,273.57,36.43,90140.97,58,二级
陕西省,安康市,2013-01-02,57.03,78.25,29.61,17.58,0.83,33.52,-7.73,-1.47,268.47,58.8,90815.32,78,二级
陕西省,安康市,2013-01-03,39.11,48.54,21.97,12.36,0.63,39.27,-4.71,-1.09,266.07,47.79,91350.63,56,二级
陕西省,安康市,2013-01-04,75.89,91.55,32.34,14.7,0.77,35.42,-3.68,-0.01,266.58,54.87,90610.18,102,三级
陕西省,安康市,2013-01-05,87.68,105.73,31.25,12.97,0.86,42.88,-1.89,-0.65,268.88,49.27,90361.98,116,三级
陕西省,安康市,2013-01-06,99.91,115.48,31.02,12.03,0.95,45.82,-1.77,-0.58,270.0,47.25,90398.08,132,三级
陕西省,安康市,2013-01-07,112.78,135.61,33.43,12.54,1.23,54.39,0.24,-1.22,271.4,49.45,90259.22,148,三级
陕西省,安康市,2013-01-08,89.78,102.99,26.6,15.39,0.96,44.88,-1.57,-2.4,271.52,39.88,90538.9,119,三级
陕西省,安康市,2013-01-09,120.73,144.28,38.36,18.2,1.22,41.95,-2.08,0.79,271.24,42.77,90631.0,159,四级
陕西省,安康市,2013-01-10,151.96,174.6,39.61,17.07,1.39,47.1,-0.34,1.2,272.59,57.7,90443.39,202,五级
陕西省,安康市,2013-01-11,100.73,122.76,27.75,8.27,1.05,58.23,0.94,-1.09,274.47,47.26,90604.84,133,三级
陕西省,安康市,2013-01-12,75.59,97.6,26.04,7.21,0.91,59.54,0.53,1.86,275.42,42.32,90300.97,101,三级
陕西省,安康市,2013-01-13,136.76,155.71,36.59,7.46,1.41,60.02,0.53,0.27,276.44,49.52,89985.9,182,四级
陕西省,安康市,2013-01-14,179.5,212.42,41.74,17.76,1.63,47.47,-2.92,0.6,275.94,51.43,90269.04,230,五级
陕西省,安康市,2013-01-15,97.44,132.99,30.02,10.01,1.01,54.52,0.0,-1.63,275.42,46.89,90486.9,129,三级
陕西省,安康市,2013-01-16,45.63,60.94,17.1,8.69,0.66,53.26,-1.83,-1.14,275.62,42.26,90710.0,64,二级
陕西省,安康市,2013-01-17,113.22,146.44,38.66,25.89,1.31,37.8,-4.69,-0.05,273.26,51.31,91240.6,148,三级
陕西省,安康市,2013-01-18,124.14,152.68,37.48,24.17,1.29,40.88,-0.79,1.44,273.84,64.6,90807.29,164,四级
陕西省,安康市,2013-01-19,162.24,190.64,47.45,19.61,1.65,45.78,-2.85,1.03,275.32,66.67,89980.72,213,五级
陕西省,安康市,2013-01-20,122.37,141.79,34.59,15.7,1.28,41.41,-3.31,-1.43,272.53,82.22,90207.09,161,四级
陕西省,安康市,2013-01-21,53.92,64.13,19.99,7.85,0.66,52.48,-0.7,-1.21,272.94,61.26,90569.37,74,二级
陕西省,安康市,2013-01-22,88.03,100.15,28.26,12.06,0.78,50.79,-1.38,-0.43,273.58,66.01,90601.31,117,三级
陕西省,安康市,2013-01-23,57.0,67.4,16.76,6.87,0.63,59.89,4.2,-1.0,277.29,49.65,90229.64,78,二级
陕西省,安康市,2013-01-24,17.56,24.75,8.73,5.58,0.38,61.34,-0.5,-2.87,274.87,30.65,90623.04,31,一级
陕西省,安康市,2013-01-25,25.96,34.64,13.09,7.27,0.51,61.87,2.06,-0.74,277.21,31.61,90351.98,38,一级
陕西省,安康市,2013-01-26,28.13,38.59,11.5,8.04,0.53,59.13,-0.08,-2.08,278.62,22.62,90440.89,41,一级
陕西省,安康市,2013-01-27,70.5,83.93,24.95,13.97,0.79,50.12,-1.44,0.39,277.95,31.92,90648.22,95,二级
陕西省,安康市,2013-01-28,106.79,121.99,35.72,11.78,1.06,50.78,0.44,1.35,278.0,56.02,90246.43,140,三级
陕西省,安康市,2013-01-29,96.76,104.3,30.73,6.31,0.92,63.9,-0.52,0.74,279.73,55.18,90190.22,128,三级
陕西省,安康市,2013-01-30,149.75,166.38,38.45,12.62,1.32,51.08,-2.39,0.54,279.01,73.66,90117.33,200,四级
陕西省,安康市,2013-01-31,159.48,183.58,40.34,15.27,1.62,46.23,-1.27,0.07,278.88,82.85,89970.82,210,五级
陕西省,安康市,2013-02-01,130.25,146.01,27.06,11.49,1.2,53.16,-2.72,-0.04,279.57,65.44,90353.41,172,四级
陕西省,安康市,2013-02-02,182.57,202.1,38.29,27.4,2.0,37.01,-5.35,0.07,275.73,78.37,90634.38,233,五级
陕西省,安康市,2013-02-03,129.95,138.3,25.94,19.74,1.49,40.67,-1.38,0.76,277.05,86.69,89798.24,172,四级
陕西省,安康市,2013-02-04,95.93,102.34,25.25,16.56,1.24,44.14,-5.0,-0.22,277.24,76.49,90013.41,127,三级
陕西省,安康市,2013-02-05,89.21,97.5,23.95,16.69,1.09,45.53,-1.0,-0.84,276.89,71.46,90248.68,118,三级
陕西省,安康市,2013-02-06,94.49,104.39,22.84,12.85,0.85,47.3,-3.66,-0.24,278.69,57.18,90085.18,125,三级
陕西省,安康市,2013-02-07,114.41,124.98,31.62,20.86,1.59,38.12,-9.01,-0.58,270.67,82.74,90545.32,150,三级
陕西省,安康市,2013-02-08,46.49,50.16,16.47,9.85,0.57,51.97,-3.21,-0.31,266.77,83.73,90994.83,65,二级
陕西省,安康市,2013-02-09,65.65,69.97,17.8,6.98,0.58,60.65,2.23,0.49,272.7,65.99,90488.28,89,二级
陕西省,安康市,2013-02-10,105.68,113.74,22.65,7.92,0.7,66.82,-0.46,1.1,274.17,66.44,90123.37,139,三级
陕西省,安康市,2013-02-11,148.15,152.97,32.91,16.87,1.28,47.11,-4.45,-1.31,270.22,89.08,90501.88,198,四级
陕西省,安康市,2013-02-12,90.14,100.44,24.5,9.96,0.92,52.49,-1.51,-0.78,272.5,57.76,90804.07,119,三级
陕西省,安康市,2013-02-13,79.07,88.5,25.52,7.96,0.7,55.02,-2.35,0.49,274.78,59.51,90194.07,106,三级
陕西省,安康市,2013-02-14,79.75,90.73,28.46,9.65,0.82,51.56,-3.0,-2.25,275.08,58.23,90210.58,106,三级
陕西省,安康市,2013-02-15,57.83,69.5,26.19,10.56,0.79,50.26,-2.08,1.11,276.05,42.32,90447.26,79,二级
陕西省,安康市,2013-02-16,131.09,141.75,29.93,13.73,1.41,52.2,-2.43,1.23,277.9,55.83,89739.33,173,四级
陕西省,安康市,2013-02-17,125.1,139.71,34.91,11.87,1.09,57.47,-4.8,-1.47,278.26,51.51,89640.18,165,四级
陕西省,安康市,2013-02-18,116.63,134.08,34.07,19.96,1.06,39.11,-7.14,-2.1,272.34,81.31,90051.46,153,四级
陕西省,安康市,2013-02-19,64.9,72.41,19.22,10.21,0.57,51.39,-3.07,0.64,270.66,80.7,90541.24,88,二级
陕西省,安康市,2013-02-20,59.65,67.13,20.6,7.43,0.54,65.36,-1.34,-0.23,274.26,71.79,90563.83,81,二级
