province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
陕西省,汉中市,2013-01-01,45.43,54.83,19.07,7.25,0.51,55.8,-0.01,-0.04,273.0,34.58,89122.65,64,二级
陕西省,汉中市,2013-01-02,52.97,66.88,26.9,12.95,0.65,38.16,-6.9,-1.17,269.87,53.03,89700.08,73,二级
陕西省,汉中市,2013-01-03,39.61,46.37,22.06,10.04,0.51,40.1,-4.77,0.11,266.38,50.81,90254.51,56,二级
陕西省,汉中市,2013-01-04,64.84,74.74,26.5,10.02,0.63,41.01,-3.66,0.89,266.68,65.92,89529.71,88,二级
陕西省,汉中市,2013-01-05,81.8,93.58,28.97,9.52,0.73,46.18,-1.84,-0.43,269.14,54.45,89345.94,109,三级
陕西省,汉中市,2013-01-06,92.76,103.28,30.73,9.06,0.81,46.62,-1.9,-0.55,270.19,45.28,89390.62,123,三级
陕西省,汉中市,2013-01-07,84.89,98.4,25.34,9.66,0.88,51.73,-0.17,-1.52,271.4,48.17,89276.13,113,三级
陕西省,汉中市,2013-01-08,62.94,69.45,19.66,10.01,0.68,46.14,-1.49,-2.46,271.72,36.14,89551.05,85,二级
陕西省,汉中市,2013-01-09,71.84,81.74,27.33,9.91,0.77,47.37,-1.61,1.52,271.51,43.36,89594.72,97,二级
陕西省,汉中市,2013-01-10,142.15,155.19,41.92,9.2,1.09,52.11,-0.01,1.64,272.55,64.32,89432.86,189,四级
陕西省,汉中市,2013-01-11,97.16,111.56,26.37,6.48,0.84,57.56,0.13,-1.14,274.45,46.58,89626.29,128,三级
陕西省,汉中市,2013-01-12,108.37,124.82,31.47,6.36,0.92,60.46,0.23,2.2,274.67,49.99,89304.55,142,三级
陕西省,汉中市,2013-01-13,168.25,186.27,45.07,5.7,1.36,65.19,0.03,0.38,275.66,53.0,88997.32,219,五级
陕西省,汉中市,2013-01-14,125.08,140.94,34.26,7.37,1.07,56.0,-2.55,0.67,276.09,53.3,89257.84,165,四级
陕西省,汉中市,2013-01-15,60.7,81.97,21.21,7.58,0.69,55.56,-1.02,-1.9,275.6,42.01,89509.97,83,二级
陕西省,汉中市,2013-01-16,52.09,62.44,18.78,6.91,0.6,57.9,-2.01,-0.7,275.67,41.47,89721.55,72,二级
