province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
陕西省,铜川市,2013-01-01,20.35,33.5,14.77,8.78,0.6,50.15,2.46,-3.42,269.64,39.85,89365.84,34,一级
陕西省,铜川市,2013-01-02,17.84,31.86,21.14,11.37,0.75,37.71,-1.54,-5.44,263.67,46.18,90310.66,32,一级
陕西省,铜川市,2013-01-03,16.92,24.91,19.79,11.58,0.77,42.43,-0.47,-2.71,261.04,33.8,90661.61,25,一级
陕西省,铜川市,2013-01-04,75.71,100.05,74.34,25.01,1.54,29.11,-1.44,-0.38,263.4,33.54,89839.5,101,三级
陕西省,铜川市,2013-01-05,98.75,115.26,48.17,15.24,1.17,33.39,0.9,-2.43,266.23,33.5,89648.58,130,三级
陕西省,铜川市,2013-01-06,118.59,134.37,45.27,24.46,1.29,24.98,1.11,-1.62,267.2,27.38,89645.72,156,四级
陕西省,铜川市,2013-01-07,91.63,96.94,30.96,12.82,0.96,30.42,1.12,-3.21,269.78,28.68,89516.01,121,三级
陕西省,铜川市,2013-01-08,58.2,61.31,25.95,10.32,0.93,32.72,0.4,-5.05,268.35,37.47,89886.06,80,二级
陕西省,铜川市,2013-01-09,62.41,90.32,55.72,31.86,1.64,31.65,-0.95,0.83,267.79,41.75,89809.11,85,二级
陕西省,铜川市,2013-01-10,138.59,183.64,67.01,40.97,1.99,30.48,1.48,0.87,271.34,47.04,89549.6,184,四级
陕西省,铜川市,2013-01-11,43.19,50.51,17.0,9.63,0.75,49.57,3.14,-4.29,272.27,27.94,89801.18,61,二级
陕西省,铜川市,2013-01-12,97.55,128.57,52.57,39.67,1.87,38.52,1.0,1.92,273.49,28.02,89367.71,129,三级
陕西省,铜川市,2013-01-13,94.67,106.22,48.02,18.09,1.66,36.77,0.34,-2.67,273.74,28.64,89222.78,125,三级
陕西省,铜川市,2013-01-14,177.56,213.16,104.96,19.18,2.83,34.98,0.0,-1.74,273.65,29.51,89528.14,228,五级
陕西省,铜川市,2013-01-15,24.23,36.82,14.88,11.09,0.62,44.57,2.38,-4.64,271.76,35.33,89762.82,37,一级
陕西省,铜川市,2013-01-16,37.64,52.64,19.87,18.04,0.9,37.78,1.24,-3.58,272.99,32.83,90030.76,54,二级
陕西省,铜川市,2013-01-17,57.84,83.7,45.49,35.61,1.62,34.77,-2.05,-2.03,269.83,45.87,90494.54,79,二级
陕西省,铜川市,2013-01-18,178.02,248.27,85.22,74.63,3.87,37.23,-1.8,1.04,272.7,55.31,89867.57,229,五级
陕西省,铜川市,2013-01-19,269.85,333.5,106.47,83.15,5.02,30.87,-5.12,-0.29,272.98,67.28,89169.64,320,六级
陕西省,铜川市,2013-01-20,185.86,219.91,48.55,34.98,2.73,39.92,-0.28,-2.53,270.44,67.2,89527.2,236,五级
陕西省,铜川市,2013-01-21,28.73,32.39,16.95,13.44,0.95,45.43,1.32,-4.24,270.63,56.25,89842.58,42,一级
陕西省,铜川市,2013-01-22,46.58,50.68,20.54,22.97,1.08,43.75,1.56,-1.53,270.36,67.56,89801.81,65,二级
陕西省,铜川市,2013-01-23,61.68,66.18,13.58,19.67,1.19,50.24,5.01,-3.79,274.19,43.06,89357.47,84,二级
陕西省,铜川市,2013-01-24,12.92,18.09,8.78,9.8,0.71,55.97,3.47,-4.25,271.18,35.56,89875.74,28,一级
陕西省,铜川市,2013-01-25,31.02,33.72,11.13,12.74,1.04,48.2,4.3,-4.2,274.82,23.46,89530.84,45,一级
陕西省,铜川市,2013-01-26,33.65,40.39,15.36,18.43,1.13,42.14,2.1,-4.19,274.79,27.02,89711.58,49,一级
陕西省,铜川市,2013-01-27,40.75,52.6,21.8,30.92,1.42,44.61,1.2,-0.36,275.61,30.08,89830.38,58,二级
陕西省,铜川市,2013-01-28,109.02,136.48,41.38,42.81,2.3,41.1,1.79,-0.57,277.28,37.7,89408.02,143,三级
陕西省,铜川市,2013-01-29,119.94,146.91,54.14,37.74,2.67,46.75,-0.22,-0.34,277.8,38.1,89420.3,158,四级
陕西省,铜川市,2013-01-30,227.93,277.8,82.0,64.9,4.3,40.98,-1.21,1.7,277.82,49.96,89302.73,278,五级
陕西省,铜川市,2013-01-31,129.72,158.86,33.78,34.69,2.82,45.34,-0.82,-1.94,278.08,61.78,89172.65,172,四级
陕西省,铜川市,2013-02-01,106.21,117.64,38.51,31.72,2.59,42.36,-1.57,-1.73,277.1,40.28,89670.24,140,三级
陕西省,铜川市,2013-02-02,160.41,189.09,62.8,47.01,4.11,37.05,-2.87,0.71,275.02,52.84,89842.46,211,五级
