province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
黑龙江省,伊春市,2013-01-01,18.88,21.18,3.73,5.48,0.36,44.85,5.28,0.76,241.37,69.0,96301.58,27,一级
黑龙江省,伊春市,2013-01-02,21.74,25.25,4.33,6.35,0.39,44.3,5.7,-0.55,240.27,68.96,96810.87,32,一级
黑龙江省,伊春市,2013-01-03,9.16,10.36,2.29,3.86,0.3,49.34,6.82,-2.61,243.75,68.85,97444.25,25,一级
黑龙江省,伊春市,2013-01-04,25.09,28.37,7.25,10.48,0.4,35.17,5.16,2.59,247.79,72.49,97081.85,36,一级
黑龙江省,伊春市,2013-01-05,20.01,22.44,5.8,8.82,0.36,35.61,7.0,-0.75,246.15,71.14,96590.59,29,一级
黑龙江省,伊春市,2013-01-06,7.88,8.82,2.17,3.76,0.3,49.04,5.9,-2.06,243.53,68.63,97179.65,25,一级
黑龙江省,伊春市,2013-01-07,8.0,9.2,2.68,4.41,0.3,46.9,4.04,-1.95,242.31,68.03,97404.63,24,一级
黑龙江省,伊春市,2013-01-08,9.78,11.45,3.02,4.91,0.31,44.96,4.26,-1.23,241.13,68.52,97314.85,23,一级
黑龙江省,伊春市,2013-01-09,18.44,20.46,3.54,5.54,0.36,43.91,4.88,-1.14,239.84,68.26,97129.01,27,一级
黑龙江省,伊春市,2013-01-10,21.08,23.87,4.25,6.51,0.39,44.02,5.46,-0.72,241.2,68.99,97302.48,31,一级
黑龙江省,伊春市,2013-01-11,31.54,35.42,7.94,10.14,0.46,39.95,3.89,0.06,243.04,69.87,97416.72,46,一级
黑龙江省,伊春市,2013-01-12,21.16,24.29,6.86,7.55,0.37,43.68,2.75,-0.88,243.55,70.7,97108.35,31,一级
黑龙江省,伊春市,2013-01-13,28.92,33.17,7.07,8.19,0.43,41.49,3.87,0.41,244.39,69.93,97415.8,42,一级
黑龙江省,伊春市,2013-01-14,18.03,20.16,6.74,6.69,0.33,42.94,1.94,-2.77,245.1,71.69,97580.34,26,一级
黑龙江省,伊春市,2013-01-15,7.48,8.65,3.58,4.5,0.27,46.82,3.65,-2.25,244.64,71.35,97732.95,24,一级
黑龙江省,伊春市,2013-01-16,7.27,8.44,3.57,4.36,0.27,47.0,4.03,-2.81,245.34,70.29,97725.46,24,一级
黑龙江省,伊春市,2013-01-17,15.47,17.11,3.99,4.86,0.31,43.49,5.25,-2.2,246.82,71.62,97791.68,23,一级
黑龙江省,伊春市,2013-01-18,19.38,22.23,6.21,7.34,0.34,38.98,3.18,-2.33,249.08,71.83,97631.09,28,一级
黑龙江省,伊春市,2013-01-19,11.52,13.02,5.08,6.19,0.29,43.07,3.3,-2.86,250.53,65.45,97714.09,22,一级
黑龙江省,伊春市,2013-01-20,19.0,20.8,4.52,5.53,0.32,38.84,3.11,-1.48,251.41,77.14,98319.77,28,一级
黑龙江省,伊春市,2013-01-21,13.21,15.18,6.23,6.68,0.28,41.68,-0.36,-0.82,253.77,79.09,97991.11,21,一级
黑龙江省,伊春市,2013-01-22,18.21,20.72,6.35,7.09,0.31,39.45,3.08,-0.16,252.6,76.9,97564.68,27,一级
黑龙江省,伊春市,2013-01-23,39.71,44.84,10.36,10.76,0.44,33.84,0.45,-0.4,251.11,75.87,96785.72,56,二级
黑龙江省,伊春市,2013-01-24,21.01,24.69,6.47,6.82,0.33,34.13,0.34,-1.95,248.57,76.87,95738.85,31,一级
黑龙江省,伊春市,2013-01-25,2.64,2.93,1.92,1.93,0.22,54.92,5.27,-6.32,246.8,73.4,95948.9,28,一级
黑龙江省,伊春市,2013-01-26,3.78,4.31,2.66,3.07,0.24,51.85,3.29,-4.41,248.72,74.47,97063.77,26,一级
黑龙江省,伊春市,2013-01-27,12.06,14.22,4.32,5.89,0.31,45.98,3.92,-0.6,247.78,71.02,97263.49,23,一级
黑龙江省,伊春市,2013-01-28,40.29,46.23,11.77,11.55,0.45,37.77,1.72,0.74,249.32,75.95,97173.81,57,二级
黑龙江省,伊春市,2013-01-29,64.36,71.98,15.96,14.45,0.57,30.81,1.04,-0.31,251.8,79.44,97486.58,87,二级
黑龙江省,伊春市,2013-01-30,44.02,48.67,13.2,13.3,0.44,29.79,-4.08,3.23,254.83,75.45,97900.56,62,二级
黑龙江省,伊春市,2013-01-31,63.16,70.05,16.93,15.5,0.55,24.26,-1.2,1.51,258.86,87.53,97674.84,86,二级
黑龙江省,伊春市,2013-02-01,43.29,46.59,12.3,8.68,0.45,38.76,4.22,2.48,258.27,80.52,96516.96,61,二级
黑龙江省,伊春市,2013-02-02,6.44,7.41,2.64,3.25,0.27,54.1,9.14,-0.55,249.04,68.49,96794.05,28,一级
黑龙江省,伊春市,2013-02-03,10.39,11.67,3.75,4.58,0.28,48.18,6.84,-0.59,249.3,68.34,97037.38,25,一级
黑龙江省,伊春市,2013-02-04,9.78,11.15,4.06,4.69,0.27,46.15,5.44,-1.41,248.3,66.77,96871.49,24,一级
黑龙江省,伊春市,2013-02-05,19.99,22.86,8.02,8.39,0.32,36.97,2.01,-0.25,249.22,76.01,97304.77,29,一级
