province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
黑龙江省,鹤岗市,2013-01-01,11.05,12.55,4.89,7.14,0.29,41.71,6.02,0.54,244.58,64.79,98971.2,21,一级
黑龙江省,鹤岗市,2013-01-02,7.55,8.75,3.8,6.17,0.28,42.78,6.07,-0.7,242.75,66.96,99462.74,22,一级
黑龙江省,鹤岗市,2013-01-03,2.23,2.7,2.0,3.52,0.25,52.31,7.67,-3.11,245.66,59.62,100019.52,27,一级
黑龙江省,鹤岗市,2013-01-04,15.3,17.19,6.1,9.55,0.31,35.65,5.2,1.32,249.49,69.19,99780.26,22,一级
黑龙江省,鹤岗市,2013-01-05,20.26,22.2,7.04,10.12,0.34,34.23,6.5,-1.21,248.11,66.18,99167.29,29,一级
黑龙江省,鹤岗市,2013-01-06,2.58,3.19,2.35,4.05,0.26,50.49,6.65,-2.47,245.69,60.9,99816.49,26,一级
黑龙江省,鹤岗市,2013-01-07,3.45,4.31,3.04,5.21,0.27,45.89,5.32,-2.64,243.76,63.58,100108.52,23,一级
黑龙江省,鹤岗市,2013-01-08,4.29,5.35,3.65,6.0,0.28,43.09,5.01,-2.01,242.75,65.8,100042.15,22,一级
黑龙江省,鹤岗市,2013-01-09,4.14,5.08,3.32,5.45,0.27,44.61,5.65,-1.88,242.16,64.39,99822.51,23,一级
黑龙江省,鹤岗市,2013-01-10,4.98,5.95,3.45,5.63,0.27,45.48,5.96,-1.44,244.02,64.52,99959.23,23,一级
黑龙江省,鹤岗市,2013-01-11,17.03,19.27,6.16,8.8,0.35,38.31,4.62,-0.6,244.67,67.52,100156.99,25,一级
黑龙江省,鹤岗市,2013-01-12,10.46,12.1,4.69,6.87,0.31,41.69,3.72,-2.24,244.2,70.34,99827.4,21,一级
黑龙江省,鹤岗市,2013-01-13,14.08,16.05,6.14,8.22,0.32,39.04,4.26,-0.64,245.9,68.0,100158.43,21,一级
黑龙江省,鹤岗市,2013-01-14,9.7,11.11,4.46,6.08,0.3,43.47,3.4,-3.89,245.0,69.07,100279.23,22,一级
黑龙江省,鹤岗市,2013-01-15,4.59,5.45,3.49,5.16,0.26,46.28,5.1,-2.99,245.76,67.64,100406.18,24,一级
黑龙江省,鹤岗市,2013-01-16,4.24,5.03,3.55,4.85,0.26,47.0,5.43,-3.29,246.45,66.52,100352.35,24,一级
黑龙江省,鹤岗市,2013-01-17,4.28,4.93,3.49,4.28,0.24,45.39,6.12,-3.25,248.82,65.6,100355.88,23,一级
黑龙江省,鹤岗市,2013-01-18,5.9,6.68,3.51,4.64,0.25,43.19,5.76,-3.48,250.68,64.47,100184.09,22,一级
黑龙江省,鹤岗市,2013-01-19,4.46,5.11,2.85,4.45,0.25,47.97,5.51,-4.18,251.48,60.17,100242.76,24,一级
黑龙江省,鹤岗市,2013-01-20,7.47,8.56,4.46,5.99,0.25,38.68,5.13,-2.47,252.83,72.12,100934.61,20,一级
黑龙江省,鹤岗市,2013-01-21,11.13,13.13,5.99,8.26,0.29,40.1,1.07,-2.38,251.84,78.87,100726.53,21,一级
黑龙江省,鹤岗市,2013-01-22,12.62,14.38,6.1,7.97,0.28,38.24,4.1,-1.61,252.83,75.46,100202.35,20,一级
黑龙江省,鹤岗市,2013-01-23,28.69,31.95,8.49,9.85,0.36,33.17,1.81,-2.08,250.91,74.6,99529.17,41,一级
