province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,2013-01-01,7.18,8.12,2.96,2.03,0.22,64.24,1.38,0.96,262.72,46.28,81576.9,33,一级
新疆维吾尔自治区,2013-01-02,7.34,8.11,2.8,2.24,0.23,58.86,0.95,0.35,260.73,55.11,82203.43,30,一级
新疆维吾尔自治区,2013-01-03,7.53,8.42,2.76,2.14,0.22,57.66,0.74,1.15,259.41,54.92,82053.74,29,一级
新疆维吾尔自治区,2013-01-04,8.36,9.12,3.28,2.27,0.22,60.25,2.05,0.79,258.92,55.63,81820.52,31,一级
新疆维吾尔自治区,2013-01-05,9.27,10.16,3.38,2.45,0.24,59.37,2.41,0.53,258.49,56.92,81855.52,30,一级
新疆维吾尔自治区,2013-01-06,8.75,9.43,3.19,2.17,0.23,59.11,1.43,0.49,258.77,55.41,81975.92,30,一级
新疆维吾尔自治区,2013-01-07,8.47,9.29,2.98,1.96,0.21,62.8,1.01,0.48,259.48,53.57,81982.88,32,一级
新疆维吾尔自治区,2013-01-08,8.75,10.07,3.61,2.19,0.23,64.69,0.72,0.95,260.2,51.25,81980.93,33,一级
新疆维吾尔自治区,2013-01-09,9.18,10.95,4.67,2.17,0.24,61.15,2.52,0.56,261.04,53.36,81794.95,31,一级
新疆维吾尔自治区,2013-01-10,8.48,9.29,2.88,2.0,0.23,59.98,1.77,0.36,261.91,54.82,81969.51,30,一级
新疆维吾尔自治区,2013-01-11,8.55,9.32,2.82,1.88,0.23,63.09,2.21,0.99,263.01,47.68,81823.47,32,一级
新疆维吾尔自治区,2013-01-12,8.59,9.69,2.94,1.94,0.26,62.72,2.19,1.1,264.67,46.16,81299.16,32,一级
新疆维吾尔自治区,2013-01-13,5.89,6.18,2.05,2.01,0.22,59.84,5.39,-0.51,264.12,56.07,81733.64,30,一级
新疆维吾尔自治区,2013-01-14,5.45,5.75,2.0,1.77,0.22,58.41,1.74,0.4,262.87,60.97,82084.32,30,一级
新疆维吾尔自治区,2013-01-15,6.88,7.45,2.38,1.79,0.25,62.0,1.1,1.36,263.59,54.45,81920.25,32,一级
新疆维吾尔自治区,2013-01-16,7.49,7.89,2.5,1.88,0.23,62.49,1.88,1.47,263.76,54.55,82027.5,32,一级
新疆维吾尔自治区,2013-01-17,7.37,7.91,2.57,1.92,0.21,61.25,1.94,1.08,263.27,56.72,82233.55,31,一级
新疆维吾尔自治区,2013-01-18,8.54,9.33,2.91,2.0,0.21,62.42,1.32,0.96,263.18,60.14,81954.87,32,一级
新疆维吾尔自治区,2013-01-19,9.37,10.28,3.22,2.22,0.21,60.52,2.75,0.23,262.64,60.8,81824.69,31,一级
新疆维吾尔自治区,2013-01-20,8.08,8.91,3.04,2.12,0.21,61.12,0.86,0.66,262.46,61.32,82042.79,31,一级
新疆维吾尔自治区,2013-01-21,8.2,9.17,2.93,2.12,0.22,60.07,2.15,0.94,263.0,57.42,82013.35,31,一级
新疆维吾尔自治区,2013-01-22,7.65,8.54,2.58,1.89,0.22,59.18,2.07,1.27,264.31,52.92,81928.53,30,一级
新疆维吾尔自治区,2013-01-23,6.5,7.31,2.46,1.95,0.2,60.44,1.01,1.09,264.58,51.79,82026.75,31,一级
新疆维吾尔自治区,2013-01-24,7.61,8.6,2.6,2.25,0.22,60.57,1.62,0.9,264.69,50.25,82174.75,31,一级
新疆维吾尔自治区,2013-01-25,8.01,9.27,2.6,2.24,0.23,62.62,1.44,1.14,265.85,46.63,82091.95,32,一级
新疆维吾尔自治区,2013-01-26,7.12,7.95,2.74,2.21,0.22,63.01,1.76,0.91,266.35,48.01,82142.05,32,一级
新疆维吾尔自治区,2013-01-27,8.17,9.25,3.12,2.15,0.24,61.8,1.37,0.99,266.94,49.7,82075.34,31,一级
新疆维吾尔自治区,2013-01-28,8.72,9.99,2.82,2.04,0.26,58.97,3.38,1.01,267.23,51.71,81729.28,30,一级
新疆维吾尔自治区,2013-01-29,5.29,5.72,2.42,1.92,0.2,55.07,3.51,-0.06,266.69,52.47,81749.0,28,一级
新疆维吾尔自治区,2013-01-30,4.91,5.29,2.35,1.81,0.19,57.02,3.98,-0.45,266.25,53.61,81566.36,29,一级
新疆维吾尔自治区,2013-01-31,4.62,5.11,2.12,1.75,0.18,58.08,1.52,-0.25,266.01,50.78,81806.65,30,一级
新疆维吾尔自治区,2013-02-01,4.46,4.94,2.24,1.77,0.19,61.37,0.17,0.48,266.19,49.03,82171.28,31,一级
新疆维吾尔自治区,2013-02-02,4.46,4.84,2.13,1.85,0.19,61.39,1.25,1.39,267.79,44.46,81526.81,31,一级
新疆维吾尔自治区,2013-02-03,5.0,5.65,2.23,2.27,0.2,58.57,2.02,0.81,268.53,47.89,81493.33,30,一级
新疆维吾尔自治区,2013-02-04,5.56,6.13,2.4,1.83,0.19,57.41,0.28,0.93,268.81,50.53,81600.76,29,一级
新疆维吾尔自治区,2013-02-05,7.82,8.65,3.05,2.32,0.21,59.29,0.5,0.77,268.61,52.96,81844.15,30,一级
新疆维吾尔自治区,2013-02-06,8.96,9.63,3.51,2.82,0.23,59.65,2.43,-0.34,267.29,58.51,81932.93,30,一级
新疆维吾尔自治区,2013-02-07,8.1,8.41,3.21,1.85,0.21,59.38,2.11,-1.01,265.39,63.79,82452.58,30,一级
新疆维吾尔自治区,2013-02-08,6.28,6.65,2.39,1.34,0.19,64.11,2.71,1.12,266.16,52.7,82017.51,33,一级
新疆维吾尔自治区,2013-02-09,6.04,6.31,2.59,1.55,0.2,62.23,3.79,-0.72,265.92,51.31,81586.38,32,一级
新疆维吾尔自治区,2013-02-10,5.33,5.73,2.98,1.56,0.21,59.26,0.87,-1.04,262.77,57.62,82115.78,30,一级
新疆维吾尔自治区,2013-02-11,5.29,5.83,3.32,1.65,0.2,61.57,0.7,-0.07,261.64,57.91,82562.29,31,一级
新疆维吾尔自治区,2013-02-12,6.13,6.87,3.14,1.78,0.2,65.62,3.32,0.56,262.79,52.85,82239.55,33,一级
新疆维吾尔自治区,2013-02-13,5.84,6.31,2.86,1.7,0.2,63.81,2.62,-0.59,263.41,54.95,82006.65,32,一级
新疆维吾尔自治区,2013-02-14,4.79,5.26,2.5,1.54,0.19,63.73,1.23,0.29,263.76,49.74,81969.42,32,一级
新疆维吾尔自治区,2013-02-15,5.28,5.95,2.4,1.61,0.19,64.63,3.65,0.1,264.77,48.68,81554.89,33,一级
新疆维吾尔自治区,2013-02-16,4.68,5.03,2.29,1.4,0.2,65.43,1.93,-1.48,262.78,50.76,81736.41,33,一级
新疆维吾尔自治区,2013-02-17,4.18,4.61,2.21,1.57,0.2,66.07,-0.7,-0.76,260.42,50.67,81919.42,34,一级
新疆维吾尔自治区,2013-02-18,3.67,4.13,2.03,1.43,0.19,67.06,0.56,0.21,261.45,43.28,81882.62,34,一级
新疆维吾尔自治区,2013-02-19,4.22,4.88,2.01,1.52,0.19,68.03,1.21,0.36,263.54,42.13,81941.78,35,一级
新疆维吾尔自治区,2013-02-20,4.65,5.43,2.05,1.56,0.19,66.78,1.22,0.42,264.81,42.63,82084.27,34,一级
新疆维吾尔自治区,2013-02-21,5.07,5.85,2.2,1.7,0.21,65.59,0.47,1.32,266.41,40.12,82174.04,33,一级
新疆维吾尔自治区,2013-02-22,6.04,6.86,2.32,2.02,0.21,61.57,0.8,1.22,268.28,40.3,81848.17,31,一级
新疆维吾尔自治区,2013-02-23,6.11,6.79,2.43,1.9,0.21,60.06,1.74,0.92,268.66,43.54,81841.88,31,一级
新疆维吾尔自治区,2013-02-24,6.26,6.98,2.45,2.04,0.22,58.09,3.08,0.81,269.39,44.3,81781.64,30,一级
新疆维吾尔自治区,2013-02-25,5.62,6.08,2.18,1.74,0.2,58.09,1.56,0.43,269.62,47.66,81998.2,30,一级
新疆维吾尔自治区,2013-02-26,5.11,5.52,2.1,1.6,0.19,57.89,1.09,0.57,269.59,49.41,81957.22,29,一级
新疆维吾尔自治区,2013-02-27,9.67,9.94,2.23,1.52,0.2,58.02,0.29,0.41,269.31,50.49,81624.88,30,一级
新疆维吾尔自治区,2013-02-28,20.57,20.88,2.05,1.4,0.2,61.32,-0.19,0.66,268.21,46.51,81598.39,31,一级
新疆维吾尔自治区,2013-03-01,16.88,17.25,1.86,1.66,0.21,58.96,2.44,0.62,268.7,45.26,82145.04,30,一级
新疆维吾尔自治区,2013-03-02,16.34,16.99,1.64,1.48,0.24,58.06,1.56,0.89,271.22,38.35,82493.28,30,一级
新疆维吾尔自治区,2013-03-03,13.96,14.8,1.72,1.5,0.27,60.04,1.02,1.29,273.46,34.6,82274.1,31,一级
新疆维吾尔自治区,2013-03-04,11.57,12.81,2.11,1.99,0.21,59.55,2.6,0.73,274.4,38.27,81934.15,30,一级
新疆维吾尔自治区,2013-03-05,9.07,9.98,2.23,2.11,0.24,60.56,2.42,-0.21,274.41,43.73,82269.71,31,一级
新疆维吾尔自治区,2013-03-06,6.99,7.79,1.68,1.49,0.24,64.24,1.03,1.08,276.27,36.75,82256.05,33,一级
新疆维吾尔自治区,2013-03-07,6.48,7.23,1.64,1.52,0.25,66.98,2.01,1.57,278.59,32.42,81851.36,34,一级
新疆维吾尔自治区,2013-03-08,9.61,10.24,1.43,1.14,0.2,67.84,3.54,-0.92,275.98,38.65,81718.33,34,一级
新疆维吾尔自治区,2013-03-09,31.87,32.37,1.46,1.18,0.18,63.64,-1.48,0.66,273.26,40.6,81665.19,46,一级
新疆维吾尔自治区,2013-03-10,41.09,41.72,1.92,1.53,0.19,61.86,0.76,-0.75,271.86,45.44,81640.21,58,二级
新疆维吾尔自治区,2013-03-11,32.01,32.59,2.01,1.41,0.19,63.19,1.83,-0.12,272.24,43.07,81830.38,46,一级
新疆维吾尔自治区,2013-03-12,24.62,25.15,1.74,1.33,0.18,62.59,0.35,0.81,274.3,38.3,81741.39,36,一级
新疆维吾尔自治区,2013-03-13,21.65,22.19,1.88,1.48,0.19,61.61,0.02,0.55,275.44,40.77,81686.95,31,一级
新疆维吾尔自治区,2013-03-14,15.33,16.02,2.05,1.73,0.2,61.61,0.41,0.23,275.96,43.81,81689.13,31,一级
新疆维吾尔自治区,2013-03-15,11.89,12.39,2.1,1.4,0.2,64.96,0.44,-0.07,275.83,47.52,81906.26,33,一级
新疆维吾尔自治区,2013-03-16,10.65,11.16,2.08,1.35,0.19,68.55,-0.16,0.01,276.52,45.82,82193.76,35,一级
新疆维吾尔自治区,2013-03-17,9.87,10.26,2.05,1.22,0.19,70.24,-1.44,-0.42,276.6,44.15,82291.37,36,一级
新疆维吾尔自治区,2013-03-18,8.66,9.09,1.73,1.06,0.18,74.58,0.54,0.21,277.06,39.01,81744.7,38,一级
新疆维吾尔自治区,2013-03-19,5.82,6.4,1.65,1.11,0.17,75.03,1.78,0.1,278.11,37.75,81461.42,38,一级
新疆维吾尔自治区,2013-03-20,4.43,5.11,1.49,1.04,0.16,73.41,2.07,0.34,279.17,36.82,81463.58,37,一级
新疆维吾尔自治区,2013-03-21,4.85,5.51,1.61,1.08,0.16,71.15,1.5,-1.18,279.06,40.47,81461.76,36,一级
新疆维吾尔自治区,2013-03-22,5.95,6.67,1.75,1.08,0.15,72.26,0.48,-0.02,279.25,38.01,81604.93,37,一级
新疆维吾尔自治区,2013-03-23,11.06,11.77,1.65,1.03,0.15,70.91,-0.23,0.6,279.88,37.82,81460.3,36,一级
新疆维吾尔自治区,2013-03-24,19.2,19.81,1.78,1.03,0.15,69.91,0.47,-0.96,279.26,40.16,81713.04,35,一级
新疆维吾尔自治区,2013-03-25,35.43,35.9,1.67,0.95,0.16,73.44,-1.96,-0.33,278.8,36.36,81842.46,51,二级
新疆维吾尔自治区,2013-03-26,34.2,34.8,1.57,1.04,0.16,73.89,0.43,-0.31,279.52,36.07,81677.11,49,一级
新疆维吾尔自治区,2013-03-27,21.61,22.45,1.62,1.13,0.16,73.9,1.25,-0.61,280.55,36.75,81688.82,37,一级
新疆维吾尔自治区,2013-03-28,11.66,12.6,1.63,1.02,0.16,71.3,0.33,-0.6,280.39,42.0,81865.7,36,一级
新疆维吾尔自治区,2013-03-29,10.43,10.95,1.54,1.0,0.16,72.0,-0.26,-0.16,281.03,38.09,81687.43,36,一级
新疆维吾尔自治区,2013-03-30,9.09,9.75,1.54,1.04,0.16,72.14,-0.31,-0.37,281.8,36.31,81655.11,37,一级
新疆维吾尔自治区,2013-03-31,11.03,11.81,1.59,1.04,0.16,72.15,-1.61,0.1,282.36,35.39,81720.32,37,一级
新疆维吾尔自治区,2013-04-01,22.64,25.2,1.67,0.99,0.16,68.63,-1.34,0.08,282.04,36.64,81577.78,35,一级
新疆维吾尔自治区,2013-04-02,30.4,30.92,1.75,1.0,0.16,67.92,0.76,-1.43,279.3,42.49,81580.57,44,一级
新疆维吾尔自治区,2013-04-03,27.57,27.85,1.5,0.81,0.15,71.73,2.6,-3.07,276.05,44.52,81675.61,40,一级
新疆维吾尔自治区,2013-04-04,49.31,49.55,1.34,0.74,0.14,76.96,-0.14,-2.36,273.91,43.1,82082.47,68,二级
新疆维吾尔自治区,2013-04-05,44.39,44.76,1.38,0.93,0.14,77.32,-2.23,0.15,275.37,34.29,82081.87,62,二级
新疆维吾尔自治区,2013-04-06,34.18,34.64,1.22,0.95,0.14,78.33,1.52,-0.87,276.82,32.03,81730.44,49,一级
新疆维吾尔自治区,2013-04-07,22.41,22.77,1.13,0.9,0.13,78.38,1.22,-1.07,277.67,31.49,81725.14,40,一级
新疆维吾尔自治区,2013-04-08,37.18,37.63,1.03,0.97,0.13,74.63,-2.19,0.09,278.56,28.71,81961.24,53,二级
新疆维吾尔自治区,2013-04-09,61.0,62.88,1.08,1.11,0.13,70.84,-2.11,0.29,279.62,27.35,82126.38,83,二级
新疆维吾尔自治区,2013-04-10,39.43,40.62,1.12,1.16,0.14,74.36,-0.4,-0.16,281.04,27.63,82038.0,56,二级
新疆维吾尔自治区,2013-04-11,23.11,23.91,1.16,1.08,0.14,75.78,-1.77,-0.49,281.91,28.28,82100.7,38,一级
新疆维吾尔自治区,2013-04-12,19.34,20.45,1.28,1.18,0.14,77.28,-1.02,0.68,282.92,25.47,82120.33,39,一级
新疆维吾尔自治区,2013-04-13,16.32,17.59,1.17,1.13,0.13,83.4,1.64,0.36,284.53,22.1,81862.08,42,一级
新疆维吾尔自治区,2013-04-14,18.81,20.09,1.29,1.01,0.13,84.31,3.18,-0.41,285.2,25.19,81634.57,43,一级
新疆维吾尔自治区,2013-04-15,13.56,14.04,1.32,0.77,0.14,82.56,2.44,-0.33,284.52,34.94,81387.26,42,一级
新疆维吾尔自治区,2013-04-16,16.01,16.6,1.19,0.92,0.14,79.64,0.67,-0.51,284.32,36.92,80958.96,40,一级
新疆维吾尔自治区,2013-04-17,60.26,60.49,1.26,0.71,0.15,70.15,1.43,-2.06,281.34,44.76,81007.4,82,二级
新疆维吾尔自治区,2013-04-18,51.48,51.81,1.18,0.97,0.15,66.98,1.22,-0.43,280.09,45.01,81086.65,71,二级
新疆维吾尔自治区,2013-04-19,35.64,35.93,1.31,0.96,0.15,66.22,1.52,-1.8,279.27,45.08,81381.16,51,二级
新疆维吾尔自治区,2013-04-20,24.1,24.44,1.65,1.0,0.15,72.45,-0.21,-0.75,278.93,42.71,81665.82,37,一级
新疆维吾尔自治区,2013-04-21,17.68,18.15,1.44,0.93,0.14,75.53,0.81,-1.07,280.76,37.42,81609.34,38,一级
新疆维吾尔自治区,2013-04-22,13.92,14.45,1.3,0.89,0.14,75.38,0.12,-0.44,282.47,35.87,81770.34,38,一级
新疆维吾尔自治区,2013-04-23,13.03,13.53,1.12,0.93,0.14,76.56,-1.47,0.98,284.89,29.36,81744.61,39,一级
新疆维吾尔自治区,2013-04-24,15.06,15.69,1.13,1.01,0.14,78.7,-1.36,0.89,286.89,24.17,81674.89,40,一级
新疆维吾尔自治区,2013-04-25,16.08,16.85,1.09,0.98,0.13,76.86,-0.31,0.4,287.44,26.03,81564.6,39,一级
新疆维吾尔自治区,2013-04-26,12.45,12.88,1.11,0.83,0.13,74.27,1.65,-0.5,286.91,32.13,81530.23,38,一级
新疆维吾尔自治区,2013-04-27,19.34,19.72,1.24,0.83,0.14,72.98,-0.09,-1.14,286.2,37.07,81576.61,37,一级
新疆维吾尔自治区,2013-04-28,43.9,44.3,1.1,0.8,0.14,69.11,-1.17,-1.02,285.58,39.26,81508.41,62,二级
新疆维吾尔自治区,2013-04-29,60.23,60.49,1.17,0.86,0.14,64.13,-0.58,-1.44,284.57,45.42,81668.45,82,二级
新疆维吾尔自治区,2013-04-30,56.66,57.03,1.38,0.97,0.14,62.41,-1.1,-1.08,284.51,47.51,81824.73,78,二级
新疆维吾尔自治区,2013-05-01,46.06,46.53,1.41,0.97,0.14,63.18,-0.21,-2.29,284.56,46.98,81809.24,64,二级
新疆维吾尔自治区,2013-05-02,39.84,40.28,1.45,0.91,0.14,65.32,-1.2,-2.77,283.45,50.27,81865.26,57,二级
新疆维吾尔自治区,2013-05-03,38.03,38.46,1.28,0.97,0.14,67.85,-1.77,-0.38,284.67,42.23,81549.1,54,二级
新疆维吾尔自治区,2013-05-04,24.89,25.75,1.38,1.02,0.14,71.68,1.27,-1.73,284.91,43.99,81303.8,36,一级
新疆维吾尔自治区,2013-05-05,26.26,26.52,1.58,0.77,0.14,78.37,0.9,-2.33,282.17,48.02,81716.32,40,一级
新疆维吾尔自治区,2013-05-06,17.84,18.36,1.46,0.96,0.14,80.49,0.81,-1.33,282.82,42.52,81877.61,41,一级
新疆维吾尔自治区,2013-05-07,25.1,25.45,1.29,0.8,0.14,84.25,-1.26,-1.34,282.8,39.3,82029.43,43,一级
新疆维吾尔自治区,2013-05-08,34.45,34.86,1.17,0.95,0.13,87.64,-2.46,0.75,284.26,31.72,81975.84,50,一级
新疆维吾尔自治区,2013-05-09,38.18,39.12,1.08,1.25,0.13,92.09,-1.07,0.84,286.3,27.11,81722.65,54,二级
新疆维吾尔自治区,2013-05-10,20.58,21.47,0.84,1.01,0.13,93.21,1.89,-0.28,287.08,30.73,81560.72,47,一级
新疆维吾尔自治区,2013-05-11,20.47,20.82,0.93,0.89,0.14,86.28,0.73,-1.39,286.46,35.03,81326.98,44,一级
新疆维吾尔自治区,2013-05-12,67.39,67.72,1.02,0.79,0.14,81.06,-1.59,-1.4,284.73,36.28,81361.01,91,二级
新疆维吾尔自治区,2013-05-13,47.74,48.18,1.07,0.97,0.14,76.95,0.0,-1.73,285.06,39.88,81253.36,66,二级
新疆维吾尔自治区,2013-05-14,29.23,29.57,1.17,0.77,0.14,78.16,0.28,-2.52,282.74,47.54,81514.24,42,一级
新疆维吾尔自治区,2013-05-15,16.0,16.28,1.1,0.81,0.14,82.26,1.24,-1.35,282.93,45.56,81701.33,42,一级
新疆维吾尔自治区,2013-05-16,12.69,13.25,1.13,0.94,0.13,89.11,0.13,0.22,285.35,33.99,81698.26,45,一级
新疆维吾尔自治区,2013-05-17,11.16,11.5,1.1,0.77,0.13,91.26,2.25,-1.53,286.65,32.06,81483.36,46,一级
新疆维吾尔自治区,2013-05-18,18.39,18.74,1.13,0.82,0.13,87.67,1.38,-0.96,286.94,30.69,81466.56,44,一级
新疆维吾尔自治区,2013-05-19,15.28,15.97,1.14,1.05,0.13,84.39,1.81,0.92,290.09,25.89,81071.54,43,一级
新疆维吾尔自治区,2013-05-20,21.74,22.13,0.97,0.91,0.14,82.39,4.69,-1.0,290.32,33.48,80962.72,42,一级
新疆维吾尔自治区,2013-05-21,19.65,20.01,0.9,0.95,0.15,81.4,3.89,-0.49,289.8,36.77,81159.97,41,一级
新疆维吾尔自治区,2013-05-22,60.67,60.81,1.03,0.67,0.15,81.13,2.42,-3.04,286.32,39.05,81632.01,83,二级
新疆维吾尔自治区,2013-05-23,58.84,59.13,1.06,1.0,0.14,75.89,-0.67,-0.05,286.69,34.76,81835.54,80,二级
新疆维吾尔自治区,2013-05-24,37.38,37.66,0.89,1.0,0.14,75.64,0.97,-0.72,288.51,31.21,81484.96,53,二级
新疆维吾尔自治区,2013-05-25,27.85,28.05,1.02,0.78,0.14,76.06,1.29,-1.93,287.49,37.64,81275.58,40,一级
新疆维吾尔自治区,2013-05-26,47.87,48.15,1.25,0.71,0.14,76.96,0.18,-2.62,285.58,42.56,81390.16,67,二级
新疆维吾尔自治区,2013-05-27,62.19,62.51,1.25,0.76,0.14,78.77,-0.82,-2.31,283.55,45.59,81743.85,84,二级
新疆维吾尔自治区,2013-05-28,49.74,50.12,1.19,0.86,0.13,79.91,-1.7,-0.66,284.14,43.14,82067.32,69,二级
新疆维吾尔自治区,2013-05-29,36.95,37.43,1.16,0.98,0.13,79.96,0.61,-0.54,286.16,38.57,81933.86,53,二级
新疆维吾尔自治区,2013-05-30,32.55,32.96,1.11,0.88,0.13,77.11,2.1,-0.92,287.05,38.33,81752.4,47,一级
新疆维吾尔自治区,2013-05-31,23.42,23.74,1.1,0.83,0.13,82.71,1.39,-0.37,288.9,31.32,81495.98,42,一级
新疆维吾尔自治区,2013-06-01,14.84,15.22,1.06,0.94,0.13,87.06,1.66,-0.57,291.07,23.96,81380.36,44,一级
新疆维吾尔自治区,2013-06-02,12.2,12.72,0.99,1.15,0.13,85.63,2.11,0.23,292.95,22.9,81087.63,43,一级
新疆维吾尔自治区,2013-06-03,21.33,21.77,0.96,1.13,0.13,83.51,2.53,-1.35,292.52,30.15,80910.07,42,一级
新疆维吾尔自治区,2013-06-04,21.02,21.32,1.07,1.0,0.13,80.44,1.8,-1.43,291.48,35.96,81142.47,41,一级
新疆维吾尔自治区,2013-06-05,19.57,20.1,0.97,0.98,0.13,80.02,1.58,-1.64,291.83,37.57,81373.12,41,一级
新疆维吾尔自治区,2013-06-06,26.3,26.53,1.12,0.87,0.13,79.45,0.44,-3.16,289.95,41.72,81455.28,40,一级
新疆维吾尔自治区,2013-06-07,24.31,24.53,1.36,0.76,0.13,81.08,0.77,-2.94,287.48,45.55,81761.29,41,一级
新疆维吾尔自治区,2013-06-08,17.9,18.17,1.28,0.94,0.13,84.25,-0.92,-0.88,288.11,35.86,82018.29,43,一级
新疆维吾尔自治区,2013-06-09,28.46,29.67,1.06,1.05,0.12,88.72,-1.96,1.52,289.97,25.95,81962.68,45,一级
新疆维吾尔自治区,2013-06-10,32.07,32.95,0.99,1.12,0.12,90.67,-0.33,1.46,292.97,19.76,81457.19,46,一级
新疆维吾尔自治区,2013-06-11,18.71,19.5,0.89,0.84,0.12,88.21,1.75,-1.05,293.97,25.98,81217.28,45,一级
新疆维吾尔自治区,2013-06-12,41.27,41.54,1.04,0.84,0.13,80.53,0.75,-2.61,292.18,32.3,81085.26,58,二级
新疆维吾尔自治区,2013-06-13,43.57,43.84,1.06,0.86,0.13,75.06,0.45,-2.65,290.09,38.39,81021.44,61,二级
新疆维吾尔自治区,2013-06-14,27.08,27.36,1.22,0.86,0.13,74.35,0.5,-2.12,287.96,46.33,81140.34,39,一级
新疆维吾尔自治区,2013-06-15,14.85,15.17,1.28,0.78,0.13,75.73,-0.79,-1.68,287.24,48.15,81404.59,38,一级
新疆维吾尔自治区,2013-06-16,16.19,16.72,1.4,1.06,0.12,77.23,-1.58,-0.49,288.04,44.41,81352.2,39,一级
新疆维吾尔自治区,2013-06-17,16.9,17.53,1.26,1.13,0.12,76.25,-1.43,-0.17,288.94,44.11,81134.82,39,一级
新疆维吾尔自治区,2013-06-18,13.47,13.84,1.23,0.84,0.11,73.52,-0.94,-0.51,287.81,53.53,81115.33,37,一级
新疆维吾尔自治区,2013-06-19,9.93,10.36,1.46,1.0,0.11,81.1,-0.3,-0.63,287.24,57.37,81274.11,41,一级
新疆维吾尔自治区,2013-06-20,7.87,8.2,1.47,0.98,0.11,90.12,0.47,-0.68,288.57,47.73,81505.42,46,一级
新疆维吾尔自治区,2013-06-21,6.61,7.03,1.39,0.92,0.11,95.99,-0.02,-0.83,290.26,37.96,81598.61,48,一级
新疆维吾尔自治区,2013-06-22,6.69,7.14,1.37,1.06,0.11,93.41,-0.17,-0.71,291.91,33.1,81496.56,47,一级
新疆维吾尔自治区,2013-06-23,7.14,7.67,1.26,1.13,0.11,88.56,0.68,-1.47,292.99,32.16,81340.43,45,一级
新疆维吾尔自治区,2013-06-24,9.76,10.06,1.3,0.9,0.11,84.4,0.96,-2.14,293.13,34.71,81314.02,43,一级
新疆维吾尔自治区,2013-06-25,12.54,12.97,1.19,1.0,0.11,82.45,0.76,-1.45,293.66,30.7,81319.48,42,一级
新疆维吾尔自治区,2013-06-26,16.54,16.99,1.1,1.08,0.11,83.18,-0.07,-1.0,294.47,25.37,81133.68,42,一级
新疆维吾尔自治区,2013-06-27,22.36,22.64,0.98,0.94,0.11,82.57,0.37,-1.58,294.3,29.76,80759.73,42,一级
新疆维吾尔自治区,2013-06-28,37.46,37.88,1.04,0.95,0.12,77.11,0.23,-2.38,292.93,38.83,80648.09,54,二级
新疆维吾尔自治区,2013-06-29,29.47,29.81,1.2,0.94,0.13,73.89,0.03,-1.94,291.44,43.51,80926.42,43,一级
新疆维吾尔自治区,2013-06-30,21.62,21.92,1.09,0.92,0.12,74.21,-0.2,-0.92,291.94,42.12,81064.2,38,一级
新疆维吾尔自治区,2013-07-01,18.18,18.68,1.05,1.08,0.12,75.24,-0.89,-1.29,292.17,43.73,81076.8,38,一级
新疆维吾尔自治区,2013-07-02,14.57,14.94,1.05,0.89,0.12,72.32,-0.73,-0.96,292.04,46.17,81038.34,37,一级
新疆维吾尔自治区,2013-07-03,13.49,13.99,1.01,1.14,0.12,70.42,-0.2,-0.73,293.86,39.85,81089.97,36,一级
