province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河北省,2013-01-01,49.04,85.83,41.52,25.92,1.32,41.6,4.38,-6.73,257.78,46.32,95767.66,68,二级
河北省,2013-01-02,24.84,35.74,29.05,15.77,0.91,50.99,4.39,-6.44,255.09,42.47,97006.06,36,一级
河北省,2013-01-03,51.81,79.33,56.31,27.9,1.14,46.03,2.73,-3.55,257.41,44.02,97426.52,72,二级
河北省,2013-01-04,97.44,143.37,102.55,45.5,1.76,38.15,2.83,-0.72,259.41,44.52,96593.19,129,三级
河北省,2013-01-05,130.45,185.9,107.19,52.22,2.18,40.72,1.71,-2.99,260.79,42.3,96262.34,173,四级
河北省,2013-01-06,166.27,234.66,122.54,61.72,2.77,33.1,1.55,-1.47,261.18,49.02,96215.01,217,五级
河北省,2013-01-07,203.61,286.08,128.54,67.48,2.92,31.1,1.39,-2.66,262.0,54.39,96025.48,254,五级
河北省,2013-01-08,165.65,234.21,96.25,56.29,2.54,33.59,1.11,-4.94,258.7,57.81,96482.76,216,五级
河北省,2013-01-09,90.4,134.4,78.82,44.25,1.67,35.51,2.73,-1.98,260.1,51.51,96437.78,120,三级
河北省,2013-01-10,178.38,259.96,107.29,63.14,2.55,24.17,1.29,1.34,263.92,60.88,96145.97,229,五级
河北省,2013-01-11,229.68,324.27,117.9,68.92,3.21,25.79,3.69,-2.05,265.34,66.17,95881.02,280,五级
河北省,2013-01-12,243.84,344.52,101.77,77.85,3.72,29.54,1.63,0.64,267.12,55.71,95854.94,294,五级
河北省,2013-01-13,188.75,273.59,100.84,71.01,3.2,22.41,0.57,-2.11,265.96,68.91,95862.02,239,五级
河北省,2013-01-14,144.78,231.06,96.21,64.39,2.79,25.57,-0.56,-0.59,266.87,62.3,96174.84,193,四级
河北省,2013-01-15,109.32,175.45,76.47,55.1,2.26,27.03,1.5,-1.01,265.34,74.61,96023.99,143,三级
河北省,2013-01-16,118.54,192.05,77.95,45.06,2.31,32.3,0.29,-4.81,262.82,59.12,96697.03,156,四级
河北省,2013-01-17,112.77,164.73,70.52,48.65,2.06,34.48,1.87,-1.47,264.42,52.36,97156.94,148,三级
河北省,2013-01-18,144.99,213.13,98.83,61.38,2.39,24.96,4.07,0.95,268.61,52.99,96350.97,193,四级
河北省,2013-01-19,182.69,258.58,92.49,67.98,2.75,24.52,-1.89,-1.26,267.32,61.46,96378.6,233,五级
河北省,2013-01-20,120.21,155.81,80.79,60.31,2.25,17.88,-1.27,-1.04,266.41,88.93,96400.12,158,四级
河北省,2013-01-21,132.49,167.74,86.45,53.38,2.66,27.25,0.02,-4.21,265.59,75.74,96407.97,175,四级
河北省,2013-01-22,145.77,203.78,83.12,53.96,2.85,32.23,0.77,-0.67,265.32,65.16,96340.53,194,四级
河北省,2013-01-23,129.83,205.15,103.76,57.78,2.75,24.82,4.35,-1.25,267.27,72.46,95392.65,172,四级
河北省,2013-01-24,95.61,154.0,78.05,45.46,2.37,39.14,3.88,-5.44,264.01,48.77,95852.22,126,三级
河北省,2013-01-25,77.43,115.5,58.72,39.88,1.68,33.22,1.23,-2.67,262.2,59.75,95847.15,104,三级
河北省,2013-01-26,81.09,111.56,62.14,39.85,1.49,32.02,1.34,-2.39,263.65,71.66,96176.06,108,三级
河北省,2013-01-27,132.55,187.34,82.55,48.4,2.03,26.47,1.75,0.03,266.32,72.52,96200.52,176,四级
河北省,2013-01-28,153.08,240.55,83.01,50.05,2.2,26.76,2.34,-1.39,270.12,69.1,95704.21,204,五级
河北省,2013-01-29,148.62,243.12,89.08,61.21,2.73,25.92,0.79,-0.75,269.75,74.46,95924.82,199,四级
河北省,2013-01-30,153.72,255.24,97.06,71.93,3.21,17.63,1.16,1.04,270.41,78.45,95977.13,204,五级
河北省,2013-01-31,141.43,213.38,98.01,75.21,3.79,17.18,0.12,0.6,270.69,88.5,95736.13,188,四级
河北省,2013-02-01,57.42,82.7,52.24,33.5,1.8,37.35,2.31,-5.52,266.88,57.15,96199.33,79,二级
河北省,2013-02-02,50.11,74.09,55.33,36.75,1.09,35.39,1.61,-0.54,265.19,57.57,96675.94,69,二级
河北省,2013-02-03,102.16,127.16,71.19,48.04,1.71,19.38,1.09,3.28,268.63,86.45,95603.38,134,三级
