province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
西藏自治区,2013-01-01,1.27,1.5,0.15,0.52,0.12,81.5,7.16,-0.24,263.19,34.62,57117.54,41,一级
西藏自治区,2013-01-02,2.7,3.34,0.26,0.66,0.13,79.87,10.55,2.27,264.78,36.23,56894.84,40,一级
西藏自治区,2013-01-03,3.82,4.37,0.41,0.58,0.14,78.81,8.85,1.4,260.3,45.02,56746.02,40,一级
西藏自治区,2013-01-04,4.0,4.8,0.48,0.53,0.14,80.57,11.64,1.55,261.27,44.25,56703.75,41,一级
西藏自治区,2013-01-05,4.29,5.21,0.53,0.54,0.14,79.9,10.38,2.11,260.0,44.69,56521.28,40,一级
西藏自治区,2013-01-06,3.87,4.73,0.48,0.5,0.14,79.04,8.93,1.09,258.51,42.5,56529.58,40,一级
西藏自治区,2013-01-07,4.02,4.87,0.48,0.54,0.13,76.35,7.91,0.51,258.0,43.4,56415.66,39,一级
西藏自治区,2013-01-08,5.14,5.91,0.64,0.5,0.14,75.72,6.82,-0.98,258.37,42.83,56504.88,38,一级
西藏自治区,2013-01-09,3.08,3.58,0.37,0.53,0.12,71.03,7.65,-1.83,259.78,45.1,56658.66,36,一级
西藏自治区,2013-01-10,2.3,2.67,0.26,0.56,0.12,72.09,5.12,-2.7,258.4,50.45,56635.82,37,一级
西藏自治区,2013-01-11,1.51,1.82,0.17,0.55,0.12,72.63,5.11,-4.02,258.77,44.4,56877.77,37,一级
西藏自治区,2013-01-12,0.8,1.04,0.08,0.47,0.13,74.12,7.89,-2.49,262.19,39.56,57106.27,38,一级
西藏自治区,2013-01-13,1.36,1.76,0.13,0.59,0.14,79.4,10.68,-0.22,263.57,42.91,56848.45,40,一级
西藏自治区,2013-01-14,1.72,2.18,0.15,0.61,0.13,75.51,8.6,-1.2,261.13,42.46,56807.71,38,一级
西藏自治区,2013-01-15,1.54,2.04,0.14,0.58,0.12,75.28,8.92,0.55,261.83,38.93,56971.2,38,一级
西藏自治区,2013-01-16,1.81,2.36,0.15,0.58,0.12,74.36,8.99,1.1,262.14,44.46,57149.84,38,一级
西藏自治区,2013-01-17,1.53,2.0,0.17,0.6,0.13,75.63,8.55,2.88,263.51,47.73,57296.29,38,一级
西藏自治区,2013-01-18,9.2,10.49,2.2,0.64,0.16,83.14,9.33,7.55,264.98,56.51,57146.4,42,一级
西藏自治区,2013-01-19,6.7,7.82,1.22,0.55,0.15,85.28,11.47,6.55,261.55,54.85,56832.63,43,一级
西藏自治区,2013-01-20,4.21,4.83,0.57,0.55,0.13,82.6,8.55,1.99,258.04,53.94,56696.28,42,一级
西藏自治区,2013-01-21,3.0,3.42,0.39,0.52,0.13,80.22,6.48,0.42,256.05,49.85,56913.3,41,一级
西藏自治区,2013-01-22,1.4,1.63,0.17,0.53,0.12,79.75,3.51,0.29,255.41,49.9,57094.75,40,一级
西藏自治区,2013-01-23,1.21,1.46,0.12,0.55,0.11,80.6,3.32,0.28,255.73,53.06,57050.03,41,一级
西藏自治区,2013-01-24,1.33,1.64,0.12,0.58,0.11,82.98,3.69,0.79,255.78,54.48,56898.42,42,一级
西藏自治区,2013-01-25,1.2,1.48,0.1,0.5,0.13,90.76,3.66,-1.16,255.79,49.01,57003.12,46,一级
西藏自治区,2013-01-26,0.92,1.14,0.08,0.55,0.12,84.32,3.46,-0.9,256.78,46.11,57005.74,43,一级
西藏自治区,2013-01-27,1.05,1.29,0.09,0.52,0.12,81.06,3.67,-1.73,256.98,49.72,57133.73,41,一级
西藏自治区,2013-01-28,0.77,0.98,0.06,0.53,0.12,79.7,5.28,0.52,259.32,48.45,57107.36,40,一级
西藏自治区,2013-01-29,1.28,1.66,0.09,0.65,0.12,78.5,4.44,-0.27,259.2,53.21,57048.1,40,一级
西藏自治区,2013-01-30,1.33,1.61,0.11,0.58,0.12,79.73,4.99,-0.6,259.1,53.57,57087.54,40,一级
西藏自治区,2013-01-31,1.02,1.29,0.08,0.6,0.12,75.99,5.21,-0.03,260.61,58.04,57221.45,38,一级
西藏自治区,2013-02-01,1.63,2.01,0.12,0.66,0.13,79.93,3.15,0.39,260.18,66.65,57173.79,40,一级
西藏自治区,2013-02-02,1.62,1.91,0.12,0.56,0.12,79.78,3.72,0.5,259.58,63.08,57087.05,40,一级
西藏自治区,2013-02-03,1.8,2.11,0.14,0.58,0.12,75.56,4.42,0.17,260.01,65.83,57029.02,38,一级
西藏自治区,2013-02-04,1.56,1.89,0.15,0.51,0.12,71.53,5.91,1.18,262.66,59.11,57237.01,36,一级
西藏自治区,2013-02-05,3.98,4.59,0.68,0.57,0.13,76.39,6.23,5.06,265.61,63.27,57408.05,39,一级
西藏自治区,2013-02-06,7.86,8.95,1.42,0.59,0.15,81.15,10.28,5.49,265.55,57.37,57311.23,41,一级
西藏自治区,2013-02-07,3.86,4.74,0.59,0.53,0.13,83.34,9.22,2.94,262.63,57.71,57012.93,42,一级
西藏自治区,2013-02-08,3.48,3.99,0.51,0.45,0.13,93.89,5.44,0.72,258.28,51.35,56964.13,47,一级
西藏自治区,2013-02-09,2.47,2.83,0.32,0.45,0.14,103.11,4.92,0.47,258.52,46.5,57100.08,53,二级
西藏自治区,2013-02-10,1.62,1.98,0.16,0.51,0.12,85.49,9.01,1.59,261.75,45.5,57054.07,43,一级
西藏自治区,2013-02-11,1.58,1.87,0.14,0.47,0.11,76.33,9.13,0.63,262.22,43.89,57126.67,39,一级
西藏自治区,2013-02-12,1.59,1.93,0.13,0.51,0.11,74.78,9.61,1.43,262.83,46.97,57184.01,38,一级
西藏自治区,2013-02-13,1.79,2.17,0.16,0.46,0.11,76.08,9.56,1.6,261.6,51.34,56991.34,39,一级
西藏自治区,2013-02-14,2.18,2.6,0.2,0.46,0.12,77.54,8.04,0.16,260.79,51.95,56988.14,39,一级
西藏自治区,2013-02-15,2.19,2.58,0.23,0.46,0.11,77.46,7.08,2.22,261.63,55.74,57000.84,39,一级
西藏自治区,2013-02-16,5.4,6.05,0.9,0.41,0.13,77.46,7.62,4.47,262.43,63.54,56792.24,39,一级
西藏自治区,2013-02-17,8.32,9.31,1.5,0.45,0.15,80.75,8.72,5.95,262.51,66.66,56555.85,41,一级
西藏自治区,2013-02-18,5.1,5.56,0.77,0.6,0.14,81.28,5.92,0.56,259.31,59.9,56655.06,41,一级
西藏自治区,2013-02-19,3.1,3.41,0.36,0.58,0.13,75.81,4.76,0.02,258.4,62.08,56855.57,38,一级
西藏自治区,2013-02-20,2.42,2.74,0.25,0.55,0.12,76.32,4.1,0.81,258.43,65.48,56880.21,39,一级
西藏自治区,2013-02-21,2.08,2.37,0.21,0.51,0.12,76.18,2.9,-0.2,258.68,63.2,57154.42,39,一级
西藏自治区,2013-02-22,1.71,2.01,0.16,0.48,0.11,78.48,5.56,2.59,261.76,57.23,57306.99,40,一级
西藏自治区,2013-02-23,1.94,2.29,0.2,0.47,0.11,78.76,6.28,3.01,262.46,56.22,57357.28,40,一级
西藏自治区,2013-02-24,3.37,3.89,0.53,0.52,0.12,81.4,5.09,2.57,262.77,60.94,57326.61,41,一级
西藏自治区,2013-02-25,3.57,4.07,0.56,0.5,0.12,84.58,5.42,0.62,263.23,57.14,57328.38,43,一级
西藏自治区,2013-02-26,2.5,2.9,0.35,0.49,0.11,76.17,7.39,1.27,265.2,46.38,57447.14,39,一级
西藏自治区,2013-02-27,2.69,3.14,0.31,0.5,0.1,74.29,9.16,4.46,266.13,42.34,57330.85,38,一级
西藏自治区,2013-02-28,3.95,4.54,0.35,0.51,0.12,78.91,11.94,2.78,264.89,40.9,57117.1,40,一级
西藏自治区,2013-03-01,2.58,2.99,0.19,0.49,0.12,77.04,9.01,-1.15,263.91,39.89,57288.11,39,一级
西藏自治区,2013-03-02,2.07,2.4,0.14,0.5,0.12,79.94,4.72,-1.08,264.83,41.6,57574.39,40,一级
西藏自治区,2013-03-03,2.07,2.52,0.14,0.48,0.13,86.17,2.62,-1.55,265.1,44.59,57631.68,44,一级
西藏自治区,2013-03-04,2.03,2.46,0.12,0.46,0.13,89.98,3.15,-1.14,265.92,39.73,57704.63,45,一级
西藏自治区,2013-03-05,2.98,3.49,0.16,0.52,0.12,85.44,4.35,0.12,266.2,44.94,57659.71,43,一级
西藏自治区,2013-03-06,4.22,5.0,0.25,0.49,0.13,87.63,0.23,-0.76,265.46,49.47,57666.08,44,一级
西藏自治区,2013-03-07,4.71,5.75,0.33,0.46,0.14,94.55,-1.24,-0.8,266.05,45.65,57707.21,48,一级
西藏自治区,2013-03-08,5.32,6.6,0.36,0.46,0.14,101.58,2.64,-0.54,266.69,41.96,57623.11,52,二级
西藏自治区,2013-03-09,4.47,5.28,0.31,0.49,0.13,92.15,4.27,-0.36,267.11,42.81,57381.28,47,一级
西藏自治区,2013-03-10,7.11,8.32,0.59,0.48,0.15,90.29,5.88,2.19,265.94,55.86,57122.8,46,一级
西藏自治区,2013-03-11,6.82,7.63,0.76,0.47,0.16,99.39,4.4,-1.09,264.82,53.97,57216.36,50,一级
西藏自治区,2013-03-12,4.92,5.52,0.56,0.48,0.15,97.7,3.28,-1.56,265.94,44.93,57363.32,49,一级
西藏自治区,2013-03-13,3.65,4.23,0.39,0.5,0.13,88.89,5.15,0.63,266.71,51.61,57374.34,45,一级
西藏自治区,2013-03-14,5.47,6.22,0.51,0.45,0.13,87.45,6.2,2.07,266.66,56.18,57412.4,44,一级
西藏自治区,2013-03-15,7.45,8.4,0.9,0.44,0.15,88.64,7.31,2.73,266.34,56.04,57448.71,45,一级
西藏自治区,2013-03-16,6.51,7.31,0.72,0.46,0.13,89.95,6.27,1.3,265.49,52.65,57493.96,45,一级
西藏自治区,2013-03-17,4.64,5.25,0.46,0.44,0.13,90.03,4.32,0.71,265.06,52.16,57330.73,46,一级
西藏自治区,2013-03-18,4.58,5.14,0.49,0.45,0.14,91.2,3.14,-1.65,263.8,59.27,56956.85,46,一级
西藏自治区,2013-03-19,3.8,4.32,0.42,0.46,0.14,90.45,3.58,-3.09,264.46,54.79,57092.17,46,一级
西藏自治区,2013-03-20,2.64,3.05,0.27,0.48,0.14,90.92,2.91,-1.42,265.66,53.85,57340.53,46,一级
西藏自治区,2013-03-21,4.55,5.31,0.41,0.49,0.14,92.2,3.66,-1.12,265.84,60.48,57141.36,47,一级
西藏自治区,2013-03-22,5.45,6.15,0.51,0.45,0.15,94.72,1.55,-2.13,265.49,58.08,57126.29,48,一级
西藏自治区,2013-03-23,3.29,3.76,0.29,0.47,0.14,92.55,4.24,-0.45,266.84,50.49,57366.05,47,一级
西藏自治区,2013-03-24,3.54,4.04,0.32,0.4,0.13,90.6,5.86,-0.59,267.2,55.0,57451.92,46,一级
西藏自治区,2013-03-25,5.46,6.15,0.5,0.48,0.14,88.62,3.67,-0.59,266.66,57.15,57174.09,45,一级
西藏自治区,2013-03-26,6.36,7.07,0.59,0.43,0.14,88.24,3.18,-0.49,266.23,59.1,57005.23,45,一级
西藏自治区,2013-03-27,4.63,5.17,0.43,0.42,0.13,89.79,4.22,-1.67,267.05,52.79,57230.3,45,一级
西藏自治区,2013-03-28,3.48,3.93,0.24,0.45,0.12,86.83,3.6,-0.47,267.35,57.59,57356.7,44,一级
西藏自治区,2013-03-29,4.62,5.2,0.39,0.41,0.13,88.53,4.06,0.1,266.88,61.98,57245.65,45,一级
西藏自治区,2013-03-30,5.3,6.25,0.56,0.42,0.15,90.16,1.5,0.45,266.67,63.38,57120.31,46,一级
西藏自治区,2013-03-31,6.2,6.93,0.63,0.43,0.15,93.97,1.27,0.52,267.15,60.98,57127.65,47,一级
西藏自治区,2013-04-01,6.33,7.06,0.61,0.44,0.15,95.83,3.1,0.06,267.15,59.82,57196.13,48,一级
西藏自治区,2013-04-02,6.29,6.93,0.57,0.44,0.14,97.49,4.99,-0.07,266.91,58.21,57333.88,49,一级
西藏自治区,2013-04-03,6.19,6.93,0.58,0.45,0.14,100.51,5.28,-0.22,266.55,61.24,57236.49,51,二级
西藏自治区,2013-04-04,6.74,7.59,0.69,0.45,0.15,101.03,3.56,-1.17,265.85,64.18,56935.25,51,二级
西藏自治区,2013-04-05,6.45,6.88,0.47,0.39,0.14,99.43,0.45,-0.71,265.06,59.18,56868.87,50,一级
西藏自治区,2013-04-06,5.24,5.59,0.38,0.42,0.13,99.84,4.2,-1.67,265.13,55.59,56957.49,50,一级
西藏自治区,2013-04-07,2.62,2.87,0.23,0.43,0.13,95.83,4.67,-2.7,265.54,53.65,57151.55,48,一级
西藏自治区,2013-04-08,3.08,3.36,0.21,0.48,0.13,94.22,4.91,-2.45,267.22,55.13,57299.02,48,一级
西藏自治区,2013-04-09,4.58,4.93,0.25,0.46,0.12,93.44,5.35,-1.61,268.75,54.37,57494.17,47,一级
西藏自治区,2013-04-10,5.54,6.31,0.44,0.5,0.13,99.19,6.22,-0.73,268.62,62.46,57411.78,50,一级
西藏自治区,2013-04-11,6.12,7.03,0.63,0.42,0.14,104.2,5.01,0.1,268.06,64.21,57283.8,54,二级
西藏自治区,2013-04-12,6.74,7.54,0.63,0.41,0.14,106.01,4.44,-0.31,267.87,63.91,57383.39,56,二级
西藏自治区,2013-04-13,7.16,7.89,0.54,0.45,0.13,109.3,4.89,-0.3,268.56,58.97,57522.47,58,二级
西藏自治区,2013-04-14,8.03,8.94,0.71,0.41,0.14,116.34,4.47,0.03,267.64,61.16,57434.29,64,二级
西藏自治区,2013-04-15,7.27,8.36,0.71,0.42,0.14,127.64,1.28,-1.13,266.79,60.41,57279.58,74,二级
西藏自治区,2013-04-16,6.06,6.83,0.63,0.41,0.14,125.72,1.1,0.04,267.68,58.9,57114.73,72,二级
西藏自治区,2013-04-17,8.23,8.95,1.0,0.47,0.16,109.1,4.73,1.11,268.76,60.04,56946.49,58,二级
西藏自治区,2013-04-18,7.43,8.2,0.82,0.42,0.15,102.6,4.77,0.02,268.03,55.04,57044.19,53,二级
西藏自治区,2013-04-19,6.1,6.62,0.61,0.42,0.15,102.31,3.98,-0.48,268.18,53.97,57196.95,52,二级
西藏自治区,2013-04-20,5.77,6.42,0.58,0.48,0.15,103.75,2.15,0.92,268.88,57.12,57313.96,54,二级
西藏自治区,2013-04-21,7.14,7.88,0.96,0.46,0.16,107.31,3.26,1.73,269.42,61.21,57293.91,57,二级
西藏自治区,2013-04-22,7.36,8.15,1.12,0.48,0.16,105.36,2.24,1.22,269.69,62.76,57316.48,55,二级
西藏自治区,2013-04-23,7.59,8.3,0.91,0.42,0.16,110.73,1.35,0.06,270.01,60.29,57412.07,59,二级
西藏自治区,2013-04-24,7.54,8.27,0.87,0.43,0.16,116.44,1.57,-0.11,270.81,53.83,57523.87,64,二级
西藏自治区,2013-04-25,8.27,9.03,0.86,0.42,0.16,114.56,2.15,-0.44,271.51,53.74,57608.07,63,二级
西藏自治区,2013-04-26,8.19,9.05,0.78,0.43,0.15,110.35,2.51,-0.23,272.38,52.88,57666.31,59,二级
西藏自治区,2013-04-27,10.7,11.77,0.83,0.44,0.15,105.79,4.09,-0.88,272.39,56.24,57529.23,55,二级
西藏自治区,2013-04-28,10.54,11.16,0.67,0.4,0.14,98.89,5.72,-0.26,272.65,52.41,57436.73,50,一级
西藏自治区,2013-04-29,7.89,8.58,0.51,0.42,0.13,95.0,5.5,0.28,273.43,54.42,57501.68,48,一级
西藏自治区,2013-04-30,8.31,9.0,0.49,0.42,0.13,96.0,5.13,0.5,273.85,58.98,57584.0,48,一级
西藏自治区,2013-05-01,11.19,12.06,0.59,0.42,0.13,97.34,5.78,0.59,273.13,59.32,57399.94,49,一级
西藏自治区,2013-05-02,10.85,11.55,0.69,0.4,0.14,96.34,4.79,0.77,271.69,58.84,57115.1,49,一级
西藏自治区,2013-05-03,9.7,10.44,0.71,0.42,0.15,96.98,3.82,1.06,270.67,61.0,56985.77,49,一级
西藏自治区,2013-05-04,7.84,8.6,0.78,0.41,0.15,101.73,4.34,0.7,270.54,60.27,57159.62,52,二级
西藏自治区,2013-05-05,7.84,8.54,0.95,0.44,0.16,104.38,3.67,-0.12,270.27,65.61,57331.18,54,二级
西藏自治区,2013-05-06,7.34,7.93,0.84,0.46,0.17,105.25,3.12,-0.96,270.56,65.65,57383.52,55,二级
