province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
上海市,长宁区,2015-02-11,78.71,99.27,30.43,78.97,1.19,40.28,4.85,3.9,280.83,48.29,101591.41,105,三级
上海市,崇明区,2015-02-11,77.83,102.66,30.66,69.93,1.07,43.15,4.74,4.42,280.66,50.42,101591.17,104,三级
上海市,奉贤区,2015-02-11,62.73,79.0,17.6,68.54,0.82,55.11,3.86,3.9,281.3,51.62,101639.43,86,二级
上海市,闵行区,2015-02-11,75.14,92.73,22.96,76.89,1.09,44.14,4.67,3.33,281.21,48.74,101614.95,101,三级
上海市,嘉定区,2015-02-11,76.58,103.09,31.47,71.89,1.11,40.79,4.72,4.04,280.66,48.95,101570.58,102,三级
上海市,宝山区,2015-02-11,78.98,102.46,32.04,78.24,1.18,38.15,4.77,4.18,280.63,47.82,101594.68,105,三级
上海市,浦东新区,2015-02-11,70.2,86.47,21.47,70.5,0.97,48.6,4.37,4.04,281.04,50.05,101628.85,94,二级
上海市,松江区,2015-02-11,70.23,90.01,23.13,72.66,1.0,48.66,4.75,3.16,281.08,48.18,101624.52,95,二级
上海市,金山区,2015-02-11,64.5,84.21,19.54,68.91,0.86,50.86,4.32,3.04,281.52,48.34,101637.26,87,二级
上海市,青浦区,2015-02-11,70.91,93.18,23.88,64.27,0.98,49.9,4.68,3.5,280.76,47.86,101607.62,95,二级
