province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
云南省,临沧市,2017-01-24,30.12,33.84,8.27,5.86,0.9,58.71,2.28,2.28,285.78,79.52,84467.69,44,一级
云南省,昭通市,2017-01-24,90.64,114.41,19.53,15.4,1.17,51.34,-0.46,-1.74,277.44,81.04,84628.88,120,三级
云南省,怒江傈僳族自治州,2017-01-24,11.23,16.51,1.45,2.24,0.38,72.52,2.72,-0.83,276.84,46.97,73058.15,37,一级
云南省,迪庆藏族自治州,2017-01-24,4.37,6.44,1.22,4.52,0.29,70.96,4.48,-2.89,273.17,34.8,67427.91,36,一级
云南省,文山壮族苗族自治州,2017-01-24,37.24,45.56,11.35,4.56,0.6,62.71,1.89,4.0,283.14,83.96,87171.69,53,二级
云南省,西双版纳傣族自治州,2017-01-24,22.73,33.65,9.33,3.81,0.63,47.17,-2.58,0.68,287.19,79.79,89619.98,34,一级
云南省,丽江市,2017-01-24,12.9,20.28,3.7,6.2,0.55,67.79,6.29,-1.47,280.31,29.22,74871.19,34,一级
云南省,大理白族自治州,2017-01-24,23.01,32.92,5.0,5.89,0.83,71.25,5.97,0.39,281.97,53.29,78460.77,36,一级
云南省,昆明市,2017-01-24,19.73,30.84,9.99,11.26,0.73,61.74,8.4,3.67,282.72,73.28,79619.93,31,一级
云南省,楚雄彝族自治州,2017-01-24,23.4,32.14,7.47,6.45,0.78,63.53,5.86,4.16,284.03,68.38,81394.28,34,一级
云南省,普洱市,2017-01-24,24.05,33.25,8.54,3.17,0.6,59.85,-0.14,2.74,285.59,86.39,86574.68,35,一级
云南省,玉溪市,2017-01-24,20.05,30.59,8.56,5.55,0.46,66.46,3.54,3.77,284.36,85.03,84011.91,34,一级
云南省,德宏傣族景颇族自治州,2017-01-24,33.57,43.11,6.22,9.03,0.76,55.95,0.35,0.37,286.7,68.87,86636.63,48,一级
云南省,红河哈尼族彝族自治州,2017-01-24,26.94,35.32,10.17,4.17,0.45,68.27,1.51,2.91,283.7,86.75,85764.75,39,一级
云南省,保山市,2017-01-24,30.88,43.33,5.97,7.64,1.09,59.45,3.46,0.45,284.18,67.17,82312.2,45,一级
云南省,曲靖市,2017-01-24,21.2,30.92,9.67,9.18,0.67,59.75,5.65,2.25,282.22,71.77,80392.02,31,一级
