province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
内蒙古自治区,乌海市,2017-12-10,36.65,81.53,49.02,45.06,1.03,39.92,3.14,-1.51,268.39,44.39,88339.98,66,二级
内蒙古自治区,阿拉善盟,2017-12-10,3.04,5.16,1.77,1.95,0.2,53.15,-0.02,0.48,268.52,45.67,88162.82,27,一级
内蒙古自治区,包头市,2017-12-10,3.07,7.75,2.78,5.25,0.32,49.15,6.12,-4.84,263.63,67.46,86190.62,25,一级
内蒙古自治区,赤峰市,2017-12-10,2.26,5.02,2.55,1.86,0.27,56.86,6.87,-8.51,259.06,51.13,91745.0,29,一级
内蒙古自治区,巴彦淖尔市,2017-12-10,2.22,4.84,1.6,2.67,0.23,45.11,4.56,-2.36,266.26,53.14,87849.41,23,一级
内蒙古自治区,鄂尔多斯市,2017-12-10,11.93,24.31,14.61,20.34,0.48,40.61,5.01,-2.59,267.32,50.19,87552.5,26,一级
内蒙古自治区,乌兰察布市,2017-12-10,2.83,6.41,2.66,2.69,0.3,56.29,8.06,-6.21,262.08,66.65,86004.15,29,一级
内蒙古自治区,锡林郭勒盟,2017-12-10,0.58,1.19,1.27,0.69,0.21,58.65,5.77,-6.79,257.06,60.61,89045.54,30,一级
内蒙古自治区,兴安盟,2017-12-10,6.91,7.39,3.8,3.07,0.27,47.04,5.84,-8.13,252.19,53.91,94611.37,24,一级
内蒙古自治区,呼伦贝尔市,2017-12-10,2.84,4.65,3.3,2.65,0.24,50.44,2.3,-6.64,245.68,66.61,93620.67,26,一级
内蒙古自治区,呼和浩特市,2017-12-10,13.76,39.27,11.49,21.21,0.75,49.22,7.03,-4.4,264.94,60.68,86537.6,40,一级
内蒙古自治区,通辽市,2017-12-10,9.75,12.32,4.39,3.72,0.32,48.85,5.9,-8.32,259.57,48.47,97918.6,25,一级
