province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
北京市,平谷区,2017-06-08,18.91,41.54,4.63,41.43,0.47,77.27,2.83,-0.94,299.11,23.94,98479.85,52,二级
北京市,大兴区,2017-06-08,34.35,62.88,6.94,49.6,0.69,81.67,2.74,0.56,301.62,17.71,100290.1,62,二级
北京市,密云区,2017-06-08,18.66,30.65,2.91,19.79,0.29,79.61,1.91,-0.46,297.93,25.56,97530.18,40,一级
北京市,西城区,2017-06-08,25.1,54.62,5.79,59.78,0.63,60.4,2.44,-0.41,300.76,18.25,100129.02,75,二级
北京市,怀柔区,2017-06-08,20.68,26.81,1.91,10.23,0.2,72.08,5.33,-1.93,297.54,22.67,94691.16,37,一级
北京市,海淀区,2017-06-08,20.48,40.02,5.02,40.08,0.39,68.84,4.1,-1.11,300.92,18.22,99431.96,51,二级
北京市,昌平区,2017-06-08,19.4,32.93,4.15,25.77,0.3,71.8,5.66,-2.04,299.5,19.37,97476.18,36,一级
北京市,顺义区,2017-06-08,21.56,48.84,4.73,50.88,0.54,68.13,2.05,-0.05,299.82,23.59,100363.32,64,二级
北京市,丰台区,2017-06-08,27.54,56.9,6.78,57.93,0.64,66.19,2.72,0.08,301.4,17.36,99758.04,73,二级
北京市,延庆区,2017-06-08,20.27,28.15,2.6,12.25,0.22,72.56,5.75,-2.16,296.35,22.8,93216.28,37,一级
北京市,通州区,2017-06-08,32.49,66.64,5.96,55.61,0.8,71.1,2.62,0.41,300.76,21.07,100331.05,70,二级
北京市,门头沟区,2017-06-08,20.49,29.33,6.16,17.4,0.25,81.72,5.72,-1.95,297.25,19.49,92811.95,41,一级
北京市,朝阳区,2017-06-08,30.56,64.4,6.08,61.37,0.76,62.33,2.19,0.1,300.39,21.08,100258.58,77,二级
北京市,房山区,2017-06-08,22.79,34.88,6.77,20.73,0.31,86.42,4.01,-1.25,299.89,17.11,96025.71,44,一级
