province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
台湾省,台北市,2016-12-20,6.98,11.11,8.54,17.13,0.18,63.14,-6.64,0.76,294.63,85.9,99269.34,32,一级
台湾省,台南市,2016-12-20,17.11,24.02,10.11,34.97,0.25,41.64,0.46,-4.12,295.1,68.88,100864.78,44,一级
台湾省,宜兰县,2016-12-20,5.71,8.07,2.89,9.12,0.17,71.06,-1.61,1.92,291.3,81.84,92338.64,36,一级
台湾省,嘉义县,2016-12-20,13.22,18.03,8.17,29.37,0.22,47.43,-0.58,-1.78,293.7,60.15,94540.95,37,一级
台湾省,屏东县,2016-12-20,4.68,7.04,2.03,13.91,0.19,65.63,-5.79,-3.96,296.09,65.51,96786.33,33,一级
台湾省,台中市,2016-12-20,10.99,14.28,6.65,23.96,0.21,50.12,-0.59,0.36,291.58,54.4,89812.32,30,一级
台湾省,苗栗县,2016-12-20,10.18,14.4,8.04,25.19,0.2,49.71,-0.92,-0.49,294.09,56.51,94873.04,32,一级
台湾省,云林县,2016-12-20,17.81,26.47,10.25,29.37,0.23,49.38,0.31,-4.13,294.52,79.94,101226.92,37,一级
台湾省,彰化县,2016-12-20,17.51,25.04,11.53,33.73,0.24,46.61,0.7,-2.89,295.14,71.7,101179.14,43,一级
台湾省,新北市,2016-12-20,5.06,8.6,4.39,10.69,0.17,70.63,-5.52,1.66,293.79,87.01,97947.81,36,一级
台湾省,花莲县,2016-12-20,8.55,10.87,2.9,14.27,0.2,67.04,0.1,0.02,289.68,77.66,88412.21,34,一级
台湾省,台东县,2016-12-20,6.43,8.69,1.96,15.1,0.2,63.65,-2.83,-3.54,291.29,77.76,90670.52,32,一级
台湾省,基隆市,2016-12-20,5.79,9.84,6.31,13.03,0.17,68.3,-5.45,0.59,294.22,92.74,99554.95,35,一级
台湾省,南投县,2016-12-20,11.37,14.22,5.45,24.32,0.21,53.76,-0.8,1.14,290.69,57.11,87401.32,31,一级
台湾省,高雄市,2016-12-20,11.46,15.59,7.18,29.16,0.24,50.93,-0.25,-1.82,293.42,60.4,93513.65,37,一级
台湾省,新竹县,2016-12-20,10.24,13.64,8.15,22.47,0.19,53.21,-0.71,0.88,292.91,57.76,91961.29,29,一级
台湾省,桃园县,2016-12-20,8.92,13.51,10.12,23.28,0.19,55.23,-4.9,-0.04,295.81,67.81,99599.9,30,一级
