province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
四川省,攀枝花市,2018-07-21,28.0,42.94,26.85,12.8,0.79,79.35,-0.46,0.78,295.55,61.47,80686.47,43,一级
四川省,南充市,2018-07-21,30.04,53.35,8.46,21.03,0.57,92.31,-2.65,1.69,303.49,61.23,95437.14,52,二级
四川省,绵阳市,2018-07-21,25.76,41.34,8.48,9.7,0.39,87.4,-1.11,-0.25,296.94,77.58,87184.49,44,一级
四川省,眉山市,2018-07-21,20.75,38.71,8.14,14.16,0.52,110.78,0.24,-1.74,299.92,79.66,92482.78,59,二级
四川省,内江市,2018-07-21,24.54,48.56,10.22,17.83,0.6,113.04,-0.32,-0.47,302.49,71.62,95378.56,61,二级
四川省,广安市,2018-07-21,25.08,45.88,9.2,20.76,0.5,99.93,-2.16,3.48,304.23,56.9,95451.89,50,一级
四川省,巴中市,2018-07-21,21.69,35.95,7.25,10.38,0.38,81.73,-2.68,1.76,301.04,64.85,91527.06,41,一级
四川省,雅安市,2018-07-21,20.59,29.81,6.79,4.57,0.29,95.64,-0.65,-0.47,292.04,85.2,79660.27,48,一级
四川省,德阳市,2018-07-21,23.89,46.24,8.52,16.23,0.51,97.19,-1.76,-1.9,299.54,74.21,91229.73,49,一级
四川省,甘孜藏族自治州,2018-07-21,10.88,11.93,1.48,1.38,0.11,73.37,-0.15,2.5,281.47,81.63,61454.22,37,一级
四川省,遂宁市,2018-07-21,30.0,58.24,8.92,22.48,0.56,98.46,-2.46,1.0,303.44,63.2,95832.94,55,二级
四川省,自贡市,2018-07-21,30.81,51.06,8.81,16.16,0.66,112.04,0.8,-1.85,302.27,75.11,95316.5,61,二级
四川省,泸州市,2018-07-21,18.7,32.37,9.12,14.26,0.4,84.28,0.0,3.04,301.91,62.15,92439.56,43,一级
四川省,达州市,2018-07-21,24.25,40.99,9.97,17.35,0.39,89.45,-2.8,2.16,302.11,62.49,92985.13,45,一级
四川省,宜宾市,2018-07-21,26.97,43.4,7.77,12.93,0.56,98.42,1.76,-0.6,302.01,69.52,93835.02,50,一级
四川省,成都市,2018-07-21,19.76,39.83,9.24,17.61,0.52,112.18,-1.36,-2.13,300.1,74.23,92199.49,61,二级
四川省,阿坝藏族羌族自治州,2018-07-21,17.14,20.79,4.2,1.93,0.18,67.34,-0.31,1.36,283.45,88.99,65695.12,34,一级
四川省,资阳市,2018-07-21,22.98,49.37,9.55,18.17,0.53,103.83,-1.64,0.35,302.97,66.88,95597.71,54,二级
四川省,广元市,2018-07-21,20.0,35.11,9.17,9.78,0.39,76.26,-1.59,1.0,299.79,69.09,90590.97,39,一级
四川省,乐山市,2018-07-21,22.84,36.3,6.5,9.86,0.45,96.91,0.67,-1.0,298.1,78.73,88912.78,49,一级
四川省,凉山彝族自治州,2018-07-21,19.91,26.16,8.61,4.58,0.39,77.64,0.07,1.56,289.85,75.61,73953.44,39,一级
