province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
天津市,西青区,2013-06-01,94.26,179.14,29.44,39.91,1.41,71.06,-1.16,0.58,297.33,42.53,100521.38,125,三级
天津市,东丽区,2013-06-01,101.48,182.86,31.14,45.07,1.68,73.1,-1.02,1.31,296.77,47.04,100536.65,134,三级
天津市,静海区,2013-06-01,98.82,153.36,29.09,27.99,1.21,72.36,-1.5,0.79,297.5,43.11,100491.18,130,三级
天津市,津南区,2013-06-01,104.39,171.51,34.62,39.74,1.75,73.24,-1.42,2.13,296.02,52.26,100546.38,137,三级
天津市,滨海新区,2013-06-01,110.37,168.24,38.02,39.75,1.8,74.65,-1.42,2.16,295.36,55.32,100540.62,145,三级
天津市,武清区,2013-06-01,84.05,155.59,21.83,31.55,1.08,74.61,-0.78,-0.1,297.42,36.76,100509.74,112,三级
天津市,宁河区,2013-06-01,101.36,171.36,30.8,45.65,1.52,76.15,-0.92,1.33,296.45,45.87,100530.11,133,三级
天津市,蓟州区,2013-06-01,76.66,129.62,21.54,43.64,1.02,86.82,-2.02,0.12,297.25,29.64,99734.72,103,三级
天津市,宝坻区,2013-06-01,88.64,150.89,23.17,37.09,1.17,77.34,-1.17,0.96,297.03,38.65,100534.85,118,三级
天津市,北辰区,2013-06-01,94.8,194.81,29.53,45.71,1.49,71.32,-0.95,0.7,297.24,42.75,100541.84,125,三级
