province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
安徽省,宿州市,2018-08-08,45.63,72.08,9.45,20.7,0.76,136.53,-2.71,2.4,304.13,67.34,100182.3,81,二级
安徽省,滁州市,2018-08-08,32.81,52.53,8.13,22.79,0.55,125.94,-3.65,1.67,303.23,69.22,100038.5,72,二级
安徽省,合肥市,2018-08-08,39.32,63.56,7.5,22.41,0.71,139.29,-4.07,0.97,303.8,67.41,100103.29,83,二级
安徽省,马鞍山市,2018-08-08,27.62,48.31,7.48,17.32,0.62,111.09,-4.67,0.74,302.76,70.92,100293.61,60,二级
安徽省,淮南市,2018-08-08,49.16,77.47,9.96,21.48,0.83,153.35,-3.18,1.75,304.33,67.43,100242.38,95,二级
安徽省,铜陵市,2018-08-08,36.97,60.22,9.68,19.32,0.65,113.51,-3.9,-0.64,303.59,66.46,100104.25,62,二级
安徽省,六安市,2018-08-08,35.56,58.52,7.44,12.5,0.59,128.52,-2.71,1.2,303.19,64.51,97787.46,74,二级
安徽省,黄山市,2018-08-08,25.29,45.62,7.7,9.27,0.58,76.49,-3.69,-0.41,301.42,69.96,96376.6,46,一级
安徽省,安庆市,2018-08-08,36.03,62.2,7.87,13.35,0.59,116.31,-2.82,-1.59,303.1,65.63,98334.0,64,二级
安徽省,亳州市,2018-08-08,47.4,77.23,10.56,14.61,0.79,126.06,-2.33,1.93,304.46,67.49,100189.08,72,二级
安徽省,宣城市,2018-08-08,24.24,39.74,6.35,13.3,0.48,86.84,-4.05,0.74,301.68,71.65,98219.3,44,一级
安徽省,阜阳市,2018-08-08,35.5,66.83,9.74,13.88,0.73,113.73,-2.46,1.77,304.63,65.14,100151.68,62,二级
安徽省,蚌埠市,2018-08-08,45.52,65.82,9.73,21.49,0.67,142.93,-3.28,1.84,304.08,67.25,100254.38,86,二级
安徽省,芜湖市,2018-08-08,31.34,51.05,8.26,16.82,0.6,108.21,-4.55,-0.13,303.04,69.32,100244.14,57,二级
安徽省,淮北市,2018-08-08,52.32,80.6,11.7,19.95,0.83,141.55,-2.71,2.24,304.35,67.74,100207.93,85,二级
安徽省,池州市,2018-08-08,30.57,51.56,7.8,10.46,0.58,96.93,-3.11,-0.38,303.06,65.63,98386.35,51,二级
