province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
山东省,日照市,2013-08-16,45.38,73.16,20.73,16.56,0.5,105.61,-0.37,5.06,301.42,84.46,98693.53,63,二级
山东省,青岛市,2013-08-16,27.35,55.05,23.54,14.75,0.38,81.57,-0.34,6.29,301.23,88.05,99751.91,53,二级
山东省,淄博市,2013-08-16,53.24,88.95,29.72,18.37,0.55,135.76,2.79,7.0,303.55,65.56,97642.21,80,二级
山东省,菏泽市,2013-08-16,41.93,72.58,20.51,20.4,0.67,90.47,0.54,5.29,304.88,60.47,99662.0,62,二级
山东省,泰安市,2013-08-16,59.41,108.55,25.13,20.53,0.65,118.17,0.2,5.79,303.36,67.87,98418.95,81,二级
山东省,聊城市,2013-08-16,48.18,94.8,19.61,15.34,0.49,115.55,1.27,7.87,305.53,57.01,99658.72,73,二级
山东省,临沂市,2013-08-16,52.79,87.4,29.67,20.56,0.66,122.1,-0.54,4.56,302.26,76.53,98540.63,73,二级
山东省,济宁市,2013-08-16,48.05,87.28,30.89,21.3,0.67,116.35,-0.34,5.47,304.27,65.3,99567.44,69,二级
山东省,枣庄市,2013-08-16,46.57,83.41,45.48,27.18,0.74,130.86,-1.46,4.29,303.57,68.72,99211.5,76,二级
山东省,烟台市,2013-08-16,31.55,52.22,25.53,14.94,0.32,71.61,0.35,7.28,300.94,85.93,99150.01,52,二级
山东省,威海市,2013-08-16,18.49,30.32,13.94,9.18,0.17,59.98,1.43,7.49,300.08,91.3,99726.11,31,一级
山东省,潍坊市,2013-08-16,38.26,61.91,26.16,15.85,0.42,102.39,0.99,6.55,303.08,73.7,99131.4,56,二级
山东省,滨州市,2013-08-16,56.09,86.41,29.08,17.62,0.71,121.9,3.23,7.12,305.56,58.13,99911.13,77,二级
山东省,东营市,2013-08-16,58.34,85.55,42.97,25.08,0.68,102.35,2.47,6.5,305.33,59.87,99997.25,80,二级
山东省,济南市,2013-08-16,54.1,98.96,26.56,17.51,0.63,127.05,1.93,8.14,304.65,60.86,98773.77,75,二级
山东省,莱芜市,2013-08-16,60.1,101.85,24.27,17.78,0.58,136.5,1.04,5.88,302.0,72.2,96606.23,82,二级
山东省,德州市,2013-08-16,58.55,95.87,24.32,14.02,0.69,114.63,2.35,8.42,305.35,59.38,99813.74,80,二级
