province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
山西省,临汾市,2015-04-25,41.99,68.57,27.23,27.11,1.63,77.13,1.27,2.65,290.87,39.33,90415.46,60,二级
山西省,朔州市,2015-04-25,23.22,52.73,19.81,26.09,0.64,82.74,3.41,-1.15,288.98,14.25,86963.27,52,二级
山西省,长治市,2015-04-25,39.23,79.93,26.8,29.81,1.08,67.78,3.47,1.56,290.27,37.39,89227.11,65,二级
山西省,吕梁市,2015-04-25,30.24,55.54,19.81,16.05,1.89,72.46,1.83,2.44,290.03,33.13,88140.82,53,二级
山西省,太原市,2015-04-25,34.81,71.06,25.02,22.69,1.22,62.83,3.37,-0.01,289.96,26.87,87897.12,61,二级
山西省,晋城市,2015-04-25,58.88,111.46,28.2,30.74,1.44,71.26,1.69,1.85,290.84,38.52,90866.43,81,二级
山西省,运城市,2015-04-25,50.06,91.57,37.65,27.48,1.66,88.34,-1.11,1.83,293.49,35.38,94613.26,71,二级
山西省,大同市,2015-04-25,22.34,45.71,16.09,18.25,0.64,79.16,4.16,-1.42,289.35,12.69,87477.08,46,一级
山西省,阳泉市,2015-04-25,41.43,89.31,28.48,39.28,0.77,59.61,5.25,-0.33,292.29,23.39,90648.7,70,二级
山西省,忻州市,2015-04-25,25.56,45.17,16.37,18.68,0.62,79.24,2.78,-0.54,289.0,19.79,86583.11,46,一级
山西省,晋中市,2015-04-25,37.72,81.29,28.56,28.13,0.99,62.04,3.59,0.87,290.47,30.79,88849.06,66,二级
