province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广东省,清远市,2016-04-16,26.95,37.19,7.78,16.34,0.58,48.2,0.6,4.54,297.62,84.0,97114.69,39,一级
广东省,深圳市,2016-04-16,27.45,43.05,9.18,25.14,0.66,39.68,0.04,7.62,296.73,96.55,100292.28,44,一级
广东省,佛山市,2016-04-16,26.76,41.05,8.33,28.37,0.74,28.79,0.77,6.25,299.88,82.9,100666.53,42,一级
广东省,阳江市,2016-04-16,9.93,16.67,1.38,3.49,0.29,41.32,0.87,6.21,298.77,89.85,99271.24,21,一级
广东省,韶关市,2016-04-16,22.55,30.87,11.41,14.79,0.72,48.6,2.21,4.88,296.77,84.36,96390.22,33,一级
广东省,潮州市,2016-04-16,34.28,51.87,7.75,21.87,1.2,45.62,0.49,5.51,295.57,91.13,98903.46,51,二级
广东省,茂名市,2016-04-16,23.33,29.13,4.64,5.88,0.56,53.5,0.14,4.68,299.94,80.58,98708.77,34,一级
广东省,惠州市,2016-04-16,17.21,26.69,5.36,15.7,0.46,39.04,0.8,7.04,297.04,91.59,98979.86,27,一级
广东省,广州市,2016-04-16,33.78,57.56,11.07,35.53,0.82,24.43,-0.31,6.45,298.43,87.81,99805.21,54,二级
广东省,汕头市,2016-04-16,21.66,34.91,6.31,16.3,0.79,47.66,0.82,5.6,296.57,92.03,100724.27,35,一级
广东省,东莞市,2016-04-16,34.02,55.15,9.41,27.5,0.77,33.09,-0.21,7.32,297.5,93.97,100723.85,53,二级
广东省,揭阳市,2016-04-16,24.46,39.31,4.47,13.55,0.92,40.48,1.44,5.8,296.61,90.27,99610.95,40,一级
广东省,湛江市,2016-04-16,31.71,36.92,4.3,7.17,0.74,56.13,1.34,3.24,302.28,67.72,100426.28,46,一级
广东省,汕尾市,2016-04-16,9.18,15.61,1.5,5.53,0.4,39.54,1.39,6.45,296.46,94.06,99355.97,20,一级
广东省,江门市,2016-04-16,7.55,14.96,1.18,4.92,0.26,38.15,1.8,7.65,298.7,90.38,100119.04,20,一级
广东省,云浮市,2016-04-16,21.22,27.76,2.62,6.19,0.51,53.32,1.93,5.95,300.34,76.12,98595.64,31,一级
广东省,梅州市,2016-04-16,25.09,34.26,4.98,15.07,0.95,36.67,1.11,6.19,296.43,85.42,97533.55,36,一级
广东省,肇庆市,2016-04-16,27.51,35.42,4.15,9.98,0.54,57.29,1.08,4.09,299.66,78.73,98715.2,40,一级
广东省,珠海市,2016-04-16,4.14,13.2,1.24,4.96,0.19,39.86,1.26,7.88,297.53,96.26,100758.92,20,一级
广东省,河源市,2016-04-16,13.31,17.08,3.75,9.36,0.42,39.05,1.89,6.8,297.02,86.59,97676.58,20,一级
广东省,中山市,2016-04-16,15.99,24.19,3.9,12.68,0.45,36.27,1.37,7.48,298.38,90.86,100739.24,25,一级
