province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广西壮族自治区,玉林市,2014-12-24,85.23,121.77,24.86,32.47,1.59,51.09,-4.01,-3.85,288.98,61.95,100018.77,113,三级
广西壮族自治区,南宁市,2014-12-24,99.7,140.84,26.86,44.42,1.19,56.44,-2.86,-3.97,287.3,51.62,100046.54,131,三级
广西壮族自治区,百色市,2014-12-24,91.85,118.54,19.81,21.69,1.61,51.85,-1.38,0.65,283.86,66.0,93676.13,122,三级
广西壮族自治区,桂林市,2014-12-24,105.13,130.89,33.18,40.57,0.95,68.0,-3.55,-3.08,284.35,42.44,96621.97,138,三级
广西壮族自治区,防城港市,2014-12-24,87.89,123.66,21.29,31.63,1.2,64.57,-2.35,-5.01,287.76,57.66,99525.75,117,三级
广西壮族自治区,柳州市,2014-12-24,88.85,111.49,30.15,31.64,1.02,63.38,-2.54,-3.11,285.39,46.07,98245.53,118,三级
广西壮族自治区,贵港市,2014-12-24,86.33,117.94,18.79,24.28,1.55,62.27,-3.57,-3.29,287.99,53.38,100464.29,115,三级
广西壮族自治区,钦州市,2014-12-24,92.5,136.1,21.3,33.74,1.43,60.35,-3.03,-5.08,289.08,55.89,101138.34,122,三级
广西壮族自治区,崇左市,2014-12-24,96.65,116.15,20.78,31.96,1.07,61.69,-2.86,-3.06,286.6,59.26,98717.33,128,三级
广西壮族自治区,来宾市,2014-12-24,95.13,120.89,28.6,36.39,1.29,61.72,-2.32,-3.28,286.81,49.37,98873.0,126,三级
广西壮族自治区,梧州市,2014-12-24,74.81,115.95,20.44,27.84,1.61,53.18,-2.97,-2.16,287.68,57.19,99716.71,100,二级
广西壮族自治区,北海市,2014-12-24,98.74,138.83,20.24,30.77,1.79,56.69,-2.97,-3.96,289.92,60.41,101835.85,130,三级
广西壮族自治区,贺州市,2014-12-24,95.74,140.26,18.76,32.26,1.23,64.84,-2.55,-4.04,286.4,50.61,97788.81,126,三级
广西壮族自治区,河池市,2014-12-24,95.21,122.05,26.39,21.19,1.39,48.63,-2.37,-0.9,284.21,55.3,95864.98,126,三级
