province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,塔城地区,2015-06-20,8.44,10.12,2.39,2.24,0.24,91.56,-1.0,0.63,292.87,39.16,88978.78,46,一级
新疆维吾尔自治区,巴音郭楞蒙古自治州,2015-06-20,5.95,6.47,0.49,0.57,0.14,90.76,-0.18,-0.49,290.99,28.32,78820.67,46,一级
新疆维吾尔自治区,伊犁哈萨克自治州,2015-06-20,4.97,8.75,1.53,2.94,0.17,89.8,0.9,-0.14,288.17,39.13,80001.91,45,一级
新疆维吾尔自治区,北屯市,2015-06-20,5.79,9.41,9.24,4.35,0.5,76.98,-0.39,-0.91,295.54,38.68,94693.54,39,一级
新疆维吾尔自治区,昌吉回族自治州,2015-06-20,6.3,8.78,1.25,2.84,0.16,87.93,-1.21,0.21,292.54,42.25,89325.61,44,一级
新疆维吾尔自治区,克拉玛依市,2015-06-20,10.3,13.52,2.64,4.23,0.36,93.2,-2.05,-0.92,298.69,30.17,96494.86,47,一级
新疆维吾尔自治区,和田地区,2015-06-20,7.51,15.8,1.45,1.44,0.11,96.7,0.85,-0.55,290.39,25.68,73724.88,49,一级
新疆维吾尔自治区,喀什地区,2015-06-20,7.66,25.66,0.94,1.37,0.15,88.44,1.33,-0.89,290.99,33.49,75852.76,45,一级
新疆维吾尔自治区,博尔塔拉蒙古自治州,2015-06-20,9.35,13.73,2.86,3.13,0.15,83.94,-1.0,0.63,290.51,38.81,85718.52,42,一级
新疆维吾尔自治区,石河子市,2015-06-20,12.51,17.39,5.24,9.24,0.18,96.63,-1.5,1.3,298.13,28.64,95140.96,49,一级
新疆维吾尔自治区,阿勒泰地区,2015-06-20,4.95,6.17,2.8,1.47,0.21,77.69,-0.17,-0.61,290.89,48.1,87995.11,39,一级
新疆维吾尔自治区,乌鲁木齐市,2015-06-20,9.53,18.55,2.01,6.4,0.18,96.33,0.5,-0.65,289.22,38.69,83773.3,49,一级
新疆维吾尔自治区,哈密市,2015-06-20,6.72,9.36,0.82,1.05,0.13,77.23,0.42,-1.19,293.4,38.16,87701.37,39,一级
新疆维吾尔自治区,阿克苏地区,2015-06-20,13.18,19.11,1.13,1.21,0.12,78.06,-2.4,-1.22,295.51,33.24,84663.57,40,一级
新疆维吾尔自治区,双河市,2015-06-20,10.17,17.83,3.99,5.54,0.14,71.77,-1.64,-0.17,298.61,26.23,96856.8,36,一级
新疆维吾尔自治区,可克达拉市,2015-06-20,10.23,26.5,3.12,8.82,0.35,84.74,-2.64,-0.22,298.33,25.06,93797.32,43,一级
新疆维吾尔自治区,铁门关市,2015-06-20,15.56,30.04,5.06,8.45,1.51,98.05,-1.56,-1.45,298.43,29.88,90821.01,50,一级
新疆维吾尔自治区,图木舒克市,2015-06-20,8.95,9.09,1.19,1.0,0.11,74.11,-5.0,-2.32,299.73,28.91,88332.87,38,一级
新疆维吾尔自治区,昆玉市,2015-06-20,30.93,73.89,8.65,8.93,0.19,87.68,2.69,-2.18,302.34,13.59,86123.11,62,二级
新疆维吾尔自治区,五家渠市,2015-06-20,14.77,29.4,3.62,12.46,0.25,77.44,-3.06,0.93,297.42,30.59,95672.62,39,一级
新疆维吾尔自治区,吐鲁番市,2015-06-20,5.55,6.89,1.21,1.82,0.3,84.87,-1.28,-1.42,295.15,34.42,89590.73,43,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2015-06-20,3.37,14.27,0.47,0.77,0.17,93.13,3.74,-2.07,285.38,43.89,70448.46,47,一级
新疆维吾尔自治区,阿拉尔市,2015-06-20,15.72,22.8,1.11,1.51,0.12,71.08,-4.89,-1.73,299.81,29.04,89374.94,36,一级
