province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江苏省,扬州市,2014-06-21,39.74,49.89,10.33,10.83,0.5,53.97,-3.6,-1.34,295.83,85.74,100398.24,56,二级
江苏省,常州市,2014-06-21,51.92,68.45,13.68,30.67,0.93,34.19,-3.92,-4.18,295.19,92.62,100242.31,72,二级
江苏省,南通市,2014-06-21,20.59,28.11,4.82,8.57,0.31,72.39,-4.0,-3.58,294.5,94.79,100358.15,37,一级
江苏省,淮安市,2014-06-21,36.96,47.56,8.61,6.85,0.49,64.52,-4.01,-0.7,296.4,82.59,100363.23,53,二级
江苏省,宿迁市,2014-06-21,42.82,59.42,9.37,11.44,0.64,62.3,-3.85,-1.15,296.29,83.06,100381.48,60,二级
江苏省,徐州市,2014-06-21,60.47,87.74,21.09,26.06,0.98,45.46,-3.36,-2.11,296.41,80.56,100165.12,82,二级
江苏省,泰州市,2014-06-21,30.04,39.06,8.68,12.73,0.48,59.16,-3.92,-2.26,295.15,89.03,100357.62,43,一级
江苏省,无锡市,2014-06-21,46.57,60.85,14.75,32.68,0.96,35.09,-3.49,-4.61,295.04,94.21,100135.6,65,二级
江苏省,苏州市,2014-06-21,31.21,37.12,9.41,28.6,0.71,45.1,-3.34,-4.82,295.32,95.43,100238.87,45,一级
江苏省,南京市,2014-06-21,69.26,87.23,11.06,24.44,0.72,32.06,-3.71,-2.44,295.97,87.34,100214.35,93,二级
江苏省,连云港市,2014-06-21,28.72,47.53,4.72,9.42,0.49,78.51,-4.64,-1.72,294.68,88.17,100335.73,48,一级
江苏省,盐城市,2014-06-21,22.86,31.83,3.8,5.26,0.28,81.74,-4.5,-1.37,294.72,89.95,100464.96,41,一级
江苏省,镇江市,2014-06-21,53.13,67.77,13.0,24.24,0.73,37.08,-3.82,-2.79,295.48,88.53,100254.62,73,二级
