province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江西省,九江市,2017-10-25,32.95,57.3,14.1,21.19,0.59,78.81,-4.35,-2.05,288.49,54.9,99949.92,54,二级
江西省,吉安市,2017-10-25,47.73,67.74,22.33,18.03,0.67,92.35,-2.05,-2.95,290.11,54.3,99526.17,66,二级
江西省,萍乡市,2017-10-25,44.07,73.48,27.4,25.71,0.62,81.09,-5.1,-1.67,289.7,53.68,98524.43,62,二级
江西省,新余市,2017-10-25,47.9,82.98,34.35,31.66,0.73,76.42,-3.23,-3.61,289.74,55.75,100900.87,67,二级
江西省,赣州市,2017-10-25,47.91,62.64,15.18,14.84,0.97,93.65,-1.6,-3.47,290.43,56.19,97789.2,67,二级
江西省,抚州市,2017-10-25,36.64,50.54,17.35,14.93,0.55,94.75,-3.14,-2.24,289.98,53.9,99538.01,53,二级
江西省,鹰潭市,2017-10-25,37.18,61.85,22.47,22.07,0.62,94.56,-4.58,-2.1,289.89,51.61,100535.74,56,二级
江西省,南昌市,2017-10-25,36.1,66.17,18.47,27.53,0.8,80.39,-4.01,-2.89,290.46,52.5,101899.28,59,二级
江西省,宜春市,2017-10-25,38.37,66.03,21.91,24.81,0.7,77.43,-4.16,-2.8,289.03,56.88,99943.63,59,二级
江西省,景德镇市,2017-10-25,29.69,52.56,15.65,21.42,0.55,75.47,-4.51,-2.09,289.18,51.97,100921.23,52,二级
江西省,上饶市,2017-10-25,32.86,57.13,19.17,22.27,0.59,86.64,-4.81,-2.08,289.16,53.32,100177.85,54,二级
