province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河北省,保定市,2015-04-22,29.2,63.84,14.01,24.91,0.49,75.65,2.66,1.69,290.48,21.01,98007.22,57,二级
河北省,衡水市,2015-04-22,50.26,106.94,17.75,29.55,0.78,77.26,1.03,1.4,292.13,23.86,101698.79,79,二级
河北省,沧州市,2015-04-22,49.14,91.1,15.34,28.24,0.74,66.36,1.61,1.56,291.58,24.67,101789.37,71,二级
河北省,秦皇岛市,2015-04-22,26.51,55.59,16.41,29.61,1.18,60.32,4.45,0.53,287.83,22.53,98778.21,53,二级
河北省,邯郸市,2015-04-22,47.12,101.87,25.61,31.94,0.93,63.48,0.22,-0.28,292.01,22.34,99762.93,76,二级
河北省,石家庄市,2015-04-22,30.61,78.16,22.05,30.54,0.64,67.12,1.56,2.08,291.48,20.07,98564.1,65,二级
河北省,张家口市,2015-04-22,23.99,35.52,7.66,10.86,0.3,66.95,6.58,-0.55,284.2,25.47,87832.25,36,一级
河北省,唐山市,2015-04-22,49.67,86.86,22.81,45.71,1.29,62.28,2.95,1.54,289.14,24.21,101080.22,69,二级
河北省,廊坊市,2015-04-22,48.0,89.54,11.86,32.13,0.71,66.96,3.04,2.79,291.36,23.84,101670.4,70,二级
河北省,邢台市,2015-04-22,41.99,96.13,19.67,27.59,0.69,69.58,0.35,1.04,292.06,21.87,100283.4,74,二级
河北省,承德市,2015-04-22,27.84,37.49,5.35,11.69,0.33,69.22,5.2,0.6,284.72,22.5,91043.74,40,一级
