province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河南省,鹤壁市,2015-02-28,49.17,83.66,39.76,30.72,1.17,37.63,1.73,-0.81,277.31,40.19,101357.69,68,二级
河南省,焦作市,2015-02-28,58.94,79.43,38.33,27.26,1.12,40.85,1.82,-2.15,277.08,45.38,100836.84,80,二级
河南省,平顶山市,2015-02-28,68.68,90.54,32.03,24.46,1.0,45.37,1.36,-4.65,275.7,63.29,99865.2,93,二级
河南省,漯河市,2015-02-28,52.88,80.66,24.8,23.12,1.22,45.7,-0.21,-2.73,276.59,66.42,102130.0,73,二级
河南省,济源市,2015-02-28,42.78,60.42,27.25,18.75,1.01,45.21,1.67,-2.44,274.07,54.76,96060.04,60,二级
河南省,驻马店市,2015-02-28,48.38,64.22,12.94,14.67,0.94,51.98,-1.76,-4.23,275.58,78.72,101743.48,67,二级
河南省,开封市,2015-02-28,48.7,80.45,32.25,26.84,1.34,44.45,0.56,-0.7,277.19,52.04,101992.41,68,二级
河南省,新乡市,2015-02-28,59.34,87.22,40.91,30.09,1.23,41.11,1.66,-1.3,277.05,44.55,100997.87,81,二级
河南省,郑州市,2015-02-28,68.46,90.1,43.11,31.7,1.15,38.8,2.0,-2.97,276.19,52.8,100003.51,92,二级
河南省,南阳市,2015-02-28,58.78,75.13,18.34,14.99,0.95,48.73,-0.58,-4.08,275.49,69.16,99344.52,80,二级
河南省,许昌市,2015-02-28,58.2,88.62,38.04,29.39,1.24,42.12,0.79,-3.17,276.82,56.72,101417.45,80,二级
河南省,周口市,2015-02-28,41.23,57.84,16.46,19.55,1.39,48.81,-1.33,-1.74,276.17,68.56,102262.76,58,二级
河南省,安阳市,2015-02-28,47.26,80.84,35.35,27.63,1.25,39.29,1.71,-1.29,276.58,42.04,100147.83,66,二级
河南省,商丘市,2015-02-28,35.23,54.52,20.31,19.98,0.93,52.71,-1.08,-0.67,276.32,61.45,102336.29,53,二级
河南省,洛阳市,2015-02-28,66.41,84.71,27.94,22.65,0.92,42.1,1.62,-3.58,273.15,67.18,95259.54,90,二级
河南省,信阳市,2015-02-28,31.91,41.99,9.19,13.97,0.57,53.63,-3.67,-5.6,275.48,84.76,101339.39,46,一级
河南省,三门峡市,2015-02-28,62.22,76.83,20.53,19.73,0.93,42.75,1.06,-3.14,271.77,69.38,92647.56,85,二级
河南省,濮阳市,2015-02-28,64.52,105.75,41.02,30.14,1.38,41.45,0.91,1.74,277.27,47.88,102263.11,87,二级
