province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
浙江省,杭州市,2017-04-19,44.9,97.67,13.57,28.11,0.6,80.93,-3.04,2.77,293.13,58.62,98034.66,74,二级
浙江省,宁波市,2017-04-19,46.5,99.68,10.39,31.49,0.58,95.58,-3.54,3.72,290.09,66.69,99836.97,75,二级
浙江省,金华市,2017-04-19,46.57,94.55,13.65,28.8,0.63,83.3,-3.55,3.54,293.13,63.98,97612.05,73,二级
浙江省,台州市,2017-04-19,51.3,96.28,11.89,27.51,0.61,84.02,-2.89,0.88,290.48,76.19,98445.79,74,二级
浙江省,嘉兴市,2017-04-19,45.86,110.2,12.05,40.08,0.67,109.64,-5.45,4.0,291.26,59.46,101024.24,81,二级
浙江省,绍兴市,2017-04-19,43.25,98.32,12.81,31.33,0.67,90.26,-3.9,4.13,292.96,58.46,99047.99,75,二级
浙江省,丽水市,2017-04-19,37.13,67.76,14.54,17.84,0.49,84.2,-2.24,3.48,291.96,67.5,94116.29,59,二级
浙江省,湖州市,2017-04-19,42.71,106.4,15.66,42.26,0.71,91.8,-4.1,4.26,292.68,55.67,99700.78,79,二级
浙江省,舟山市,2017-04-19,59.1,83.04,3.83,7.3,0.33,94.28,-4.82,3.51,289.36,64.51,101018.19,81,二级
浙江省,温州市,2017-04-19,45.13,84.65,13.51,32.44,0.66,79.19,-1.98,-0.42,291.31,76.71,97250.41,68,二级
浙江省,衢州市,2017-04-19,40.9,86.73,20.64,22.85,0.53,72.16,-2.25,2.53,294.31,60.4,97231.98,69,二级
