province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
海南省,临高县,2014-11-05,28.71,44.51,5.89,15.93,0.62,46.56,-4.02,1.48,297.05,88.7,100783.13,45,一级
海南省,澄迈县,2014-11-05,25.44,40.87,5.2,16.57,0.64,47.43,-3.78,1.65,297.16,88.24,100615.06,41,一级
海南省,文昌市,2014-11-05,15.49,23.25,2.98,3.25,0.33,76.36,-6.16,0.98,298.06,84.85,101272.3,39,一级
海南省,定安县,2014-11-05,20.0,31.8,3.48,10.03,0.5,60.07,-3.85,1.12,297.21,88.76,100496.4,32,一级
海南省,屯昌县,2014-11-05,22.64,33.7,3.7,8.49,0.48,59.82,-3.29,1.36,296.49,91.0,99719.71,34,一级
海南省,乐东黎族自治县,2014-11-05,23.1,29.86,4.42,6.08,0.48,67.39,-2.99,-0.31,296.73,82.82,97933.23,34,一级
海南省,万宁市,2014-11-05,15.66,23.14,2.75,2.71,0.29,81.72,-4.19,-0.68,297.3,89.71,100213.16,41,一级
海南省,保亭黎族苗族自治县,2014-11-05,20.1,29.92,3.44,10.75,0.63,65.58,-4.44,-1.46,295.5,91.5,97391.82,33,一级
海南省,陵水黎族自治县,2014-11-05,17.67,25.81,2.68,5.31,0.46,74.02,-3.98,-2.02,296.81,89.97,99533.77,38,一级
海南省,昌江黎族自治县,2014-11-05,25.84,32.36,6.05,4.33,0.36,71.34,-2.13,-0.75,296.82,83.0,98614.93,37,一级
海南省,东方市,2014-11-05,26.94,32.94,6.51,4.28,0.36,73.47,-1.09,-0.44,298.02,77.63,99898.57,39,一级
海南省,儋州市,2014-11-05,27.4,38.37,5.35,7.53,0.43,60.67,-3.78,1.03,297.24,86.67,100479.59,40,一级
海南省,琼海市,2014-11-05,16.5,24.74,2.78,4.1,0.33,74.2,-3.82,0.34,297.49,88.87,100780.79,38,一级
海南省,白沙黎族自治县,2014-11-05,23.58,30.95,4.6,4.09,0.37,67.32,-3.27,1.14,296.11,86.63,97561.89,34,一级
海南省,琼中黎族苗族自治县,2014-11-05,23.25,31.97,3.62,5.25,0.41,63.75,-3.49,1.14,295.09,93.67,97231.87,34,一级
海南省,海口市,2014-11-05,20.48,33.33,4.47,13.38,0.56,57.34,-4.69,1.38,297.77,85.47,101073.26,34,一级
海南省,五指山市,2014-11-05,21.24,28.02,3.59,5.18,0.45,67.27,-4.63,0.82,294.58,89.48,94887.44,34,一级
海南省,三亚市,2014-11-05,18.75,30.17,3.79,12.6,0.68,66.78,-5.65,-1.1,297.01,84.9,98956.8,34,一级
