province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖北省,仙桃市,2014-07-26,51.27,76.55,14.52,14.92,0.82,88.66,-2.16,-2.56,300.56,58.44,100637.87,71,二级
湖北省,黄石市,2014-07-26,44.39,73.57,16.24,12.25,0.62,87.97,-0.55,-1.52,299.89,68.03,99582.32,62,二级
湖北省,黄冈市,2014-07-26,40.02,59.17,12.78,8.11,0.45,83.12,-1.53,-2.19,299.84,66.53,98948.03,57,二级
湖北省,孝感市,2014-07-26,43.29,61.39,11.47,10.03,0.43,98.99,-2.15,-3.56,300.38,58.93,100038.03,61,二级
湖北省,十堰市,2014-07-26,48.94,61.57,24.24,6.96,0.39,91.57,-3.0,1.03,297.71,53.6,92983.53,68,二级
湖北省,宜昌市,2014-07-26,48.09,69.72,20.08,9.04,0.77,96.66,-1.71,0.05,298.02,57.23,93833.7,67,二级
湖北省,咸宁市,2014-07-26,53.48,79.71,18.2,8.25,0.7,80.04,-2.06,-1.73,299.97,65.04,98984.0,74,二级
湖北省,荆州市,2014-07-26,52.51,84.94,20.07,18.07,1.15,76.16,-1.86,-2.01,300.72,59.15,100365.25,72,二级
湖北省,荆门市,2014-07-26,41.31,60.38,16.37,14.53,0.73,89.71,-2.29,-2.53,301.02,50.96,99619.5,58,二级
湖北省,鄂州市,2014-07-26,39.76,63.7,13.65,13.14,0.52,84.73,-1.04,-1.82,300.65,61.99,100575.86,57,二级
湖北省,随州市,2014-07-26,38.89,58.17,13.62,9.12,0.36,110.66,-2.99,-2.36,299.84,55.64,98950.68,59,二级
湖北省,武汉市,2014-07-26,46.13,70.17,10.96,18.07,0.52,99.6,-1.72,-2.5,300.82,61.04,100535.91,64,二级
湖北省,神农架林区,2014-07-26,48.61,59.83,15.25,2.38,0.38,108.81,-1.07,2.1,291.39,71.51,83115.9,68,二级
湖北省,天门市,2014-07-26,46.61,65.9,14.19,15.16,0.74,79.55,-2.85,-3.18,301.22,53.35,100579.33,65,二级
湖北省,恩施土家族苗族自治州,2014-07-26,47.6,63.01,18.02,3.86,0.49,95.5,-3.14,1.42,295.22,71.84,89454.81,66,二级
湖北省,襄阳市,2014-07-26,46.79,58.98,24.57,10.98,0.49,105.57,-1.97,-0.19,299.61,49.97,97042.15,65,二级
湖北省,潜江市,2014-07-26,51.74,82.39,19.15,22.57,1.1,75.45,-2.46,-1.58,300.7,56.9,100599.75,71,二级
