province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖南省,益阳市,2016-10-28,15.47,26.6,8.11,13.87,0.95,41.47,-1.91,-8.62,285.66,92.46,99489.14,27,一级
湖南省,娄底市,2016-10-28,13.72,23.74,8.71,13.05,1.03,41.64,-2.51,-7.93,286.52,89.47,97919.03,26,一级
湖南省,邵阳市,2016-10-28,17.97,30.42,11.52,10.96,0.76,38.26,-2.05,-3.1,288.16,88.17,95549.18,31,一级
湖南省,怀化市,2016-10-28,12.52,24.29,8.85,10.45,0.99,40.12,-3.42,-4.3,287.14,89.2,96955.43,25,一级
湖南省,株洲市,2016-10-28,24.56,40.66,9.48,20.09,0.91,21.99,1.49,-3.35,290.59,88.44,98446.96,41,一级
湖南省,张家界市,2016-10-28,15.94,29.36,13.39,13.69,1.65,35.24,-6.64,-4.63,284.18,89.45,95970.54,42,一级
湖南省,永州市,2016-10-28,28.44,44.73,13.43,10.45,0.71,36.87,-0.62,-2.53,290.84,86.64,97074.54,45,一级
湖南省,湘潭市,2016-10-28,14.21,22.76,8.39,20.93,0.9,28.91,0.37,-8.89,288.23,89.01,100826.7,27,一级
湖南省,岳阳市,2016-10-28,19.2,26.24,6.58,16.43,0.86,32.42,-2.39,-9.07,287.33,90.05,100822.73,28,一级
湖南省,衡阳市,2016-10-28,19.11,31.67,9.55,18.0,0.94,27.93,0.46,-5.29,290.48,86.06,100270.41,32,一级
湖南省,郴州市,2016-10-28,33.08,52.19,10.79,19.34,1.0,37.3,1.26,-1.56,291.15,87.26,96128.49,52,二级
湖南省,湘西土家族苗族自治州,2016-10-28,15.36,27.48,9.07,10.88,1.27,34.98,-6.22,-3.02,284.92,90.75,96062.39,32,一级
湖南省,长沙市,2016-10-28,20.11,30.06,6.6,19.53,0.87,30.23,-0.6,-7.78,288.5,89.19,100238.69,31,一级
湖南省,常德市,2016-10-28,14.26,26.59,11.05,16.29,1.06,38.53,-3.41,-9.17,285.39,88.52,100194.51,27,一级
