province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
甘肃省,嘉峪关市,2015-09-27,11.82,35.07,11.88,26.22,0.4,72.29,-4.96,2.08,283.42,36.36,81750.7,37,一级
甘肃省,金昌市,2015-09-27,13.99,23.11,6.33,6.28,0.54,70.34,-0.36,-0.94,284.03,58.0,80716.87,36,一级
甘肃省,武威市,2015-09-27,15.68,21.25,8.1,4.28,0.31,61.53,-1.06,-2.1,284.95,54.81,81482.56,31,一级
甘肃省,庆阳市,2015-09-27,42.66,59.07,12.39,12.8,0.67,72.62,-0.93,2.75,286.73,81.99,85807.85,60,二级
甘肃省,甘南藏族自治州,2015-09-27,32.18,39.5,9.34,3.32,0.36,61.66,-2.94,0.64,279.54,93.91,67788.83,46,一级
甘肃省,张掖市,2015-09-27,9.95,13.07,3.15,5.29,0.25,65.32,-2.06,0.08,279.79,61.81,74661.42,33,一级
甘肃省,平凉市,2015-09-27,36.63,54.33,11.42,17.02,0.58,60.91,-1.33,1.93,285.83,86.63,84495.52,53,二级
甘肃省,兰州市,2015-09-27,26.39,42.27,10.42,14.11,0.5,54.33,-2.25,-1.82,283.69,78.74,79145.2,43,一级
甘肃省,白银市,2015-09-27,33.18,49.71,14.7,8.72,0.43,62.24,-0.99,1.25,284.69,81.95,81513.72,50,一级
甘肃省,陇南市,2015-09-27,29.14,47.48,16.09,6.82,0.51,56.4,-2.63,3.39,284.59,94.36,82234.09,48,一级
甘肃省,酒泉市,2015-09-27,5.24,6.27,1.39,1.92,0.13,67.23,-2.49,0.03,282.26,36.0,79165.42,34,一级
甘肃省,天水市,2015-09-27,27.64,47.73,13.59,10.31,0.49,60.31,-2.28,3.24,284.97,89.93,82672.57,48,一级
甘肃省,临夏回族自治州,2015-09-27,30.97,49.1,9.36,19.13,0.7,49.02,-0.46,-1.22,281.99,88.73,77204.99,50,一级
甘肃省,定西市,2015-09-27,35.66,54.54,14.55,8.18,0.5,56.49,-2.34,2.19,281.88,95.91,77295.67,53,二级
