province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
辽宁省,丹东市,2018-06-08,36.19,47.75,10.13,7.4,0.55,87.42,0.79,-0.12,291.92,75.74,97996.08,52,二级
辽宁省,阜新市,2018-06-08,16.62,21.87,3.85,8.03,0.3,82.93,1.55,-2.44,297.08,38.64,98594.38,42,一级
辽宁省,抚顺市,2018-06-08,27.98,40.98,9.73,12.39,0.55,94.03,1.76,0.27,292.49,64.92,96259.5,48,一级
辽宁省,朝阳市,2018-06-08,19.48,26.89,6.46,11.73,0.43,78.85,1.23,-2.68,295.06,42.75,95857.46,40,一级
辽宁省,本溪市,2018-06-08,31.36,44.58,9.87,9.86,0.63,92.17,1.12,-0.9,291.97,66.25,95632.53,47,一级
辽宁省,铁岭市,2018-06-08,20.18,31.9,6.52,19.98,0.39,88.0,1.27,0.62,294.85,56.18,98710.75,44,一级
辽宁省,鞍山市,2018-06-08,37.04,52.75,9.73,12.82,0.74,100.44,0.83,1.1,294.03,66.29,98987.51,53,二级
辽宁省,辽阳市,2018-06-08,35.96,56.0,11.27,19.89,0.94,99.33,0.32,1.48,294.74,60.1,98916.01,54,二级
辽宁省,锦州市,2018-06-08,21.74,31.73,8.3,16.04,0.51,90.86,1.14,-0.02,296.86,46.23,100025.07,46,一级
辽宁省,营口市,2018-06-08,32.65,46.95,9.2,9.79,0.58,110.99,1.76,0.99,293.29,67.98,98739.65,60,二级
辽宁省,盘锦市,2018-06-08,27.94,40.21,10.84,15.67,0.65,105.55,1.51,1.75,295.56,57.35,100818.07,55,二级
辽宁省,葫芦岛市,2018-06-08,23.51,32.99,7.92,14.81,0.49,85.72,1.11,-0.8,295.71,47.05,98440.27,43,一级
辽宁省,大连市,2018-06-08,35.87,51.13,8.21,10.72,0.53,95.8,0.45,1.09,291.95,79.23,100103.25,52,二级
辽宁省,沈阳市,2018-06-08,22.66,38.09,8.2,21.94,0.5,88.4,0.82,1.03,296.72,48.81,100169.93,45,一级
