province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,长寿区,2016-09-12,57.29,79.47,14.24,24.45,0.66,73.39,-1.18,2.7,299.4,49.66,96715.22,78,二级
重庆市,涪陵区,2016-09-12,53.22,67.84,15.66,16.32,0.53,75.58,-3.5,3.86,298.68,47.96,95046.12,73,二级
重庆市,巫溪县,2016-09-12,38.53,48.55,12.14,4.87,0.36,88.67,-2.05,1.33,292.26,56.43,86688.05,55,二级
重庆市,合川区,2016-09-12,61.93,94.97,13.68,43.95,0.91,66.48,-2.56,3.63,299.88,49.97,97294.37,84,二级
重庆市,璧山区,2016-09-12,70.41,100.85,14.78,50.33,1.0,64.21,-2.93,3.4,299.47,51.45,97018.05,95,二级
重庆市,大足区,2016-09-12,75.79,101.6,19.94,37.8,0.86,70.48,-2.72,3.28,299.39,53.52,96683.07,101,三级
重庆市,石柱土家族自治县,2016-09-12,46.84,59.15,14.86,7.65,0.38,78.2,-4.32,4.42,294.68,55.93,89572.91,65,二级
重庆市,九龙坡区,2016-09-12,72.74,98.71,14.9,47.64,0.86,54.22,-2.69,3.18,299.8,50.39,97743.87,98,二级
重庆市,永川区,2016-09-12,79.5,100.78,17.63,36.18,0.8,63.96,-2.73,2.29,299.53,53.44,97179.65,106,三级
重庆市,酉阳土家族苗族自治县,2016-09-12,39.42,62.55,18.2,7.12,0.51,74.55,-3.53,0.21,295.09,64.01,92880.74,57,二级
重庆市,大渡口区,2016-09-12,70.51,97.78,14.34,50.22,0.88,51.98,-2.32,3.93,300.09,48.6,97819.45,95,二级
重庆市,黔江区,2016-09-12,48.93,64.58,20.54,6.58,0.41,73.33,-3.66,1.17,294.5,63.73,92093.7,68,二级
重庆市,北碚区,2016-09-12,61.42,94.57,11.07,54.17,1.01,62.7,-2.73,3.37,299.18,50.45,96566.09,84,二级
重庆市,忠县,2016-09-12,52.88,69.3,14.71,16.79,0.54,80.45,-1.59,1.94,299.45,46.14,96280.41,73,二级
重庆市,沙坪坝区,2016-09-12,68.96,102.16,13.14,61.47,1.08,61.86,-2.6,3.28,299.49,51.58,97417.86,93,二级
重庆市,綦江区,2016-09-12,60.02,77.42,12.16,17.02,0.57,69.58,-4.0,4.84,298.1,51.36,94738.94,82,二级
重庆市,江津区,2016-09-12,67.9,87.5,13.05,23.16,0.66,64.32,-3.06,3.65,299.07,51.16,96023.66,92,二级
重庆市,奉节县,2016-09-12,42.39,58.13,13.86,7.7,0.39,65.26,-3.03,1.12,295.92,49.81,91320.64,60,二级
重庆市,巫山县,2016-09-12,39.06,53.95,10.62,4.91,0.39,81.18,-4.08,1.66,295.48,48.13,90815.54,56,二级
重庆市,南川区,2016-09-12,57.79,72.06,13.49,11.46,0.53,76.77,-4.87,4.53,295.87,54.47,91518.36,79,二级
重庆市,丰都县,2016-09-12,48.99,60.25,14.24,8.75,0.42,82.99,-3.39,4.43,297.39,50.74,93197.43,68,二级
重庆市,潼南区,2016-09-12,72.15,104.16,18.66,35.52,0.87,77.85,-2.16,2.32,299.62,54.76,97611.42,97,二级
重庆市,垫江县,2016-09-12,60.92,83.58,14.73,22.58,0.67,78.86,-1.34,1.24,298.88,51.9,96307.53,83,二级
重庆市,江北区,2016-09-12,68.78,101.37,12.24,70.59,1.02,52.92,-2.21,3.07,299.98,49.33,98016.91,93,二级
重庆市,巴南区,2016-09-12,61.51,83.05,14.05,24.66,0.69,61.07,-2.5,3.76,299.49,47.68,96693.12,84,二级
重庆市,城口县,2016-09-12,42.0,50.98,11.24,6.83,0.37,90.13,-1.14,2.56,290.8,68.36,85204.34,59,二级
重庆市,万州区,2016-09-12,55.8,76.68,16.56,29.24,0.62,68.89,-1.42,1.62,298.57,47.58,94901.73,76,二级
重庆市,梁平区,2016-09-12,64.85,89.17,15.42,31.99,0.76,77.15,-1.42,1.71,298.42,50.13,95369.72,88,二级
重庆市,武隆区,2016-09-12,55.27,66.36,15.11,7.83,0.44,83.96,-4.35,2.68,293.7,64.1,90321.13,76,二级
重庆市,彭水苗族土家族自治县,2016-09-12,51.01,65.16,17.5,6.34,0.4,83.02,-3.06,0.86,294.45,64.25,91940.25,71,二级
重庆市,南岸区,2016-09-12,64.64,95.76,11.68,63.95,0.92,49.36,-2.01,2.93,299.96,47.91,97838.73,88,二级
重庆市,秀山土家族苗族自治县,2016-09-12,36.42,67.49,13.99,12.27,0.65,66.61,-2.97,-0.3,295.26,67.21,94231.74,59,二级
重庆市,渝北区,2016-09-12,58.67,85.68,12.04,36.77,0.8,62.81,-2.21,2.63,299.2,50.09,96774.64,80,二级
重庆市,铜梁区,2016-09-12,69.87,99.61,16.75,42.16,0.96,70.8,-2.63,3.4,299.86,51.48,97361.2,94,二级
重庆市,开州区,2016-09-12,55.76,76.03,15.5,34.72,0.64,73.0,-3.48,0.21,296.89,51.2,93272.65,76,二级
重庆市,云阳县,2016-09-12,45.32,62.35,13.71,12.98,0.45,67.35,-3.57,0.41,297.96,47.59,94489.81,63,二级
重庆市,荣昌区,2016-09-12,80.01,102.9,20.49,34.08,0.8,69.11,-3.03,3.0,299.66,52.58,96864.31,107,三级
