province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
陕西省,延安市,2015-11-11,54.32,85.8,26.7,33.13,1.67,27.97,-0.66,3.79,277.46,86.65,88245.45,75,二级
陕西省,安康市,2015-11-11,33.25,41.53,13.67,9.34,0.89,52.59,-4.16,-0.31,277.55,91.34,90655.6,48,一级
陕西省,宝鸡市,2015-11-11,38.86,58.14,12.45,24.76,1.17,26.19,-1.7,1.51,277.05,94.75,86973.39,55,二级
陕西省,商洛市,2015-11-11,43.44,55.47,18.16,11.43,0.82,56.79,-1.83,1.08,276.38,90.67,90129.28,61,二级
陕西省,铜川市,2015-11-11,39.32,59.9,22.71,29.81,1.26,37.42,-3.8,0.65,278.1,84.61,89914.78,56,二级
陕西省,西安市,2015-11-11,42.98,62.37,16.62,24.94,1.25,30.61,-1.63,0.28,279.67,79.65,91240.58,60,二级
陕西省,榆林市,2015-11-11,55.67,81.08,28.82,27.64,1.68,37.32,-0.46,4.78,278.08,79.17,88550.81,76,二级
陕西省,咸阳市,2015-11-11,36.09,54.16,14.93,29.39,1.28,26.49,-3.25,0.22,279.9,79.83,92240.49,53,二级
陕西省,汉中市,2015-11-11,22.46,30.74,13.06,13.24,1.1,46.56,-3.98,0.08,278.13,91.01,89614.61,33,一级
陕西省,渭南市,2015-11-11,38.32,57.8,22.48,29.51,1.28,36.97,-4.16,-0.78,281.12,72.05,94940.54,55,二级
