province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
黑龙江省,大兴安岭地区,2017-12-07,1.11,1.41,2.09,2.23,0.23,49.68,3.42,-0.03,247.95,66.13,95160.79,25,一级
黑龙江省,佳木斯市,2017-12-07,28.81,39.85,6.94,14.69,0.56,37.92,2.54,0.04,250.68,67.27,101188.54,42,一级
黑龙江省,牡丹江市,2017-12-07,33.16,44.78,9.96,12.67,0.58,38.94,2.44,-1.48,254.38,66.1,95855.84,48,一级
黑龙江省,黑河市,2017-12-07,10.74,12.05,4.46,6.23,0.37,42.11,2.0,-0.91,248.7,71.46,97814.17,22,一级
黑龙江省,哈尔滨市,2017-12-07,52.1,69.0,13.4,19.55,0.74,42.48,1.36,-0.88,254.23,62.4,99469.42,72,二级
黑龙江省,双鸭山市,2017-12-07,33.5,45.54,9.79,19.26,0.55,32.97,2.53,0.0,251.07,68.7,100745.0,48,一级
黑龙江省,伊春市,2017-12-07,18.63,23.4,4.71,8.75,0.37,42.73,3.01,-1.17,249.7,69.74,97374.59,27,一级
黑龙江省,绥化市,2017-12-07,65.98,80.4,10.15,21.41,0.77,38.59,1.58,-1.26,251.95,67.03,100029.37,89,二级
黑龙江省,大庆市,2017-12-07,53.62,57.47,13.72,23.96,0.79,30.07,2.0,-1.74,253.91,58.49,100992.0,74,二级
黑龙江省,齐齐哈尔市,2017-12-07,39.9,43.97,9.6,12.46,0.62,35.56,1.6,-1.23,251.99,64.51,100087.37,57,二级
黑龙江省,七台河市,2017-12-07,50.07,70.87,11.84,24.88,0.81,34.09,2.63,-0.6,252.28,64.61,98985.61,69,二级
黑龙江省,鹤岗市,2017-12-07,17.07,23.25,5.38,11.96,0.56,40.49,2.89,-1.74,250.81,65.06,100096.21,25,一级
黑龙江省,鸡西市,2017-12-07,41.21,53.41,11.31,21.44,0.71,32.45,1.7,-1.92,253.01,65.54,100382.26,58,二级
