province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
云南省,2018-10-16,15.44,23.81,5.91,4.76,0.4,51.43,2.78,1.57,287.75,82.07,81696.54,26,一级
新疆维吾尔自治区,2018-10-16,33.96,39.72,2.61,2.45,0.19,67.64,-0.91,1.26,281.23,32.1,81492.2,49,一级
宁夏回族自治区,2018-10-16,34.87,51.37,13.27,16.87,0.52,63.71,-3.46,3.26,283.09,57.49,84579.38,51,二级
上海市,2018-10-16,25.72,35.65,6.45,27.67,0.52,82.84,-2.12,-4.84,290.21,79.78,101812.36,42,一级
浙江省,2018-10-16,21.68,32.51,7.2,22.4,0.57,53.63,-0.47,-4.75,288.97,87.07,98347.38,33,一级
吉林省,2018-10-16,11.18,19.69,4.9,10.11,0.37,44.11,2.98,-3.7,276.59,49.98,97551.26,23,一级
江苏省,2018-10-16,53.95,74.53,10.51,27.89,0.62,86.59,-1.95,-2.54,290.63,65.4,101840.62,74,二级
内蒙古自治区,2018-10-16,10.15,14.35,5.7,5.28,0.26,59.2,-1.45,-2.07,277.96,42.19,90866.12,30,一级
山东省,2018-10-16,73.34,120.57,13.9,44.16,0.87,66.56,0.31,-1.41,288.54,63.19,101028.18,98,二级
河南省,2018-10-16,61.19,87.13,11.16,32.18,0.77,61.96,-0.89,-1.44,288.89,63.02,99240.03,83,二级
台湾省,2018-10-16,18.02,22.11,7.2,17.45,0.21,70.15,0.44,-2.29,293.74,82.64,92946.04,36,一级
河北省,2018-10-16,53.02,71.25,8.43,25.64,0.79,50.02,-1.71,-3.98,282.95,53.92,96050.97,73,二级
四川省,2018-10-16,20.62,28.87,5.22,9.95,0.38,62.0,1.38,0.97,279.83,73.81,75831.37,32,一级
海南省,2018-10-16,13.86,20.72,3.36,4.31,0.29,66.6,-1.27,-0.06,298.04,87.55,99139.06,34,一级
安徽省,2018-10-16,39.63,56.12,8.57,23.42,0.57,70.02,-1.91,-2.39,289.87,68.46,100601.3,56,二级
广西壮族自治区,2018-10-16,19.91,32.26,12.14,7.08,0.63,52.95,-2.16,-3.77,290.87,75.71,97168.04,33,一级
湖南省,2018-10-16,32.0,48.04,9.22,14.36,0.76,45.88,-0.73,-3.03,287.67,80.89,97724.02,49,一级
黑龙江省,2018-10-16,6.39,10.04,2.03,3.75,0.26,52.48,3.81,-4.1,274.45,63.92,98361.1,27,一级
天津市,2018-10-16,56.22,82.79,12.22,43.75,1.41,29.58,-3.4,-3.1,285.58,72.48,102158.71,77,二级
陕西省,2018-10-16,41.4,63.72,13.17,23.36,0.66,54.38,-1.53,0.08,284.29,55.66,89348.28,58,二级
江西省,2018-10-16,21.91,33.7,9.93,11.84,0.71,41.63,-0.39,-3.68,289.97,84.91,98985.57,34,一级
湖北省,2018-10-16,33.98,48.9,10.55,16.2,0.62,56.17,-1.18,-1.57,287.73,74.55,97127.12,49,一级
北京市,2018-10-16,46.84,53.74,6.1,23.49,0.67,46.23,-1.28,-2.86,284.47,51.21,98405.34,65,二级
辽宁省,2018-10-16,17.81,33.05,7.99,18.68,0.49,41.1,-0.98,-5.32,280.91,37.0,99678.62,34,一级
广东省,2018-10-16,17.65,29.86,11.47,14.9,0.78,38.04,-1.37,-4.21,293.66,82.31,99132.56,30,一级
山西省,2018-10-16,43.58,69.0,12.29,30.0,0.8,53.33,-1.45,-1.56,282.29,50.64,89107.06,61,二级
香港特别行政区,2018-10-16,22.54,33.02,6.62,29.6,0.69,32.24,-1.54,-5.39,296.06,83.6,100895.08,38,一级
西藏自治区,2018-10-16,4.3,4.73,0.28,0.65,0.13,91.83,5.83,0.13,269.99,43.3,57629.19,46,一级
海外,2018-10-16,16.93,19.31,3.2,1.78,0.2,71.42,2.21,3.12,272.26,72.56,74457.58,36,一级
重庆市,2018-10-16,38.71,55.24,14.36,19.54,0.63,45.42,-1.78,0.28,286.8,76.81,93606.04,55,二级
福建省,2018-10-16,15.44,24.99,8.14,10.13,0.5,44.43,-0.11,-3.25,291.26,86.78,96175.54,25,一级
甘肃省,2018-10-16,24.43,34.17,9.32,7.92,0.35,69.17,-2.91,1.88,280.27,52.43,78968.15,35,一级
青海省,2018-10-16,3.04,3.52,0.86,0.85,0.13,88.56,2.75,-0.1,271.75,49.78,62487.12,45,一级
贵州省,2018-10-16,23.57,35.38,13.22,7.75,0.5,55.07,-2.34,-0.01,285.17,87.02,89470.35,36,一级
