province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
上海市,长宁区,2016-08-23,23.12,42.67,16.11,29.07,0.9,94.19,-1.64,-4.54,300.76,77.01,100624.67,48,一级
上海市,崇明区,2016-08-23,19.1,26.52,4.26,4.62,0.28,104.39,-1.18,-4.67,300.25,77.06,100675.58,54,二级
上海市,奉贤区,2016-08-23,22.54,32.89,7.06,15.34,0.54,95.57,-1.46,-4.48,300.43,79.93,100632.16,48,一级
上海市,闵行区,2016-08-23,24.28,39.48,10.59,23.68,0.79,92.8,-1.76,-4.53,300.36,81.13,100628.98,47,一级
上海市,嘉定区,2016-08-23,20.93,37.27,13.64,22.11,0.63,102.19,-1.58,-4.54,300.54,77.72,100631.45,52,二级
上海市,宝山区,2016-08-23,20.6,35.98,13.83,21.69,0.64,102.19,-1.47,-4.7,300.6,78.15,100647.98,52,二级
上海市,浦东新区,2016-08-23,19.32,27.79,5.61,10.44,0.4,101.65,-1.91,-4.79,300.51,80.08,100642.95,52,二级
上海市,松江区,2016-08-23,27.71,48.91,14.36,32.4,1.03,81.71,-1.71,-4.12,300.59,79.08,100636.52,49,一级
上海市,金山区,2016-08-23,27.98,45.5,13.11,26.4,0.88,88.46,-1.77,-3.87,300.54,79.99,100630.6,46,一级
上海市,青浦区,2016-08-23,24.49,42.55,11.88,22.88,0.73,97.9,-1.67,-4.17,300.56,77.81,100638.95,49,一级
