province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
云南省,临沧市,2017-09-22,13.42,17.78,3.17,5.13,0.51,34.58,1.64,0.86,292.55,89.25,83833.87,20,一级
云南省,昭通市,2017-09-22,38.65,59.88,13.56,9.71,0.66,62.81,-1.22,-0.28,290.5,82.34,83970.61,55,二级
云南省,怒江傈僳族自治州,2017-09-22,14.4,19.01,1.9,1.51,0.28,43.42,2.81,0.93,285.66,94.33,72815.51,22,一级
云南省,迪庆藏族自治州,2017-09-22,12.09,19.34,2.46,2.11,0.34,53.38,4.97,2.57,283.22,90.1,67377.05,27,一级
云南省,文山壮族苗族自治州,2017-09-22,27.16,44.66,11.55,4.92,0.51,63.7,-1.53,1.94,293.09,90.97,86466.72,45,一级
云南省,西双版纳傣族自治州,2017-09-22,14.8,21.73,4.12,5.59,0.35,33.22,-1.39,1.22,295.21,85.02,88776.62,22,一级
云南省,丽江市,2017-09-22,16.01,23.76,7.8,7.29,0.77,41.68,1.86,2.25,288.29,85.57,74646.79,24,一级
云南省,大理白族自治州,2017-09-22,13.33,19.86,3.85,4.82,0.5,39.78,2.75,1.48,290.04,85.04,78055.83,20,一级
云南省,昆明市,2017-09-22,20.56,33.76,9.37,13.88,0.7,33.13,0.26,4.96,290.14,89.14,79251.3,34,一级
云南省,楚雄彝族自治州,2017-09-22,12.01,18.99,4.8,5.59,0.53,38.05,1.27,4.41,291.55,87.08,80921.29,20,一级
云南省,普洱市,2017-09-22,13.33,17.13,3.26,3.45,0.28,37.06,-0.15,2.19,293.64,87.65,85847.68,20,一级
云南省,玉溪市,2017-09-22,12.97,23.17,5.9,5.43,0.39,44.04,-0.29,4.09,292.74,84.61,83415.79,24,一级
云南省,德宏傣族景颇族自治州,2017-09-22,14.74,22.07,7.65,4.42,0.6,35.64,1.39,-0.15,293.24,89.54,85944.08,23,一级
云南省,红河哈尼族彝族自治州,2017-09-22,17.93,32.46,9.37,3.99,0.39,58.26,-1.37,2.65,292.89,88.47,85086.47,33,一级
云南省,保山市,2017-09-22,12.65,21.43,4.76,5.27,0.74,34.19,2.42,0.33,291.45,87.39,81753.78,22,一级
云南省,曲靖市,2017-09-22,28.54,43.66,12.33,10.62,0.62,45.71,-0.31,4.66,290.1,90.52,80038.09,44,一级
