province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
内蒙古自治区,乌海市,2014-09-01,28.02,56.31,51.6,28.21,0.63,57.36,2.43,-2.77,293.13,49.54,87522.11,54,二级
内蒙古自治区,阿拉善盟,2014-09-01,16.43,18.45,3.5,1.83,0.19,74.0,-1.14,-2.96,292.56,42.94,87623.03,38,一级
内蒙古自治区,包头市,2014-09-01,26.37,34.28,7.2,6.38,0.39,70.8,-0.48,-2.47,289.07,68.62,85821.56,38,一级
内蒙古自治区,赤峰市,2014-09-01,58.67,81.0,22.57,6.95,0.69,70.32,-1.19,2.58,290.95,74.12,91828.78,80,二级
内蒙古自治区,巴彦淖尔市,2014-09-01,18.09,19.76,4.63,2.26,0.22,66.72,-1.33,-4.46,289.69,64.14,87254.27,34,一级
内蒙古自治区,鄂尔多斯市,2014-09-01,35.02,47.29,16.83,8.91,0.42,74.31,2.13,0.01,292.6,55.17,86844.94,51,二级
内蒙古自治区,乌兰察布市,2014-09-01,32.38,41.66,12.28,7.19,0.46,67.35,-0.55,0.85,288.57,74.46,85873.14,47,一级
内蒙古自治区,锡林郭勒盟,2014-09-01,27.47,33.67,9.61,2.25,0.4,65.08,-3.45,-2.83,287.96,70.01,89070.57,40,一级
内蒙古自治区,兴安盟,2014-09-01,11.61,12.82,3.62,2.38,0.22,61.06,-0.76,-4.58,288.59,57.37,94913.86,31,一级
内蒙古自治区,呼伦贝尔市,2014-09-01,5.16,5.65,1.75,1.51,0.21,57.73,2.28,-2.54,285.42,52.73,93805.1,29,一级
内蒙古自治区,呼和浩特市,2014-09-01,29.63,48.23,12.79,16.83,0.55,72.33,0.82,1.94,290.28,64.22,86198.32,49,一级
内蒙古自治区,通辽市,2014-09-01,37.9,46.13,12.57,6.06,0.35,80.38,-0.96,1.03,294.23,62.47,97698.51,54,二级
