province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
北京市,平谷区,2018-02-23,19.68,38.19,6.42,19.3,0.74,53.64,-0.76,-3.79,274.1,29.53,99816.49,39,一级
北京市,大兴区,2018-02-23,40.68,79.07,10.43,48.8,0.92,41.62,-2.47,-2.49,275.51,25.42,101789.22,65,二级
北京市,密云区,2018-02-23,10.54,20.43,3.55,9.83,0.45,56.75,-0.42,-3.28,273.27,32.23,98787.27,29,一级
北京市,西城区,2018-02-23,21.38,48.64,6.94,39.46,0.67,42.72,-0.08,-1.99,276.2,24.75,101624.41,50,一级
北京市,怀柔区,2018-02-23,5.84,11.57,2.34,5.32,0.32,58.38,0.97,-2.99,271.73,33.78,95670.67,30,一级
北京市,海淀区,2018-02-23,14.22,37.3,5.69,24.58,0.48,49.75,1.34,-1.68,276.34,25.3,100869.72,38,一级
北京市,昌平区,2018-02-23,11.53,27.97,4.66,13.29,0.44,59.85,1.59,-1.52,274.58,28.72,98714.0,30,一级
北京市,顺义区,2018-02-23,24.27,47.83,6.79,26.13,0.77,51.89,-1.43,-1.94,275.14,28.83,101903.86,48,一级
北京市,丰台区,2018-02-23,23.19,54.02,8.09,44.2,0.68,35.22,0.22,-2.84,276.39,24.58,101209.98,56,二级
北京市,延庆区,2018-02-23,5.95,11.83,2.76,4.97,0.33,59.04,1.72,-3.09,271.28,34.22,94002.79,30,一级
北京市,通州区,2018-02-23,40.71,76.58,10.9,45.53,1.1,43.87,-1.95,-2.24,274.93,27.53,101852.76,64,二级
北京市,门头沟区,2018-02-23,11.4,24.46,7.78,13.82,0.39,57.62,2.62,-2.92,271.9,33.96,93533.99,29,一级
北京市,朝阳区,2018-02-23,32.22,64.52,8.94,42.43,0.89,44.14,-1.49,-2.07,275.33,27.28,101774.31,58,二级
北京市,房山区,2018-02-23,18.58,38.48,9.26,20.68,0.49,56.17,-0.38,-2.25,274.53,27.79,97065.88,39,一级
