province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
台湾省,台北市,2015-06-05,16.3,21.62,13.18,24.02,0.14,42.21,4.97,0.64,298.68,83.16,98237.37,31,一级
台湾省,台南市,2015-06-05,10.25,13.52,6.95,22.75,0.13,32.32,0.36,2.72,300.21,77.75,99991.76,29,一级
台湾省,宜兰县,2015-06-05,12.87,15.11,4.71,10.74,0.11,63.39,-0.69,0.18,295.92,82.59,91453.26,32,一级
台湾省,嘉义县,2015-06-05,8.24,10.55,4.88,18.39,0.12,35.82,0.89,3.43,297.12,75.68,93771.99,23,一级
台湾省,屏东县,2015-06-05,7.2,9.21,4.18,14.73,0.11,35.23,3.78,-1.08,297.55,82.54,96028.47,19,一级
台湾省,台中市,2015-06-05,8.35,10.36,4.0,15.73,0.12,41.13,1.29,4.01,294.48,78.13,89096.6,21,一级
台湾省,苗栗县,2015-06-05,7.19,9.62,4.33,15.78,0.11,39.45,2.6,6.48,297.56,74.38,94020.59,20,一级
台湾省,云林县,2015-06-05,9.04,12.45,5.32,19.71,0.12,34.19,1.79,4.86,300.81,75.63,100290.98,25,一级
台湾省,彰化县,2015-06-05,8.56,12.24,5.92,20.06,0.13,33.54,1.77,4.18,301.04,73.19,100242.11,26,一级
台湾省,新北市,2015-06-05,15.71,20.21,11.02,21.37,0.14,45.01,4.17,0.12,298.26,82.48,96938.92,27,一级
台湾省,花莲县,2015-06-05,8.0,9.9,2.06,9.64,0.1,58.49,1.12,-0.3,294.64,75.69,87604.02,30,一级
台湾省,台东县,2015-06-05,6.27,7.81,2.55,13.12,0.11,43.74,4.95,-2.03,296.06,70.94,89834.32,22,一级
台湾省,基隆市,2015-06-05,17.84,23.47,13.65,23.33,0.14,45.35,5.16,0.47,298.59,85.17,98483.24,30,一级
台湾省,南投县,2015-06-05,7.91,9.43,2.96,14.78,0.12,42.96,2.87,1.04,293.26,76.66,86741.4,22,一级
台湾省,高雄市,2015-06-05,9.44,11.95,6.67,19.98,0.12,35.25,1.46,0.51,296.15,77.79,92789.23,25,一级
台湾省,新竹县,2015-06-05,8.24,10.54,4.29,14.07,0.11,43.2,4.84,4.04,296.36,73.92,91132.65,22,一级
台湾省,桃园县,2015-06-05,13.33,17.9,8.61,20.96,0.13,40.89,5.48,1.82,298.92,82.17,98606.11,27,一级
