province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
四川省,攀枝花市,2018-09-03,31.31,46.3,24.17,11.02,1.09,62.12,-3.1,-1.99,294.23,68.6,80826.35,47,一级
四川省,南充市,2018-09-03,18.06,32.4,10.49,9.3,0.52,77.72,-1.49,-2.88,302.37,62.0,95744.04,39,一级
四川省,绵阳市,2018-09-03,21.77,30.46,8.46,4.7,0.33,71.59,-1.61,-2.64,296.25,66.2,87487.03,36,一级
四川省,眉山市,2018-09-03,18.72,28.36,10.51,10.39,0.51,80.98,2.0,-2.4,297.57,79.58,92880.21,41,一级
四川省,内江市,2018-09-03,16.84,26.48,9.5,10.28,0.5,76.72,0.77,-3.42,301.26,70.6,95758.05,39,一级
四川省,广安市,2018-09-03,23.6,39.25,8.45,15.23,0.64,79.62,-0.17,0.58,303.08,61.22,95740.27,40,一级
四川省,巴中市,2018-09-03,22.34,35.24,10.96,5.57,0.43,68.39,-3.74,-1.85,299.51,64.14,91785.24,36,一级
四川省,雅安市,2018-09-03,28.26,38.64,14.25,3.87,0.37,87.38,-0.32,-0.69,290.27,87.61,79924.42,44,一级
四川省,德阳市,2018-09-03,15.62,26.33,8.33,9.16,0.43,71.53,-1.51,-3.05,298.47,64.91,91579.41,36,一级
四川省,甘孜藏族自治州,2018-09-03,23.01,27.49,5.5,1.21,0.2,85.1,-0.03,3.53,282.06,80.81,61555.91,43,一级
四川省,遂宁市,2018-09-03,14.23,26.49,9.37,7.27,0.47,79.3,-0.9,-3.55,302.45,62.55,96181.22,40,一级
四川省,自贡市,2018-09-03,20.49,30.11,9.21,13.25,0.54,75.25,1.9,-3.81,300.58,74.23,95709.12,38,一级
四川省,泸州市,2018-09-03,22.49,35.97,8.69,10.89,0.47,72.75,1.53,0.82,299.18,78.48,92749.44,37,一级
四川省,达州市,2018-09-03,30.89,44.7,11.61,12.5,0.51,79.62,-2.18,-0.49,300.89,63.27,93226.81,45,一级
四川省,宜宾市,2018-09-03,22.4,37.76,9.82,11.36,0.57,79.04,2.84,-2.8,299.03,80.46,94207.19,40,一级
四川省,成都市,2018-09-03,15.28,25.22,9.69,12.23,0.46,78.17,-0.58,-2.69,298.38,69.88,92576.57,40,一级
四川省,阿坝藏族羌族自治州,2018-09-03,27.85,36.03,8.56,1.67,0.26,76.21,-0.84,4.34,283.67,85.39,65814.19,40,一级
四川省,资阳市,2018-09-03,14.92,25.25,8.53,6.78,0.47,79.66,-0.2,-3.34,301.73,67.1,95969.15,40,一级
四川省,广元市,2018-09-03,17.35,28.58,10.38,5.11,0.37,68.85,-1.52,-3.03,298.74,60.8,90894.58,35,一级
四川省,乐山市,2018-09-03,26.15,36.8,11.14,7.53,0.51,82.23,1.81,-3.26,295.6,84.31,89260.88,42,一级
四川省,凉山彝族自治州,2018-09-03,29.94,42.87,16.35,3.97,0.61,71.74,-2.96,-1.47,288.39,85.19,74101.06,43,一级
