province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
天津市,西青区,2018-10-08,38.8,78.12,12.02,62.98,0.85,31.95,0.09,-2.96,288.46,24.12,101880.33,79,二级
天津市,东丽区,2018-10-08,36.14,73.23,11.08,62.35,0.82,32.02,0.74,-2.28,288.24,24.83,101875.16,78,二级
天津市,静海区,2018-10-08,39.48,69.28,11.48,59.42,0.7,35.83,-0.56,-2.67,288.77,24.44,101843.73,75,二级
天津市,津南区,2018-10-08,38.2,70.54,13.28,65.12,0.78,32.28,-0.04,-2.0,288.46,24.1,101872.38,82,二级
天津市,滨海新区,2018-10-08,35.4,66.4,13.05,59.53,0.72,35.41,-0.11,-2.29,288.71,26.65,101852.17,75,二级
天津市,武清区,2018-10-08,30.57,58.74,4.96,50.99,0.64,33.85,0.82,-2.94,288.14,24.69,101872.75,64,二级
天津市,宁河区,2018-10-08,31.71,58.69,7.28,53.41,0.6,35.84,1.28,-1.84,287.81,24.84,101859.74,67,二级
天津市,蓟州区,2018-10-08,13.93,26.95,2.2,22.04,0.31,49.94,2.15,-3.03,287.97,26.91,101020.72,28,一级
天津市,宝坻区,2018-10-08,25.15,47.58,3.75,43.33,0.49,37.97,2.06,-1.74,287.74,25.74,101880.76,55,二级
天津市,北辰区,2018-10-08,36.51,74.95,9.39,61.34,0.84,31.61,0.66,-3.02,288.3,24.12,101900.48,77,二级
