province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
安徽省,宿州市,2017-02-22,106.04,116.21,15.98,31.7,1.16,46.58,2.32,-4.58,272.9,88.89,101917.26,139,三级
安徽省,滁州市,2017-02-22,71.37,82.82,10.2,26.5,0.92,46.93,3.19,-4.6,275.85,83.2,101604.37,96,二级
安徽省,合肥市,2017-02-22,63.39,70.42,11.76,28.66,0.84,45.51,4.42,-4.68,276.07,83.51,101797.32,86,二级
安徽省,马鞍山市,2017-02-22,56.35,63.16,11.76,28.73,1.08,38.96,3.52,-3.1,277.41,83.42,101861.14,77,二级
安徽省,淮南市,2017-02-22,84.62,103.92,14.93,32.81,0.89,45.94,3.41,-4.85,274.86,84.19,102039.62,113,三级
安徽省,铜陵市,2017-02-22,42.74,47.74,14.06,24.36,0.7,45.38,3.39,-5.32,276.75,84.92,101802.98,60,二级
安徽省,六安市,2017-02-22,52.94,67.76,13.24,24.91,0.68,47.67,3.59,-3.62,273.45,85.63,99344.3,73,二级
安徽省,黄山市,2017-02-22,23.09,35.61,10.69,17.15,0.64,41.64,1.22,-2.6,278.16,90.52,97577.05,36,一级
安徽省,安庆市,2017-02-22,31.41,36.62,10.81,16.26,0.6,44.86,0.11,-3.16,277.13,84.09,99847.62,45,一级
安徽省,亳州市,2017-02-22,112.43,135.47,17.14,33.19,1.08,39.45,2.62,-3.99,272.05,90.13,102060.25,147,三级
安徽省,宣城市,2017-02-22,34.39,44.18,10.58,21.84,0.82,38.84,3.52,-0.86,278.01,90.0,99565.16,50,一级
安徽省,阜阳市,2017-02-22,103.97,130.76,19.42,35.92,1.11,32.98,2.83,-3.77,271.7,90.23,102075.21,137,三级
安徽省,蚌埠市,2017-02-22,93.99,105.65,12.46,29.69,0.99,50.18,2.53,-4.82,274.28,84.47,101979.18,124,三级
安徽省,芜湖市,2017-02-22,49.6,56.36,14.19,29.23,0.97,39.1,3.93,-3.41,277.65,84.54,101866.37,69,二级
安徽省,淮北市,2017-02-22,110.68,124.8,19.45,34.16,1.13,41.45,2.42,-4.19,272.3,91.26,102015.03,145,三级
安徽省,池州市,2017-02-22,32.69,39.22,13.46,21.17,0.65,42.39,0.3,-4.48,276.29,90.8,99904.22,47,一级
