province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
山东省,日照市,2018-07-23,11.51,24.2,7.82,8.72,0.23,51.14,-12.11,1.2,299.38,89.31,98153.37,26,一级
山东省,青岛市,2018-07-23,8.55,23.5,4.1,4.7,0.19,40.98,-11.63,1.21,299.93,87.54,99670.75,24,一级
山东省,淄博市,2018-07-23,14.53,31.55,8.41,13.07,0.48,41.9,-9.36,-4.55,298.81,83.39,97480.49,32,一级
山东省,菏泽市,2018-07-23,27.15,58.4,10.72,15.13,0.61,73.71,-2.2,-8.52,304.09,52.37,99479.61,55,二级
山东省,泰安市,2018-07-23,16.07,38.86,9.21,14.94,0.45,51.08,-5.87,-8.66,300.53,72.72,98100.44,39,一级
山东省,聊城市,2018-07-23,26.97,52.92,12.07,17.79,0.61,64.2,-5.19,-6.69,304.04,53.19,99734.92,52,二级
山东省,临沂市,2018-07-23,11.45,26.54,8.53,12.76,0.32,46.87,-7.22,-2.69,299.5,86.26,97878.76,27,一级
山东省,济宁市,2018-07-23,18.2,43.45,11.39,15.86,0.48,56.53,-2.23,-9.44,301.67,68.41,99206.39,44,一级
山东省,枣庄市,2018-07-23,13.93,34.98,11.0,15.16,0.41,50.47,-0.22,-7.86,300.14,80.03,98595.88,35,一级
山东省,烟台市,2018-07-23,10.21,26.59,4.62,6.38,0.22,38.4,-8.74,1.43,299.85,82.69,99342.29,27,一级
山东省,威海市,2018-07-23,8.12,22.68,3.86,5.08,0.16,41.0,-8.07,2.61,299.7,87.56,99951.72,23,一级
山东省,潍坊市,2018-07-23,13.26,25.18,7.84,8.79,0.31,43.5,-10.87,-1.75,299.5,85.88,99007.51,26,一级
山东省,滨州市,2018-07-23,15.7,32.04,9.08,11.89,0.36,47.56,-8.63,-2.81,301.56,70.21,100142.54,33,一级
山东省,东营市,2018-07-23,15.49,32.56,10.91,10.02,0.29,47.88,-9.04,-1.76,300.63,77.16,100270.69,33,一级
山东省,济南市,2018-07-23,17.27,43.26,9.85,17.33,0.51,46.91,-7.85,-6.1,300.89,70.07,98753.64,44,一级
山东省,莱芜市,2018-07-23,13.66,31.65,7.92,12.92,0.44,44.21,-8.37,-6.68,298.37,83.49,96248.82,32,一级
山东省,德州市,2018-07-23,19.92,41.5,9.57,15.21,0.43,54.26,-6.84,-4.66,303.21,59.15,100017.47,42,一级
