province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
山西省,临汾市,2015-03-25,35.55,53.29,17.88,19.65,1.49,56.55,-2.44,5.4,278.81,76.03,90930.16,52,二级
山西省,朔州市,2015-03-25,81.08,139.64,62.14,33.74,1.49,74.0,-0.11,5.67,278.68,46.17,87457.06,108,三级
山西省,长治市,2015-03-25,35.87,71.27,25.59,21.17,1.05,66.6,-0.62,5.1,278.08,69.11,89815.14,61,二级
山西省,吕梁市,2015-03-25,44.05,73.96,31.19,19.5,1.89,56.16,-1.68,5.28,278.78,68.82,88572.48,62,二级
山西省,太原市,2015-03-25,61.0,110.0,41.04,25.55,1.66,51.2,-1.14,4.14,278.53,63.87,88408.75,83,二级
山西省,晋城市,2015-03-25,30.47,64.82,20.97,23.88,0.89,60.93,-1.9,5.3,278.44,74.67,91492.86,58,二级
山西省,运城市,2015-03-25,37.09,54.74,16.82,19.81,1.03,55.83,-5.14,4.5,280.51,76.4,95309.51,53,二级
山西省,大同市,2015-03-25,73.49,135.37,44.64,28.78,1.34,81.28,0.6,4.88,278.51,43.96,88077.65,99,二级
山西省,阳泉市,2015-03-25,81.78,161.86,38.84,35.58,1.39,54.59,-0.95,3.2,280.6,49.05,91390.87,109,三级
山西省,忻州市,2015-03-25,68.64,116.84,36.0,25.95,1.28,69.5,-1.8,4.88,278.28,52.82,87045.55,93,二级
山西省,晋中市,2015-03-25,51.13,97.52,33.06,22.87,1.16,57.5,-0.04,5.24,278.81,61.08,89433.43,74,二级
