province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广东省,清远市,2017-06-26,14.33,23.72,5.77,14.86,0.54,47.71,1.24,3.49,298.9,86.52,96983.58,24,一级
广东省,深圳市,2017-06-26,10.28,24.49,7.14,21.13,0.52,33.72,2.25,7.15,300.3,89.1,100085.75,27,一级
广东省,佛山市,2017-06-26,10.27,21.23,6.39,17.92,0.48,39.27,1.87,5.66,301.58,79.38,100503.99,23,一级
广东省,阳江市,2017-06-26,3.99,9.04,1.21,3.16,0.18,35.31,1.35,6.66,300.27,86.36,99120.81,18,一级
广东省,韶关市,2017-06-26,15.82,23.83,10.99,15.84,0.71,52.24,1.28,2.67,297.98,87.66,96277.21,27,一级
广东省,潮州市,2017-06-26,12.68,29.45,9.36,13.27,0.73,38.12,4.01,4.53,299.63,85.86,98663.34,30,一级
广东省,茂名市,2017-06-26,8.83,15.68,4.01,6.68,0.37,41.59,0.28,5.66,300.19,85.8,98583.1,21,一级
广东省,惠州市,2017-06-26,10.54,22.4,4.92,17.3,0.45,43.4,2.55,5.75,299.8,86.63,98787.36,23,一级
广东省,广州市,2017-06-26,15.88,35.09,9.6,28.23,0.68,46.31,1.46,5.24,300.53,83.8,99634.17,36,一级
广东省,汕头市,2017-06-26,6.29,16.9,5.55,7.84,0.4,35.26,4.13,5.78,300.77,85.32,100456.81,18,一级
广东省,东莞市,2017-06-26,12.08,28.18,6.71,21.91,0.59,38.98,1.88,6.74,300.94,85.08,100518.82,29,一级
广东省,揭阳市,2017-06-26,6.65,17.12,3.56,6.18,0.41,36.61,4.02,5.37,300.19,85.2,99374.48,19,一级
广东省,湛江市,2017-06-26,10.34,19.31,4.18,7.16,0.55,49.15,0.69,4.23,301.86,77.36,100303.86,25,一级
广东省,汕尾市,2017-06-26,3.39,9.86,1.8,4.03,0.2,36.42,3.8,5.77,299.71,89.33,99130.52,19,一级
广东省,江门市,2017-06-26,3.6,9.32,1.21,4.09,0.19,35.5,2.0,7.08,300.87,84.58,99957.25,18,一级
广东省,云浮市,2017-06-26,8.75,14.68,1.91,6.34,0.35,37.88,1.56,5.6,300.63,80.03,98482.4,19,一级
广东省,梅州市,2017-06-26,10.72,21.64,5.91,11.05,0.53,44.06,3.58,4.17,299.4,82.27,97351.98,23,一级
广东省,肇庆市,2017-06-26,12.37,19.92,2.86,10.08,0.47,40.8,1.24,4.02,300.23,82.87,98594.42,21,一级
广东省,珠海市,2017-06-26,1.65,7.94,1.29,3.79,0.13,35.39,2.04,7.14,300.75,88.84,100575.23,18,一级
广东省,河源市,2017-06-26,13.47,24.02,7.09,14.19,0.44,52.79,3.15,4.69,299.18,85.21,97512.29,27,一级
广东省,中山市,2017-06-26,6.01,13.74,3.85,9.63,0.34,36.23,2.17,6.88,301.26,83.12,100554.92,19,一级
