province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广西壮族自治区,玉林市,2015-11-10,24.45,35.83,16.79,15.25,0.97,38.85,-5.96,-2.79,295.18,75.87,99608.67,36,一级
广西壮族自治区,南宁市,2015-11-10,25.36,36.57,14.11,15.64,1.02,32.5,-3.77,-4.2,292.58,78.72,99628.68,37,一级
广西壮族自治区,百色市,2015-11-10,23.31,35.13,13.44,6.99,0.54,40.15,-2.66,0.92,288.92,94.78,93401.48,36,一级
广西壮族自治区,桂林市,2015-11-10,30.78,38.07,16.12,15.21,0.91,48.74,-3.87,-3.71,286.88,84.71,96347.39,44,一级
广西壮族自治区,防城港市,2015-11-10,28.79,44.07,11.9,13.11,1.07,35.18,-3.51,-4.45,293.85,84.04,99091.56,45,一级
广西壮族自治区,柳州市,2015-11-10,25.75,31.82,14.96,12.12,0.92,46.39,-2.76,-3.99,288.43,81.46,97923.61,37,一级
广西壮族自治区,贵港市,2015-11-10,24.48,34.65,16.63,11.66,0.9,36.88,-5.57,-3.67,293.72,74.39,100056.54,35,一级
广西壮族自治区,钦州市,2015-11-10,24.47,37.64,15.0,13.62,1.14,37.3,-4.92,-3.38,295.98,75.67,100669.01,38,一级
广西壮族自治区,崇左市,2015-11-10,30.68,42.47,12.56,12.91,0.92,33.34,-3.03,-3.77,291.58,86.33,98320.26,44,一级
广西壮族自治区,来宾市,2015-11-10,22.51,30.57,14.07,12.12,0.96,39.52,-3.09,-3.75,290.98,80.44,98508.57,33,一级
广西壮族自治区,梧州市,2015-11-10,24.06,34.2,13.39,12.47,0.79,35.69,-4.95,-2.21,293.12,76.51,99344.51,35,一级
广西壮族自治区,北海市,2015-11-10,26.83,40.88,16.43,14.36,1.1,49.48,-6.03,-2.02,297.37,73.47,101338.59,41,一级
广西壮族自治区,贺州市,2015-11-10,23.78,35.4,19.67,11.82,0.69,39.68,-3.1,-3.94,290.38,81.23,97478.21,36,一级
广西壮族自治区,河池市,2015-11-10,22.16,29.38,14.02,7.83,0.8,40.44,-3.22,-1.21,287.97,88.89,95574.26,32,一级
