province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
新疆维吾尔自治区,塔城地区,2016-10-05,3.41,4.21,3.69,1.48,0.26,63.38,1.94,-1.88,277.7,66.52,90177.96,32,一级
新疆维吾尔自治区,巴音郭楞蒙古自治州,2016-10-05,14.3,15.39,0.81,0.7,0.17,67.45,0.03,-1.0,279.91,36.58,79471.41,34,一级
新疆维吾尔自治区,伊犁哈萨克自治州,2016-10-05,4.34,6.15,2.54,5.73,0.24,69.17,1.59,-0.52,274.19,61.32,80811.25,35,一级
新疆维吾尔自治区,北屯市,2016-10-05,4.9,5.85,6.1,2.57,0.39,57.24,3.03,-4.09,279.35,70.24,96192.92,29,一级
新疆维吾尔自治区,昌吉回族自治州,2016-10-05,4.77,6.64,3.82,5.02,0.24,58.63,3.39,-1.47,278.91,64.58,90500.03,30,一级
新疆维吾尔自治区,克拉玛依市,2016-10-05,4.42,6.55,5.22,3.01,0.32,60.76,2.29,-1.1,284.32,50.71,98160.43,31,一级
新疆维吾尔自治区,和田地区,2016-10-05,35.03,41.11,0.81,0.75,0.18,71.36,-0.17,-0.0,280.47,34.4,74257.16,51,二级
新疆维吾尔自治区,喀什地区,2016-10-05,39.0,56.31,1.2,4.31,0.24,67.09,0.8,-0.32,281.82,32.21,76420.75,56,二级
新疆维吾尔自治区,博尔塔拉蒙古自治州,2016-10-05,2.91,3.73,2.27,2.56,0.26,69.27,1.63,-0.6,276.78,59.52,86821.09,35,一级
新疆维吾尔自治区,石河子市,2016-10-05,6.91,10.85,7.3,10.62,0.3,49.24,3.32,-1.49,283.45,55.67,96800.77,25,一级
新疆维吾尔自治区,阿勒泰地区,2016-10-05,3.95,4.55,5.12,1.09,0.25,61.16,1.61,-1.94,275.09,78.17,88992.42,31,一级
新疆维吾尔自治区,乌鲁木齐市,2016-10-05,6.8,9.99,2.9,8.64,0.31,56.98,3.21,-2.63,275.64,64.73,84645.02,29,一级
新疆维吾尔自治区,哈密市,2016-10-05,3.21,4.36,1.96,1.35,0.25,66.13,1.11,-2.13,279.8,50.68,88693.02,34,一级
新疆维吾尔自治区,阿克苏地区,2016-10-05,32.71,51.21,1.29,2.63,0.17,60.27,-0.29,-0.07,284.23,39.51,85605.02,51,二级
新疆维吾尔自治区,双河市,2016-10-05,2.56,3.32,3.21,2.56,0.33,63.67,1.01,-2.75,284.76,48.28,98678.98,32,一级
新疆维吾尔自治区,可克达拉市,2016-10-05,13.09,20.87,6.22,20.02,0.54,49.34,-0.09,0.14,283.97,45.78,95506.37,26,一级
新疆维吾尔自治区,铁门关市,2016-10-05,23.46,48.0,3.39,8.71,0.83,59.01,0.69,-1.93,286.68,38.69,91994.51,48,一级
新疆维吾尔自治区,图木舒克市,2016-10-05,64.98,69.09,2.14,1.72,0.17,50.0,-3.27,-0.99,288.7,34.58,89440.38,88,二级
新疆维吾尔自治区,昆玉市,2016-10-05,66.81,133.71,7.06,6.49,0.64,61.75,-0.5,0.02,289.98,14.69,87100.59,92,二级
新疆维吾尔自治区,五家渠市,2016-10-05,11.57,16.45,5.5,10.54,0.46,45.7,2.87,-1.17,283.5,58.65,97302.84,23,一级
新疆维吾尔自治区,吐鲁番市,2016-10-05,6.46,14.84,2.58,4.42,0.23,63.95,-0.86,-1.79,282.67,39.14,90686.72,32,一级
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,2016-10-05,12.5,31.83,0.74,3.74,0.23,73.61,2.1,-1.26,277.2,31.61,70733.64,37,一级
新疆维吾尔自治区,阿拉尔市,2016-10-05,47.36,59.46,0.85,2.73,0.17,52.22,-1.37,2.6,288.94,31.34,90555.73,66,二级
