province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江苏省,扬州市,2016-06-01,21.15,39.08,10.05,10.73,0.58,94.55,-6.53,-3.69,293.43,78.34,100724.96,48,一级
江苏省,常州市,2016-06-01,30.98,51.0,10.54,26.12,0.98,71.87,-7.44,-4.26,293.68,85.49,100483.51,51,二级
江苏省,南通市,2016-06-01,24.9,37.55,6.25,6.78,0.42,110.72,-6.15,-3.72,292.12,86.38,100709.37,59,二级
江苏省,淮安市,2016-06-01,25.39,42.68,9.6,9.04,0.58,94.65,-6.42,-3.4,294.27,69.96,100725.64,48,一级
江苏省,宿迁市,2016-06-01,25.08,49.4,10.27,12.43,0.67,91.25,-6.57,-3.69,294.95,63.86,100756.94,50,一级
江苏省,徐州市,2016-06-01,37.46,76.5,15.84,21.95,0.95,94.45,-6.64,-2.64,296.3,57.02,100534.79,64,二级
江苏省,泰州市,2016-06-01,20.84,38.29,8.48,10.65,0.56,98.04,-6.43,-3.75,292.87,81.13,100688.9,50,一级
江苏省,无锡市,2016-06-01,31.47,48.34,9.97,29.31,0.96,75.81,-7.4,-4.08,293.35,86.53,100398.9,49,一级
江苏省,苏州市,2016-06-01,25.24,38.47,7.83,26.04,0.73,89.22,-7.36,-4.28,292.99,88.53,100541.1,45,一级
江苏省,南京市,2016-06-01,26.85,44.34,12.2,20.43,0.79,78.61,-7.27,-4.24,294.14,82.24,100446.19,45,一级
江苏省,连云港市,2016-06-01,23.81,49.49,7.49,9.57,0.52,93.98,-5.6,-3.89,293.13,71.1,100743.81,50,一级
江苏省,盐城市,2016-06-01,22.17,35.94,5.83,4.39,0.39,101.85,-5.51,-3.55,292.51,77.64,100843.58,52,二级
江苏省,镇江市,2016-06-01,23.78,44.77,11.49,19.01,0.78,81.15,-7.32,-4.27,293.78,81.62,100514.03,45,一级
