province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江西省,九江市,2014-03-09,37.65,59.75,15.64,14.09,0.54,47.19,-1.67,-1.46,281.45,71.36,100039.36,55,二级
江西省,吉安市,2014-03-09,47.34,59.1,17.14,10.74,0.55,52.38,-2.69,-3.17,281.68,77.63,99692.74,66,二级
江西省,萍乡市,2014-03-09,42.57,54.96,20.68,17.31,0.82,43.06,-4.61,-1.18,281.96,73.15,98639.85,60,二级
江西省,新余市,2014-03-09,40.67,57.29,18.52,17.76,0.65,42.28,-2.64,-2.12,281.97,76.37,101082.06,58,二级
江西省,赣州市,2014-03-09,33.95,44.21,13.27,6.82,0.64,56.36,-1.65,-4.95,281.93,78.29,97893.62,49,一级
江西省,抚州市,2014-03-09,39.02,50.12,10.34,8.47,0.46,54.12,-1.5,-3.6,280.54,82.27,99694.75,56,二级
江西省,鹰潭市,2014-03-09,40.87,52.84,10.5,10.16,0.47,52.38,-2.34,-2.04,280.41,82.07,100708.7,58,二级
江西省,南昌市,2014-03-09,35.54,56.87,13.94,17.1,0.61,45.82,-1.67,-2.86,282.1,75.04,102088.22,54,二级
江西省,宜春市,2014-03-09,40.5,56.69,15.49,14.65,0.62,48.29,-2.78,-1.92,281.57,75.14,100078.3,57,二级
江西省,景德镇市,2014-03-09,36.89,50.41,11.87,11.11,0.46,51.94,-1.74,-2.18,280.76,73.37,101046.52,53,二级
江西省,上饶市,2014-03-09,43.76,54.71,12.43,11.59,0.47,53.96,-1.68,-1.83,280.36,78.24,100306.75,61,二级
