province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河北省,保定市,2014-06-13,58.55,106.94,26.33,22.99,0.85,127.76,-2.11,-0.84,299.2,40.55,96920.42,80,二级
河北省,衡水市,2014-06-13,71.0,140.13,44.91,32.08,1.13,135.45,-0.67,2.06,302.48,30.61,100306.43,96,二级
河北省,沧州市,2014-06-13,49.82,80.83,31.09,22.37,0.98,98.61,-4.14,1.56,300.32,41.23,100519.58,69,二级
河北省,秦皇岛市,2014-06-13,14.15,24.81,6.86,14.94,0.32,59.92,-1.21,-2.42,296.24,48.71,97882.77,30,一级
河北省,邯郸市,2014-06-13,81.08,156.59,34.85,39.87,1.58,92.87,1.74,1.54,301.32,35.94,98390.88,108,三级
河北省,石家庄市,2014-06-13,72.46,153.56,40.28,34.79,0.86,130.06,0.59,-0.18,300.48,33.09,97355.61,102,三级
河北省,张家口市,2014-06-13,22.79,31.53,7.81,6.83,0.4,93.36,-0.41,0.57,292.67,52.77,87301.11,47,一级
河北省,唐山市,2014-06-13,33.44,60.76,18.12,31.42,0.9,59.17,-1.45,-0.48,297.46,50.31,100058.42,56,二级
河北省,廊坊市,2014-06-13,54.49,84.2,18.92,27.52,1.09,93.06,-3.92,1.2,299.86,44.3,100520.41,75,二级
河北省,邢台市,2014-06-13,87.65,179.96,40.04,45.87,1.29,128.75,1.09,0.8,301.71,32.4,98916.2,116,三级
河北省,承德市,2014-06-13,16.45,24.09,5.23,6.84,0.24,69.41,-1.16,-0.55,291.36,68.64,90574.55,35,一级
