province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
河南省,鹤壁市,2014-03-22,80.72,120.29,48.58,45.25,1.46,50.91,4.12,6.12,289.09,24.15,100544.63,108,三级
河南省,焦作市,2014-03-22,57.07,108.05,59.25,45.61,1.64,64.54,2.78,2.33,288.7,23.88,100035.23,80,二级
河南省,平顶山市,2014-03-22,57.68,91.3,25.47,32.08,1.14,68.79,2.38,5.55,286.6,29.82,99177.0,79,二级
河南省,漯河市,2014-03-22,66.34,103.21,25.19,37.92,1.07,64.91,2.6,5.4,286.54,33.87,101451.11,90,二级
河南省,济源市,2014-03-22,39.6,67.45,29.43,24.75,1.06,83.71,1.01,0.46,286.53,24.35,95441.38,59,二级
河南省,驻马店市,2014-03-22,55.33,92.08,33.62,34.57,0.98,80.18,2.23,5.83,286.21,34.56,101173.1,76,二级
河南省,开封市,2014-03-22,71.32,103.23,29.51,31.68,1.28,62.09,3.56,6.76,287.1,31.14,101291.22,96,二级
河南省,新乡市,2014-03-22,73.49,113.67,47.59,43.6,1.57,56.63,3.65,5.68,288.16,25.95,100255.0,99,二级
河南省,郑州市,2014-03-22,64.96,108.48,42.79,50.95,1.67,58.54,3.05,5.83,287.51,26.8,99287.79,88,二级
河南省,南阳市,2014-03-22,63.97,99.9,33.77,26.53,1.47,62.73,0.03,3.91,285.12,35.02,98718.96,87,二级
河南省,许昌市,2014-03-22,70.03,110.39,32.64,44.69,1.32,57.39,3.02,5.72,286.64,32.87,100722.93,94,二级
河南省,周口市,2014-03-22,67.31,103.33,26.69,36.66,1.01,63.76,2.76,5.62,285.98,34.9,101658.43,91,二级
河南省,安阳市,2014-03-22,73.81,116.87,45.68,42.42,1.41,54.09,3.82,4.7,289.0,21.21,99387.77,99,二级
河南省,商丘市,2014-03-22,60.31,103.97,27.85,29.82,1.15,75.64,3.25,5.96,286.29,32.95,101728.36,82,二级
河南省,洛阳市,2014-03-22,43.83,69.25,25.09,22.04,1.03,78.19,1.16,3.29,285.52,27.26,94642.77,62,二级
河南省,信阳市,2014-03-22,44.18,65.91,22.33,24.4,0.63,82.09,1.65,5.51,286.2,35.0,100970.66,62,二级
河南省,三门峡市,2014-03-22,45.07,72.16,26.97,17.97,0.95,75.72,0.36,3.49,284.23,30.18,92089.98,63,二级
河南省,濮阳市,2014-03-22,70.79,118.94,33.15,33.37,1.26,61.24,4.55,7.31,288.46,28.07,101465.54,95,二级
