province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
浙江省,杭州市,2015-06-20,39.95,56.85,9.93,16.64,0.57,80.75,-2.3,-0.36,296.02,80.34,97905.37,57,二级
浙江省,宁波市,2015-06-20,24.4,33.34,6.35,9.93,0.36,92.84,-3.69,1.03,294.89,89.7,99556.53,47,一级
浙江省,金华市,2015-06-20,28.99,39.33,7.38,12.61,0.52,85.83,-2.65,0.62,296.06,82.79,97432.95,43,一级
浙江省,台州市,2015-06-20,24.0,31.0,4.81,7.7,0.41,85.84,-3.2,-0.78,294.7,94.04,98153.86,43,一级
浙江省,嘉兴市,2015-06-20,33.38,45.65,7.98,17.3,0.45,104.19,-3.8,2.33,295.97,84.24,100812.28,54,二级
浙江省,绍兴市,2015-06-20,31.62,43.23,7.47,14.15,0.48,92.2,-2.77,0.98,295.81,82.11,98850.37,47,一级
浙江省,丽水市,2015-06-20,28.82,37.86,8.04,9.26,0.5,79.65,-2.01,0.19,294.8,90.31,93947.06,42,一级
浙江省,湖州市,2015-06-20,41.68,61.51,10.62,22.39,0.61,93.16,-2.34,1.44,296.35,79.17,99557.1,59,二级
浙江省,舟山市,2015-06-20,24.83,29.31,2.3,1.74,0.18,101.54,-4.46,0.79,295.12,86.86,100699.59,52,二级
浙江省,温州市,2015-06-20,25.3,35.79,7.22,18.03,0.68,71.39,-2.3,-1.37,294.59,96.42,96964.81,37,一级
浙江省,衢州市,2015-06-20,33.21,43.04,14.88,11.69,0.47,70.85,-2.54,-1.39,297.25,77.46,97107.05,48,一级
