province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
海南省,临高县,2015-10-30,21.0,32.7,3.53,7.62,0.31,54.36,-4.34,-0.18,297.75,87.75,100890.53,33,一级
海南省,澄迈县,2015-10-30,19.79,32.04,3.39,8.68,0.34,50.5,-4.0,-0.35,297.75,87.53,100716.85,33,一级
海南省,文昌市,2015-10-30,14.9,21.57,1.32,2.12,0.2,71.57,-5.22,-0.88,298.58,86.66,101370.48,36,一级
海南省,定安县,2015-10-30,16.66,25.96,1.89,5.66,0.28,59.34,-4.2,-0.72,298.02,86.72,100587.65,30,一级
海南省,屯昌县,2015-10-30,17.74,26.7,1.76,4.95,0.26,61.53,-3.43,-0.28,297.29,88.47,99812.1,31,一级
海南省,乐东黎族自治县,2015-10-30,16.55,21.5,1.37,3.5,0.29,63.33,-2.41,-1.02,297.49,79.1,98017.35,32,一级
海南省,万宁市,2015-10-30,14.98,21.33,1.55,2.18,0.2,79.53,-4.11,-2.63,297.96,88.38,100289.1,40,一级
海南省,保亭黎族苗族自治县,2015-10-30,16.47,23.37,1.74,5.05,0.42,58.86,-4.64,-2.56,296.5,86.83,97460.24,30,一级
海南省,陵水黎族自治县,2015-10-30,15.88,22.17,1.41,3.05,0.29,69.28,-4.24,-3.47,297.56,87.04,99599.96,35,一级
海南省,昌江黎族自治县,2015-10-30,16.92,21.32,1.94,3.18,0.2,67.24,-3.95,-0.5,298.06,76.45,98707.37,34,一级
海南省,东方市,2015-10-30,16.56,20.51,1.82,3.01,0.2,68.12,-2.2,-0.16,299.31,71.81,99977.1,35,一级
海南省,儋州市,2015-10-30,19.3,27.34,2.32,4.6,0.26,62.9,-4.32,0.27,297.93,84.69,100587.03,32,一级
海南省,琼海市,2015-10-30,14.92,21.56,1.28,2.62,0.21,73.55,-3.96,-1.32,298.29,86.59,100865.07,37,一级
海南省,白沙黎族自治县,2015-10-30,16.57,21.57,1.4,2.75,0.21,66.09,-4.08,0.75,296.62,84.38,97667.45,34,一级
海南省,琼中黎族苗族自治县,2015-10-30,17.81,24.3,1.54,3.28,0.23,64.87,-3.52,-0.36,295.81,91.41,97323.54,33,一级
海南省,海口市,2015-10-30,17.18,27.21,2.7,6.72,0.28,58.02,-4.81,-0.77,298.31,86.81,101173.48,30,一级
海南省,五指山市,2015-10-30,15.91,20.89,1.29,3.14,0.23,65.44,-4.79,-0.95,295.36,85.6,94973.69,33,一级
海南省,三亚市,2015-10-30,15.46,23.1,2.17,5.71,0.51,55.32,-5.24,-2.14,297.86,81.52,99026.45,28,一级
