province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖北省,仙桃市,2014-04-11,44.38,70.26,11.22,22.15,0.79,49.52,-4.12,-2.12,294.17,78.92,100794.16,62,二级
湖北省,黄石市,2014-04-11,44.52,66.98,17.61,25.36,0.92,45.77,-6.18,1.99,292.95,78.16,99805.12,62,二级
湖北省,黄冈市,2014-04-11,41.35,56.98,12.09,18.94,0.73,55.77,-6.39,0.15,292.28,73.64,99223.42,58,二级
湖北省,孝感市,2014-04-11,50.16,67.59,12.77,24.57,0.65,53.21,-5.13,-3.03,290.95,81.74,100289.02,69,二级
湖北省,十堰市,2014-04-11,62.73,95.67,33.12,20.74,0.94,43.45,-5.48,-0.69,284.33,94.94,93039.29,85,二级
湖北省,宜昌市,2014-04-11,49.78,62.49,16.42,21.0,0.93,64.22,-3.15,-2.02,287.61,94.49,93828.58,69,二级
湖北省,咸宁市,2014-04-11,42.3,65.29,12.74,12.39,0.6,48.76,-2.59,3.02,295.79,77.15,99097.38,60,二级
湖北省,荆州市,2014-04-11,40.08,66.28,12.43,21.28,1.11,42.77,-2.35,-3.28,293.11,83.23,100512.03,59,二级
湖北省,荆门市,2014-04-11,47.53,62.65,14.57,21.79,0.97,54.59,-2.62,-5.28,288.7,88.95,99868.42,66,二级
湖北省,鄂州市,2014-04-11,45.51,65.51,20.05,31.61,0.78,51.47,-6.18,2.09,293.82,72.88,100823.19,64,二级
湖北省,随州市,2014-04-11,68.53,90.96,19.96,23.89,0.78,43.28,-5.17,-4.52,287.59,86.58,99223.76,92,二级
湖北省,武汉市,2014-04-11,48.02,65.82,15.38,29.91,0.68,54.31,-5.7,0.18,293.35,76.23,100769.77,67,二级
湖北省,神农架林区,2014-04-11,48.61,57.82,16.36,6.85,0.48,72.04,-2.11,4.7,284.53,96.79,82767.33,68,二级
湖北省,天门市,2014-04-11,39.89,60.63,11.49,23.93,0.86,58.43,-4.74,-4.07,291.81,84.34,100791.63,57,二级
湖北省,恩施土家族苗族自治州,2014-04-11,38.53,48.69,17.22,7.35,0.59,65.73,-3.93,2.76,289.16,95.26,89206.28,55,二级
湖北省,襄阳市,2014-04-11,77.03,97.53,31.75,27.78,1.11,42.34,-3.05,-3.81,284.86,93.36,97304.24,103,三级
湖北省,潜江市,2014-04-11,39.45,62.62,10.48,20.86,1.02,55.33,-3.72,-4.08,292.47,83.42,100772.92,57,二级
