province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
湖南省,益阳市,2017-03-01,48.09,87.41,14.3,17.18,0.9,65.07,-0.01,-6.04,285.62,43.99,99706.88,69,二级
湖南省,娄底市,2017-03-01,47.59,82.15,18.62,16.29,1.16,60.41,-0.17,-6.34,285.78,45.2,98192.73,67,二级
湖南省,邵阳市,2017-03-01,48.95,77.75,20.61,14.61,0.91,57.9,-0.99,-4.68,285.1,51.04,95834.66,68,二级
湖南省,怀化市,2017-03-01,41.93,77.92,14.02,15.09,0.86,51.99,-0.57,-3.54,285.42,52.21,97246.25,64,二级
湖南省,株洲市,2017-03-01,48.83,80.6,14.45,18.03,0.77,61.66,0.91,-4.82,285.63,54.02,98804.85,68,二级
湖南省,张家界市,2017-03-01,34.81,60.76,8.25,10.57,1.0,60.28,0.24,-5.28,284.74,33.42,96130.71,56,二级
湖南省,永州市,2017-03-01,49.0,68.98,16.65,14.26,0.83,56.89,-1.89,-5.74,286.26,55.05,97391.47,68,二级
湖南省,湘潭市,2017-03-01,51.42,100.23,18.32,30.58,0.93,59.32,0.31,-6.54,286.62,47.27,101160.76,76,二级
湖南省,岳阳市,2017-03-01,52.93,93.66,14.13,22.11,0.66,60.95,1.12,-7.25,285.52,43.46,101092.23,73,二级
湖南省,衡阳市,2017-03-01,53.5,84.81,17.68,22.81,1.15,52.17,-0.42,-5.48,287.06,51.02,100649.66,74,二级
湖南省,郴州市,2017-03-01,39.83,60.14,12.39,16.05,1.08,55.24,-0.41,-5.77,285.49,57.43,96412.67,57,二级
湖南省,湘西土家族苗族自治州,2017-03-01,34.19,64.72,8.51,13.81,0.84,46.5,0.55,-5.78,285.22,40.97,96295.86,58,二级
湖南省,长沙市,2017-03-01,52.71,96.39,15.76,26.06,0.74,60.14,1.17,-6.65,285.8,47.74,100566.4,74,二级
湖南省,常德市,2017-03-01,48.28,84.2,13.54,20.3,0.92,62.65,-0.48,-6.15,286.17,35.67,100335.54,68,二级
