province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
甘肃省,嘉峪关市,2015-11-06,60.21,90.63,33.09,27.14,0.62,39.79,0.2,-0.16,271.25,75.8,81894.87,82,二级
甘肃省,金昌市,2015-11-06,24.69,66.87,11.58,9.09,0.66,42.92,2.14,-2.12,272.61,81.11,80738.02,59,二级
甘肃省,武威市,2015-11-06,28.26,50.85,17.33,9.16,0.51,34.6,1.37,-1.85,272.56,87.99,81568.05,51,二级
甘肃省,庆阳市,2015-11-06,24.82,33.47,16.61,17.01,0.94,26.87,-2.23,0.74,277.89,95.13,85903.88,36,一级
甘肃省,甘南藏族自治州,2015-11-06,18.88,23.88,7.01,3.91,0.38,60.37,-0.31,0.83,275.01,69.35,67523.56,31,一级
甘肃省,张掖市,2015-11-06,17.07,41.16,8.59,6.2,0.32,57.46,2.37,-0.61,269.38,82.25,74560.63,42,一级
甘肃省,平凉市,2015-11-06,15.4,24.65,14.78,22.32,1.04,24.42,-1.16,-0.56,278.26,94.45,84538.81,28,一级
甘肃省,兰州市,2015-11-06,30.1,42.65,15.43,16.65,0.66,36.76,-1.72,-1.03,274.79,83.04,79122.42,44,一级
甘肃省,白银市,2015-11-06,24.77,34.41,14.83,12.4,0.53,32.33,0.16,-2.93,274.87,87.46,81574.41,36,一级
甘肃省,陇南市,2015-11-06,16.13,29.5,18.8,18.02,0.85,32.01,-2.69,-1.27,279.74,95.33,82141.16,30,一级
甘肃省,酒泉市,2015-11-06,17.0,21.12,3.94,1.93,0.18,51.88,0.66,0.05,270.61,63.26,79268.46,26,一级
甘肃省,天水市,2015-11-06,21.64,35.54,16.33,26.23,1.15,25.23,-3.03,-0.36,278.28,93.91,82646.01,36,一级
甘肃省,临夏回族自治州,2015-11-06,39.26,59.83,19.65,24.8,1.08,34.77,-1.55,-1.61,274.96,85.31,77121.82,56,二级
甘肃省,定西市,2015-11-06,27.9,43.83,18.04,12.6,0.76,40.33,-1.77,-0.25,275.44,92.76,77203.87,44,一级
