province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
辽宁省,丹东市,2013-02-15,34.07,40.5,26.39,13.49,0.56,39.73,1.62,-5.55,259.67,61.31,99531.96,49,一级
辽宁省,阜新市,2013-02-15,11.49,13.07,5.36,5.14,0.29,51.18,3.01,-3.84,257.97,58.27,100502.76,26,一级
辽宁省,抚顺市,2013-02-15,34.96,45.83,21.2,8.37,0.58,35.38,2.76,-1.46,254.15,78.28,97655.27,50,一级
辽宁省,朝阳市,2013-02-15,26.3,32.32,15.3,13.61,0.55,51.74,1.79,-3.06,259.51,50.99,97313.61,38,一级
辽宁省,本溪市,2013-02-15,41.0,52.21,40.01,11.91,0.69,39.52,2.46,-3.73,255.59,76.84,96896.41,58,二级
辽宁省,铁岭市,2013-02-15,31.64,40.45,13.84,8.92,0.59,39.91,2.46,-0.91,253.34,74.85,100586.41,46,一级
辽宁省,鞍山市,2013-02-15,53.53,65.96,52.99,17.56,0.88,38.42,1.21,-4.32,258.68,67.0,100839.46,74,二级
辽宁省,辽阳市,2013-02-15,68.08,89.32,93.06,18.3,1.16,45.96,0.32,-1.82,256.38,77.9,100814.2,92,二级
辽宁省,锦州市,2013-02-15,21.13,23.56,9.99,10.53,0.4,47.91,0.46,-3.55,261.05,53.48,102151.77,31,一级
辽宁省,营口市,2013-02-15,49.89,63.46,35.62,20.22,0.75,31.87,-0.7,-4.35,258.81,69.0,100565.76,69,二级
辽宁省,盘锦市,2013-02-15,36.52,40.62,22.38,15.37,0.59,37.32,-1.12,-2.27,260.33,62.89,103055.02,52,二级
辽宁省,葫芦岛市,2013-02-15,34.3,45.45,18.29,19.65,0.92,50.21,0.78,-2.98,263.16,50.58,100278.81,50,一级
辽宁省,大连市,2013-02-15,27.86,38.23,21.35,14.58,0.43,45.91,0.89,-5.86,263.55,60.77,102022.77,40,一级
辽宁省,沈阳市,2013-02-15,33.31,44.53,33.7,11.23,0.63,40.18,1.04,-2.31,256.36,68.49,102337.11,48,一级
