province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
重庆市,长寿区,2016-05-11,44.7,72.15,13.03,22.83,0.58,96.54,-2.19,5.31,300.53,42.57,95881.42,63,二级
重庆市,涪陵区,2016-05-11,43.8,65.0,12.27,15.2,0.5,96.54,-3.48,8.44,300.02,40.76,94244.63,62,二级
重庆市,巫溪县,2016-05-11,40.59,49.88,12.49,4.8,0.42,85.07,1.11,4.02,291.74,56.35,85988.99,57,二级
重庆市,合川区,2016-05-11,51.81,93.45,13.25,44.67,0.89,93.88,-3.62,5.59,301.1,40.78,96407.26,72,二级
重庆市,璧山区,2016-05-11,53.96,96.29,15.14,49.84,0.88,97.79,-3.56,5.39,301.38,39.84,96119.35,74,二级
重庆市,大足区,2016-05-11,65.05,105.08,19.69,37.4,0.88,98.92,-3.42,4.34,301.1,39.94,95772.99,88,二级
重庆市,石柱土家族自治县,2016-05-11,36.06,48.79,9.65,6.25,0.36,85.77,-2.46,8.64,294.6,52.21,88903.4,52,二级
重庆市,九龙坡区,2016-05-11,53.33,90.21,17.84,44.18,0.78,98.44,-3.3,5.35,302.35,37.94,96830.5,73,二级
重庆市,永川区,2016-05-11,55.87,91.92,18.46,32.77,0.76,103.15,-2.44,3.83,302.07,37.78,96258.75,77,二级
重庆市,酉阳土家族苗族自治县,2016-05-11,29.95,49.13,14.19,5.82,0.44,68.07,-1.12,3.61,294.54,59.2,92305.89,50,一级
重庆市,大渡口区,2016-05-11,53.8,91.16,18.43,47.55,0.8,97.73,-3.1,7.47,302.45,37.72,96911.53,74,二级
重庆市,黔江区,2016-05-11,34.16,49.32,15.29,6.45,0.38,73.44,-0.99,4.52,294.14,60.62,91488.49,50,一级
重庆市,北碚区,2016-05-11,48.81,91.2,12.78,47.75,0.87,98.57,-3.3,5.6,300.7,41.17,95696.48,71,二级
重庆市,忠县,2016-05-11,37.73,55.03,9.21,12.06,0.46,85.77,-1.69,5.2,300.19,39.35,95494.15,54,二级
重庆市,沙坪坝区,2016-05-11,52.61,96.63,13.98,58.48,0.91,96.5,-3.18,5.74,301.56,39.92,96517.32,74,二级
重庆市,綦江区,2016-05-11,47.36,77.64,14.49,25.49,0.66,96.44,-3.46,8.55,300.31,41.56,93926.93,66,二级
重庆市,江津区,2016-05-11,47.75,78.22,16.86,26.99,0.66,100.59,-1.82,7.02,301.85,37.97,95137.34,66,二级
重庆市,奉节县,2016-05-11,36.3,49.49,13.6,6.88,0.39,70.23,0.06,4.12,295.15,52.8,90630.47,52,二级
重庆市,巫山县,2016-05-11,34.85,47.14,9.95,4.91,0.4,78.79,1.03,3.58,294.57,53.43,90125.98,50,一级
重庆市,南川区,2016-05-11,48.43,71.57,11.91,14.79,0.55,95.97,-3.79,9.55,297.11,48.21,90789.42,67,二级
重庆市,丰都县,2016-05-11,38.41,53.86,8.39,8.09,0.41,90.23,-2.35,7.94,298.01,44.5,92459.17,55,二级
重庆市,潼南区,2016-05-11,65.23,107.48,15.86,42.39,0.99,91.43,-3.45,3.72,300.86,42.09,96705.09,88,二级
重庆市,垫江县,2016-05-11,45.18,70.67,11.44,20.36,0.58,90.82,-1.74,4.27,299.83,43.22,95498.88,63,二级
重庆市,江北区,2016-05-11,52.05,94.03,15.47,65.15,0.86,94.62,-2.59,6.49,302.33,37.98,97110.27,82,二级
重庆市,巴南区,2016-05-11,51.51,82.74,17.3,29.9,0.69,99.12,-2.81,8.46,301.7,37.81,95823.53,71,二级
重庆市,城口县,2016-05-11,42.06,51.43,10.95,6.96,0.43,86.16,0.96,6.95,291.06,57.04,84474.06,59,二级
重庆市,万州区,2016-05-11,41.21,59.04,16.28,20.22,0.51,75.1,-0.35,4.13,298.69,42.96,94155.42,58,二级
重庆市,梁平区,2016-05-11,44.0,65.49,10.96,20.98,0.57,80.2,-2.48,4.81,299.11,42.24,94581.72,62,二级
重庆市,武隆区,2016-05-11,44.83,62.0,9.34,8.35,0.44,91.58,-2.82,6.18,294.46,57.19,89661.53,63,二级
重庆市,彭水苗族土家族自治县,2016-05-11,37.94,53.53,11.21,5.85,0.38,83.32,-0.93,4.76,294.24,60.23,91319.89,54,二级
重庆市,南岸区,2016-05-11,50.85,90.08,16.0,58.91,0.81,94.81,-2.2,6.99,302.36,37.11,96941.9,74,二级
重庆市,秀山土家族苗族自治县,2016-05-11,27.55,53.59,14.65,7.75,0.54,55.41,-0.85,4.7,295.55,53.78,93669.02,52,二级
重庆市,渝北区,2016-05-11,47.89,83.02,14.15,34.75,0.72,99.65,-2.14,4.79,300.84,40.72,95913.89,67,二级
重庆市,铜梁区,2016-05-11,57.16,99.58,15.78,47.03,0.9,96.13,-3.47,4.99,301.45,39.8,96454.14,78,二级
重庆市,开州区,2016-05-11,50.15,68.63,18.42,27.36,0.59,74.22,-2.82,2.47,296.62,48.63,92531.53,69,二级
重庆市,云阳县,2016-05-11,38.68,52.83,12.67,10.25,0.42,75.47,-1.72,3.25,297.57,47.24,93763.28,55,二级
重庆市,荣昌区,2016-05-11,65.22,101.79,20.62,29.12,0.82,101.7,-3.31,4.61,301.84,38.09,95938.0,88,二级
