province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
陕西省,延安市,2017-10-12,27.92,41.48,10.09,16.1,0.67,44.13,2.43,1.36,281.61,60.77,88181.19,42,一级
陕西省,安康市,2017-10-12,19.25,31.22,12.09,10.42,0.48,41.7,-2.23,-0.65,282.02,85.75,90611.19,32,一级
陕西省,宝鸡市,2017-10-12,21.97,33.13,7.03,15.64,0.51,42.41,-0.35,-0.0,280.58,68.34,87048.05,34,一级
陕西省,商洛市,2017-10-12,22.76,36.03,10.65,15.39,0.53,38.82,-0.11,-0.59,281.78,82.09,90034.02,37,一级
陕西省,铜川市,2017-10-12,31.11,43.18,13.09,24.27,0.7,33.37,0.65,0.66,281.94,68.2,89876.21,45,一级
陕西省,西安市,2017-10-12,22.54,33.25,10.15,26.21,0.7,37.4,1.27,0.39,281.8,75.96,91256.75,34,一级
陕西省,榆林市,2017-10-12,29.12,43.31,11.56,24.78,0.76,46.77,3.63,1.34,281.41,51.21,88431.14,44,一级
陕西省,咸阳市,2017-10-12,28.25,42.03,10.06,25.63,0.72,34.6,0.88,0.39,282.54,69.16,92228.35,43,一级
陕西省,汉中市,2017-10-12,19.06,29.79,11.37,10.39,0.49,39.54,-2.19,-1.15,282.0,80.06,89654.37,30,一级
陕西省,渭南市,2017-10-12,29.78,44.37,13.5,29.69,0.88,27.81,1.13,0.87,283.9,71.81,94850.35,45,一级
