province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
黑龙江省,大兴安岭地区,2015-08-20,37.5,40.9,5.49,2.25,0.28,60.43,-0.06,-1.86,288.79,96.78,94716.58,54,二级
黑龙江省,佳木斯市,2015-08-20,17.28,23.42,3.44,6.79,0.35,57.02,-2.19,-0.94,292.73,81.85,99782.29,29,一级
黑龙江省,牡丹江市,2015-08-20,42.83,61.12,12.79,5.6,0.46,77.05,0.18,-0.5,291.82,84.51,95088.42,60,二级
黑龙江省,黑河市,2015-08-20,44.77,52.43,10.04,2.86,0.37,73.95,-0.69,0.37,292.03,83.75,96779.96,63,二级
黑龙江省,哈尔滨市,2015-08-20,40.52,53.79,11.6,6.72,0.58,83.76,-0.94,0.32,292.88,83.28,98115.75,57,二级
黑龙江省,双鸭山市,2015-08-20,12.7,16.17,2.82,4.89,0.24,61.59,-1.77,-0.65,293.24,79.06,99390.25,31,一级
黑龙江省,伊春市,2015-08-20,33.26,38.5,6.5,3.72,0.35,63.44,-1.36,1.22,291.96,85.06,96449.67,48,一级
黑龙江省,绥化市,2015-08-20,31.51,45.06,9.81,6.06,0.47,83.65,-1.3,1.23,293.02,81.37,98569.21,46,一级
黑龙江省,大庆市,2015-08-20,29.92,47.39,9.29,9.19,0.53,85.41,-2.16,1.69,293.7,79.66,99263.55,48,一级
黑龙江省,齐齐哈尔市,2015-08-20,35.65,51.63,10.94,4.44,0.42,81.96,-0.54,1.1,293.13,76.58,98547.83,51,二级
黑龙江省,七台河市,2015-08-20,24.17,34.0,7.92,9.56,0.43,57.14,-1.16,0.47,292.91,83.6,97809.22,35,一级
黑龙江省,鹤岗市,2015-08-20,28.25,40.42,3.7,6.85,0.46,60.65,-2.48,0.28,292.83,81.6,98834.09,41,一级
黑龙江省,鸡西市,2015-08-20,17.47,23.33,5.62,6.01,0.28,64.41,-1.13,-0.2,293.03,81.66,99045.53,33,一级
